"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","1996","Topps","Allen Iverson","Base","171","4,024","15,589","26%","https://app.cardladder.com/search?gemRateId=1ddfb534dbf560ac39ee42805ea98e1e26339b61&via=gemrate","https://app.cardladder.com/search?gemRateId=1ddfb534dbf560ac39ee42805ea98e1e26339b61&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1ddfb534dbf560ac39ee42805ea98e1e26339b61&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1ddfb534dbf560ac39ee42805ea98e1e26339b61","https://www.psacard.com/cert/143493201/psa"
"","Basketball","1996","SP","Allen Iverson","Base","141","615","5,445","11%","https://app.cardladder.com/search?gemRateId=bcf325d8fb7d3a1bc28620e3a17011147702bde5&via=gemrate","https://app.cardladder.com/search?gemRateId=bcf325d8fb7d3a1bc28620e3a17011147702bde5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bcf325d8fb7d3a1bc28620e3a17011147702bde5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bcf325d8fb7d3a1bc28620e3a17011147702bde5","https://www.psacard.com/cert/97099382/psa"
"","Basketball","1996","Topps Chrome","Allen Iverson","Base","171","722","4,306","17%","https://app.cardladder.com/search?gemRateId=7e8a6ab8b049b65be7c3eaefb3d7d2c2c858fefe&via=gemrate","https://app.cardladder.com/search?gemRateId=7e8a6ab8b049b65be7c3eaefb3d7d2c2c858fefe&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7e8a6ab8b049b65be7c3eaefb3d7d2c2c858fefe&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7e8a6ab8b049b65be7c3eaefb3d7d2c2c858fefe","https://www.psacard.com/cert/127659523/psa"
"","Basketball","1996","Finest","Allen Iverson","w/Coating","69","540","3,969","14%","https://app.cardladder.com/search?gemRateId=8895d83ebffe53b8f55a34eae1fd9792515ca0be&via=gemrate","https://app.cardladder.com/search?gemRateId=8895d83ebffe53b8f55a34eae1fd9792515ca0be&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8895d83ebffe53b8f55a34eae1fd9792515ca0be&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8895d83ebffe53b8f55a34eae1fd9792515ca0be","https://www.psacard.com/cert/104167481/psa"
"","Basketball","1996","Bowman's Best Rookie","Allen Iverson","Base","R1","400","3,857","10%","https://app.cardladder.com/search?gemRateId=fadb314593931664c6e66498e9417651cb079a14&via=gemrate","https://app.cardladder.com/search?gemRateId=fadb314593931664c6e66498e9417651cb079a14&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fadb314593931664c6e66498e9417651cb079a14&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fadb314593931664c6e66498e9417651cb079a14","https://www.psacard.com/cert/116912524/psa"
"","Basketball","1996","Metal","Allen Iverson","Base","201","243","3,762","6%","https://app.cardladder.com/search?gemRateId=8d33d4e9f6eadf22d2a9b3f0d6671b880eff7ace&via=gemrate","https://app.cardladder.com/search?gemRateId=8d33d4e9f6eadf22d2a9b3f0d6671b880eff7ace&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8d33d4e9f6eadf22d2a9b3f0d6671b880eff7ace&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8d33d4e9f6eadf22d2a9b3f0d6671b880eff7ace","https://www.psacard.com/cert/139665047/psa"
"","Basketball","1996","Fleer Lucky 13","Allen Iverson","Base","1","573","3,489","16%","https://app.cardladder.com/search?gemRateId=4ee2149e8ee8db908b00b3f37c56faea10b21b5c&via=gemrate","https://app.cardladder.com/search?gemRateId=4ee2149e8ee8db908b00b3f37c56faea10b21b5c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4ee2149e8ee8db908b00b3f37c56faea10b21b5c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4ee2149e8ee8db908b00b3f37c56faea10b21b5c","https://www.psacard.com/cert/136923237/psa"
"","Basketball","1996","Collector's Choice","Allen Iverson","Base","301","787","2,917","27%","https://app.cardladder.com/search?gemRateId=3022d5db099071b899495ec23035697fe8c9e7bb&via=gemrate","https://app.cardladder.com/search?gemRateId=3022d5db099071b899495ec23035697fe8c9e7bb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3022d5db099071b899495ec23035697fe8c9e7bb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3022d5db099071b899495ec23035697fe8c9e7bb","https://www.psacard.com/cert/136770262/psa"
"","Basketball","1996","Upper Deck","Allen Iverson","Base","91","175","2,619","7%","https://app.cardladder.com/search?gemRateId=31f49752efb495a61e4dfeb48fcdc1728e739fc3&via=gemrate","https://app.cardladder.com/search?gemRateId=31f49752efb495a61e4dfeb48fcdc1728e739fc3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=31f49752efb495a61e4dfeb48fcdc1728e739fc3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=31f49752efb495a61e4dfeb48fcdc1728e739fc3","https://www.psacard.com/cert/127542848/psa"
