"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2023","Panini Prizm","Anthony Black","Silver Prizm","170","308","495","62%","https://app.cardladder.com/search?gemRateId=bffa25e91e0843d2dd0cafa7b9124cdfaf1fe404&via=gemrate","https://app.cardladder.com/search?gemRateId=bffa25e91e0843d2dd0cafa7b9124cdfaf1fe404&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bffa25e91e0843d2dd0cafa7b9124cdfaf1fe404&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bffa25e91e0843d2dd0cafa7b9124cdfaf1fe404","https://www.psacard.com/cert/141930492/psa"
"","Basketball","2023","Panini Prizm","Anthony Black","Pink Ice","170","83","107","78%","https://app.cardladder.com/search?gemRateId=3f0144d03c3487998ef4c7ebb063e91fc37da768&via=gemrate","https://app.cardladder.com/search?gemRateId=3f0144d03c3487998ef4c7ebb063e91fc37da768&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3f0144d03c3487998ef4c7ebb063e91fc37da768&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3f0144d03c3487998ef4c7ebb063e91fc37da768","https://www.psacard.com/cert/116953330/psa"
"","Basketball","2023","Panini Prizm","Anthony Black","Ice","170","72","98","73%","https://app.cardladder.com/search?gemRateId=3bdd666b4f602e3f70b5193f6f43a0943d9bc319&via=gemrate","https://app.cardladder.com/search?gemRateId=3bdd666b4f602e3f70b5193f6f43a0943d9bc319&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3bdd666b4f602e3f70b5193f6f43a0943d9bc319&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3bdd666b4f602e3f70b5193f6f43a0943d9bc319","https://www.psacard.com/cert/122714966/psa"
"","Basketball","2023","Panini Prizm Monopoly","Anthony Black","Purple","66","48","75","64%","https://app.cardladder.com/search?gemRateId=11ad4183580e5205c16edc3f115ad8bf0eddf69b&via=gemrate","https://app.cardladder.com/search?gemRateId=11ad4183580e5205c16edc3f115ad8bf0eddf69b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=11ad4183580e5205c16edc3f115ad8bf0eddf69b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=11ad4183580e5205c16edc3f115ad8bf0eddf69b","https://www.psacard.com/cert/98477271/psa"
"","Basketball","2023","Panini Prizm","Anthony Black","Red Prizm","170","41","69","59%","https://app.cardladder.com/search?gemRateId=366fe254db5c62d1d85e5882661f2dd2682dfc87&via=gemrate","https://app.cardladder.com/search?gemRateId=366fe254db5c62d1d85e5882661f2dd2682dfc87&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=366fe254db5c62d1d85e5882661f2dd2682dfc87&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=366fe254db5c62d1d85e5882661f2dd2682dfc87","https://www.psacard.com/cert/116451377/psa"
"","Basketball","2023","Panini Donruss Optic","Anthony Black","Holo","207","49","68","72%","https://app.cardladder.com/search?gemRateId=8690579a3c8f3d3118c3fdeb600118049b14e4e3&via=gemrate","https://app.cardladder.com/search?gemRateId=8690579a3c8f3d3118c3fdeb600118049b14e4e3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8690579a3c8f3d3118c3fdeb600118049b14e4e3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8690579a3c8f3d3118c3fdeb600118049b14e4e3","https://www.psacard.com/cert/137726467/psa"
"","Basketball","2023","Panini Prizm","Anthony Black","Green Prizm","170","40","67","60%","https://app.cardladder.com/search?gemRateId=ab301b092de4fb3d3afca2a7a862df69cf9dc9aa&via=gemrate","https://app.cardladder.com/search?gemRateId=ab301b092de4fb3d3afca2a7a862df69cf9dc9aa&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ab301b092de4fb3d3afca2a7a862df69cf9dc9aa&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ab301b092de4fb3d3afca2a7a862df69cf9dc9aa","https://www.psacard.com/cert/116451379/psa"
"","Basketball","2023","Panini Prizm","Anthony Black","White Prizm","170","44","61","72%","https://app.cardladder.com/search?gemRateId=63ac5d08884fdb3d56b484b12b3069376b4da4b2&via=gemrate","https://app.cardladder.com/search?gemRateId=63ac5d08884fdb3d56b484b12b3069376b4da4b2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=63ac5d08884fdb3d56b484b12b3069376b4da4b2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=63ac5d08884fdb3d56b484b12b3069376b4da4b2","https://www.psacard.com/cert/126766265/psa"
"","Basketball","2023","Panini Prizm","Anthony Black","Blue Prizm","170","33","61","54%","https://app.cardladder.com/search?gemRateId=ef396392ecd04605ce106d4880eaeb48af1db0d8&via=gemrate","https://app.cardladder.com/search?gemRateId=ef396392ecd04605ce106d4880eaeb48af1db0d8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ef396392ecd04605ce106d4880eaeb48af1db0d8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ef396392ecd04605ce106d4880eaeb48af1db0d8","https://www.psacard.com/cert/128812474/psa"
"","Basketball","2023","Panini Prizm","Anthony Black","Purple Ice","170","42","52","81%","https://app.cardladder.com/search?gemRateId=661088427eb9453725ad300a71de1fe83b0c2924&via=gemrate","https://app.cardladder.com/search?gemRateId=661088427eb9453725ad300a71de1fe83b0c2924&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=661088427eb9453725ad300a71de1fe83b0c2924&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=661088427eb9453725ad300a71de1fe83b0c2924","https://www.psacard.com/cert/129842482/psa"
"","Basketball","2023","Panini Prizm","Anthony Black","Base","170","31","51","61%","https://app.cardladder.com/search?gemRateId=2fa9cff23ecbfdffe1282b2ae9b59d7af993486a&via=gemrate","https://app.cardladder.com/search?gemRateId=2fa9cff23ecbfdffe1282b2ae9b59d7af993486a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2fa9cff23ecbfdffe1282b2ae9b59d7af993486a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2fa9cff23ecbfdffe1282b2ae9b59d7af993486a","https://www.psacard.com/cert/93321068/psa"
