"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Bowman University Chrome","Ashton Jeanty","Base","17","407","650","63%","https://app.cardladder.com/search?gemRateId=3bf1ced04ad74d87171686c07a6e4e2b854c8e15&via=gemrate","https://app.cardladder.com/search?gemRateId=3bf1ced04ad74d87171686c07a6e4e2b854c8e15&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3bf1ced04ad74d87171686c07a6e4e2b854c8e15&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=524c486f9cebd585a9a0f67ba23a9033a1278d68","https://www.psacard.com/cert/143109579/psa"
"","Football","2025","Panini Instant NFL Draft Night","Ashton Jeanty","Base","NFLDN6","437","584","75%","https://app.cardladder.com/search?gemRateId=25fc86d8d34a89eb23afd60644cfbcd5ba2afd01&via=gemrate","https://app.cardladder.com/search?gemRateId=25fc86d8d34a89eb23afd60644cfbcd5ba2afd01&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=25fc86d8d34a89eb23afd60644cfbcd5ba2afd01&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/131277142/psa"
"","Football","2025","Topps Now","Ashton Jeanty","Base","D2","451","544","83%","https://app.cardladder.com/search?gemRateId=b105290724b5081d85c4aee5c837e5c881f91e9b&via=gemrate","https://app.cardladder.com/search?gemRateId=b105290724b5081d85c4aee5c837e5c881f91e9b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b105290724b5081d85c4aee5c837e5c881f91e9b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/136322934/psa"
"","Football","2025","Panini Instant NFL Rps First Look","Ashton Jeanty","Base","RPSFL2","309","474","65%","https://app.cardladder.com/search?gemRateId=0eb91718a0217abe4952b48b06a619324757d2ab&via=gemrate","https://app.cardladder.com/search?gemRateId=0eb91718a0217abe4952b48b06a619324757d2ab&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0eb91718a0217abe4952b48b06a619324757d2ab&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/141894056/psa"
"","Football","2025","Panini Donruss Downtown!","Ashton Jeanty","Base","11","216","287","75%","https://app.cardladder.com/search?gemRateId=ed6aa475012a0b99d72be880c2f5033bea3b058b&via=gemrate","https://app.cardladder.com/search?gemRateId=ed6aa475012a0b99d72be880c2f5033bea3b058b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ed6aa475012a0b99d72be880c2f5033bea3b058b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ed6aa475012a0b99d72be880c2f5033bea3b058b","https://www.psacard.com/cert/144515475/psa"
"","Football","2024","Bowman University Chrome Sapphire","Ashton Jeanty","Base","17","243","287","85%","https://app.cardladder.com/search?gemRateId=c61258a6c13957aa665125c86a68750b42733aa9&via=gemrate","https://app.cardladder.com/search?gemRateId=c61258a6c13957aa665125c86a68750b42733aa9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c61258a6c13957aa665125c86a68750b42733aa9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c61258a6c13957aa665125c86a68750b42733aa9","https://www.psacard.com/cert/139192176/psa"
"","Football","2024","Bowman University Chrome Bowman Chrome Prospect Autographs","Ashton Jeanty","Base","PAAJE","114","186","61%","https://app.cardladder.com/search?gemRateId=958cb2089df08d1a0e59ac31f38d6eb25b5c0411&via=gemrate","https://app.cardladder.com/search?gemRateId=958cb2089df08d1a0e59ac31f38d6eb25b5c0411&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=958cb2089df08d1a0e59ac31f38d6eb25b5c0411&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=958cb2089df08d1a0e59ac31f38d6eb25b5c0411","https://www.psacard.com/cert/141817837/psa"
"","Football","2024","Bowman University Chrome","Ashton Jeanty","Pink Lava","17","91","171","53%","https://app.cardladder.com/search?gemRateId=134e64c16df685fe392116536b1f38f11b77a6e2&via=gemrate","https://app.cardladder.com/search?gemRateId=134e64c16df685fe392116536b1f38f11b77a6e2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=134e64c16df685fe392116536b1f38f11b77a6e2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=134e64c16df685fe392116536b1f38f11b77a6e2","https://www.psacard.com/cert/136034711/psa"
"","Football","2024","Bowman University Chrome","Ashton Jeanty","Refractor","17","84","162","52%","https://app.cardladder.com/search?gemRateId=0c3a1ac57e4d9bf1ac5f3856a55ee70eda1aa289&via=gemrate","https://app.cardladder.com/search?gemRateId=0c3a1ac57e4d9bf1ac5f3856a55ee70eda1aa289&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0c3a1ac57e4d9bf1ac5f3856a55ee70eda1aa289&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=72f05f109be7644f63591cd06eb7c17d28faf9ee","https://www.psacard.com/cert/137649716/psa"
