"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2023","Panini Prizm","Bijan Robinson","Silver Prizm","305","393","1,720","23%","https://app.cardladder.com/search?gemRateId=a960fe29983425afd6891f570466aeb4df07d0fd&via=gemrate","https://app.cardladder.com/search?gemRateId=a960fe29983425afd6891f570466aeb4df07d0fd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a960fe29983425afd6891f570466aeb4df07d0fd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a960fe29983425afd6891f570466aeb4df07d0fd","https://www.psacard.com/cert/137996516/psa"
"","Football","2023","Panini Donruss Optic","Bijan Robinson","Holo","206","878","1,400","63%","https://app.cardladder.com/search?gemRateId=0749faed9bf4ccc805f71dae1e05e44750c2c5c6&via=gemrate","https://app.cardladder.com/search?gemRateId=0749faed9bf4ccc805f71dae1e05e44750c2c5c6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0749faed9bf4ccc805f71dae1e05e44750c2c5c6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0749faed9bf4ccc805f71dae1e05e44750c2c5c6","https://www.psacard.com/cert/142772980/psa"
"","Football","2023","Panini Prizm","Bijan Robinson","Lazer Prizm","305","289","957","30%","https://app.cardladder.com/search?gemRateId=afbe5874f8a0dde7dda824bd9aaf986101bb5c4b&via=gemrate","https://app.cardladder.com/search?gemRateId=afbe5874f8a0dde7dda824bd9aaf986101bb5c4b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=afbe5874f8a0dde7dda824bd9aaf986101bb5c4b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=afbe5874f8a0dde7dda824bd9aaf986101bb5c4b","https://www.psacard.com/cert/126999177/psa"
"","Football","2023","Panini Donruss Optic","Bijan Robinson","Purple Shock","206","573","923","62%","https://app.cardladder.com/search?gemRateId=cd389b3636d24144213251c7cb8cb0f27ae0f9dc&via=gemrate","https://app.cardladder.com/search?gemRateId=cd389b3636d24144213251c7cb8cb0f27ae0f9dc&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cd389b3636d24144213251c7cb8cb0f27ae0f9dc&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cd389b3636d24144213251c7cb8cb0f27ae0f9dc","https://www.psacard.com/cert/131506741/psa"
"","Football","2023","Panini Prizm","Bijan Robinson","Variation","305","321","768","42%","https://app.cardladder.com/search?gemRateId=a19c7d0bb439aae1781c46d1568ef1d2925db39e&via=gemrate","https://app.cardladder.com/search?gemRateId=a19c7d0bb439aae1781c46d1568ef1d2925db39e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a19c7d0bb439aae1781c46d1568ef1d2925db39e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a19c7d0bb439aae1781c46d1568ef1d2925db39e","https://www.psacard.com/cert/136258489/psa"
"","Football","2023","Panini Prizm","Bijan Robinson","Disco Prizm","305","179","767","23%","https://app.cardladder.com/search?gemRateId=929cea901e559a45a2e96459cadee6489660b075&via=gemrate","https://app.cardladder.com/search?gemRateId=929cea901e559a45a2e96459cadee6489660b075&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=929cea901e559a45a2e96459cadee6489660b075&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=929cea901e559a45a2e96459cadee6489660b075","https://www.psacard.com/cert/126999178/psa"
"","Football","2023","Panini Prizm","Bijan Robinson","Red/White/Blue Prizm","305","254","763","33%","https://app.cardladder.com/search?gemRateId=d9723c248831d6128658cb14b172fda85d51d6b7&via=gemrate","https://app.cardladder.com/search?gemRateId=d9723c248831d6128658cb14b172fda85d51d6b7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d9723c248831d6128658cb14b172fda85d51d6b7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d9723c248831d6128658cb14b172fda85d51d6b7","https://www.psacard.com/cert/132024955/psa"
"","Football","2023","Panini Donruss","Bijan Robinson","Base","305","343","663","52%","https://app.cardladder.com/search?gemRateId=6a2c017dbaf9f1296d0732b0a805703f8462b7a8&via=gemrate","https://app.cardladder.com/search?gemRateId=6a2c017dbaf9f1296d0732b0a805703f8462b7a8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6a2c017dbaf9f1296d0732b0a805703f8462b7a8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6a2c017dbaf9f1296d0732b0a805703f8462b7a8","https://www.psacard.com/cert/137103891/psa"
"","Football","2023","Panini Donruss Downtown!","Bijan Robinson","Base","D10","302","651","46%","https://app.cardladder.com/search?gemRateId=aa98ae02d65f6308785f342b1d02df4519420815&via=gemrate","https://app.cardladder.com/search?gemRateId=aa98ae02d65f6308785f342b1d02df4519420815&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=aa98ae02d65f6308785f342b1d02df4519420815&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=aa98ae02d65f6308785f342b1d02df4519420815","https://www.psacard.com/cert/136177033/psa"
