"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Donruss Optic Uptowns","Blake Corum","Base","14","176","450","39%","https://app.cardladder.com/search?gemRateId=2b8be4396b6dde5c6eea9d205c2adad96355264d&via=gemrate","https://app.cardladder.com/search?gemRateId=2b8be4396b6dde5c6eea9d205c2adad96355264d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2b8be4396b6dde5c6eea9d205c2adad96355264d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2b8be4396b6dde5c6eea9d205c2adad96355264d","https://www.psacard.com/cert/140423605/psa"
"","Football","2024","Panini Mosaic Micro Mosaic","Blake Corum","Base","MMBCM","43","125","34%","https://app.cardladder.com/search?gemRateId=7f2c2f5b66fc55938d916477911a20edb4b73e53&via=gemrate","https://app.cardladder.com/search?gemRateId=7f2c2f5b66fc55938d916477911a20edb4b73e53&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7f2c2f5b66fc55938d916477911a20edb4b73e53&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7f2c2f5b66fc55938d916477911a20edb4b73e53","https://www.psacard.com/cert/132548771/psa"
"","Football","2024","Panini Prizm","Blake Corum","Autograph","308","31","112","28%","https://app.cardladder.com/search?gemRateId=eef0b341a29eee1ab21cf096baeed5156e5534e6&via=gemrate","https://app.cardladder.com/search?gemRateId=eef0b341a29eee1ab21cf096baeed5156e5534e6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=eef0b341a29eee1ab21cf096baeed5156e5534e6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=eef0b341a29eee1ab21cf096baeed5156e5534e6","https://www.psacard.com/cert/125073634/psa"
"","Football","2024","Panini Mosaic Stained Glass","Blake Corum","Base","SG25","46","108","43%","https://app.cardladder.com/search?gemRateId=16d111314571c98f8df2d69eaf793fd366f8712f&via=gemrate","https://app.cardladder.com/search?gemRateId=16d111314571c98f8df2d69eaf793fd366f8712f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=16d111314571c98f8df2d69eaf793fd366f8712f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=16d111314571c98f8df2d69eaf793fd366f8712f","https://www.psacard.com/cert/132881644/psa"
"","Football","2024","Panini Absolute Explosive","Blake Corum","Base","EXBCM","42","99","42%","https://app.cardladder.com/search?gemRateId=cd1c31c395b8dd9e5ff5843555e77d8ba2701197&via=gemrate","https://app.cardladder.com/search?gemRateId=cd1c31c395b8dd9e5ff5843555e77d8ba2701197&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cd1c31c395b8dd9e5ff5843555e77d8ba2701197&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cd1c31c395b8dd9e5ff5843555e77d8ba2701197","https://www.psacard.com/cert/140332382/psa"
"","Football","2024","Panini Prizm","Blake Corum","Silver Prizm","308","21","93","23%","https://app.cardladder.com/search?gemRateId=05208f2558fad48b19669f38ec05daa8df2627bf&via=gemrate","https://app.cardladder.com/search?gemRateId=05208f2558fad48b19669f38ec05daa8df2627bf&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=05208f2558fad48b19669f38ec05daa8df2627bf&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=05208f2558fad48b19669f38ec05daa8df2627bf","https://www.psacard.com/cert/133771347/psa"
"","Football","2024","Panini Prizm Rookie Variation","Blake Corum","Base","4","41","79","52%","https://app.cardladder.com/search?gemRateId=fdfa3d1351a64e3b40cdbe69ff9e2c42d57bd460&via=gemrate","https://app.cardladder.com/search?gemRateId=fdfa3d1351a64e3b40cdbe69ff9e2c42d57bd460&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fdfa3d1351a64e3b40cdbe69ff9e2c42d57bd460&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fdfa3d1351a64e3b40cdbe69ff9e2c42d57bd460","https://www.psacard.com/cert/128815475/psa"
"","Football","2024","Panini Donruss Optic Rookie Kings","Blake Corum","Base","9","51","71","72%","https://app.cardladder.com/search?gemRateId=c4c6fd4ffc081d432556174e7b463f5eef157013&via=gemrate","https://app.cardladder.com/search?gemRateId=c4c6fd4ffc081d432556174e7b463f5eef157013&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c4c6fd4ffc081d432556174e7b463f5eef157013&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c4c6fd4ffc081d432556174e7b463f5eef157013","https://www.psacard.com/cert/132048216/psa"
"","Football","2024","Panini Phoenix Color Blast","Blake Corum","Base","CBBCM","51","68","75%","https://app.cardladder.com/search?gemRateId=197e0d5e41aa726cb91b1becac9a2ec39cbc6403&via=gemrate","https://app.cardladder.com/search?gemRateId=197e0d5e41aa726cb91b1becac9a2ec39cbc6403&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=197e0d5e41aa726cb91b1becac9a2ec39cbc6403&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=197e0d5e41aa726cb91b1becac9a2ec39cbc6403","https://www.psacard.com/cert/138631175/psa"
