"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Prizm","Bo Nix","Base","309","1,601","5,382","30%","https://app.cardladder.com/search?gemRateId=54eb5164e7249aef1054b44fbc10b7960d427bf0&via=gemrate","https://app.cardladder.com/search?gemRateId=54eb5164e7249aef1054b44fbc10b7960d427bf0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=54eb5164e7249aef1054b44fbc10b7960d427bf0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=54eb5164e7249aef1054b44fbc10b7960d427bf0","https://www.psacard.com/cert/141357563/psa"
"","Football","2024","Panini Donruss","Bo Nix","Base","369","1,812","4,254","43%","https://app.cardladder.com/search?gemRateId=7d271a17f5d3df496d0a5e1ba4767c86f5d07b9e&via=gemrate","https://app.cardladder.com/search?gemRateId=7d271a17f5d3df496d0a5e1ba4767c86f5d07b9e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7d271a17f5d3df496d0a5e1ba4767c86f5d07b9e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7d271a17f5d3df496d0a5e1ba4767c86f5d07b9e","https://www.psacard.com/cert/139649815/psa"
"","Football","2024","Panini Prizm","Bo Nix","Silver Prizm","309","858","3,632","24%","https://app.cardladder.com/search?gemRateId=ad4e831e9438f5695ab83ab45d5aaa15d77ee620&via=gemrate","https://app.cardladder.com/search?gemRateId=ad4e831e9438f5695ab83ab45d5aaa15d77ee620&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ad4e831e9438f5695ab83ab45d5aaa15d77ee620&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ad4e831e9438f5695ab83ab45d5aaa15d77ee620","https://www.psacard.com/cert/144026064/psa"
"","Football","2024","Panini Donruss","Bo Nix","Optic Preview-Pink","369","2,431","3,612","67%","https://app.cardladder.com/search?gemRateId=40b24a684cdd4aa090f791c95d1b0f9a4d61ae73&via=gemrate","https://app.cardladder.com/search?gemRateId=40b24a684cdd4aa090f791c95d1b0f9a4d61ae73&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=40b24a684cdd4aa090f791c95d1b0f9a4d61ae73&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e34470ebc1c7e0e29be3a03e4a87ad0a6c15fd80","https://www.psacard.com/cert/144808574/psa"
"","Football","2024","Panini Donruss Rated Rookies Retro","Bo Nix","Base","19","1,662","2,961","56%","https://app.cardladder.com/search?gemRateId=b3d40671d7196e47ae3f44bd8a11e614d7b6561d&via=gemrate","https://app.cardladder.com/search?gemRateId=b3d40671d7196e47ae3f44bd8a11e614d7b6561d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b3d40671d7196e47ae3f44bd8a11e614d7b6561d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b3d40671d7196e47ae3f44bd8a11e614d7b6561d","https://www.psacard.com/cert/138974773/psa"
"","Football","2024","Panini Prizm","Bo Nix","Lazer Prizm","309","866","2,835","31%","https://app.cardladder.com/search?gemRateId=0dfcaa62d1d3d8a8221fe7b1930b0f0ec447f8a0&via=gemrate","https://app.cardladder.com/search?gemRateId=0dfcaa62d1d3d8a8221fe7b1930b0f0ec447f8a0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0dfcaa62d1d3d8a8221fe7b1930b0f0ec447f8a0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0dfcaa62d1d3d8a8221fe7b1930b0f0ec447f8a0","https://www.psacard.com/cert/144808576/psa"
"","Football","2024","Panini Donruss Optic","Bo Nix","Purple Shock","209","936","2,307","41%","https://app.cardladder.com/search?gemRateId=3f5b05d5bbdd8e9b6844fccfc9a50b1b585268f6&via=gemrate","https://app.cardladder.com/search?gemRateId=3f5b05d5bbdd8e9b6844fccfc9a50b1b585268f6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3f5b05d5bbdd8e9b6844fccfc9a50b1b585268f6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3f5b05d5bbdd8e9b6844fccfc9a50b1b585268f6","https://www.psacard.com/cert/145937513/psa"
"","Football","2024","Panini Prizm","Bo Nix","Disco Prizm","309","800","2,226","36%","https://app.cardladder.com/search?gemRateId=74bbb237759621a56e80286eeb9c7234673f6645&via=gemrate","https://app.cardladder.com/search?gemRateId=74bbb237759621a56e80286eeb9c7234673f6645&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=74bbb237759621a56e80286eeb9c7234673f6645&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=74bbb237759621a56e80286eeb9c7234673f6645","https://www.psacard.com/cert/137388509/psa"
"","Football","2024","Panini Donruss Optic","Bo Nix","Holo","209","765","2,129","36%","https://app.cardladder.com/search?gemRateId=3f1e1c17c06e813bf39a30f55a8f85dbeb84411f&via=gemrate","https://app.cardladder.com/search?gemRateId=3f1e1c17c06e813bf39a30f55a8f85dbeb84411f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3f1e1c17c06e813bf39a30f55a8f85dbeb84411f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3f1e1c17c06e813bf39a30f55a8f85dbeb84411f","https://www.psacard.com/cert/144892007/psa"
