"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2023","Panini Prizm","Brandon Miller","Silver Prizm","152","2,328","4,227","55%","https://app.cardladder.com/search?gemRateId=8b82b7c2c036f9780ea6dc0e9ce699a2adfcc0a2&via=gemrate","https://app.cardladder.com/search?gemRateId=8b82b7c2c036f9780ea6dc0e9ce699a2adfcc0a2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8b82b7c2c036f9780ea6dc0e9ce699a2adfcc0a2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8b82b7c2c036f9780ea6dc0e9ce699a2adfcc0a2","https://www.psacard.com/cert/141638303/psa"
"","Basketball","2023","Panini Prizm","Brandon Miller","Base","152","1,724","2,847","61%","https://app.cardladder.com/search?gemRateId=59caea19266bac653cfa4cc7ee7d0880a6df5172&via=gemrate","https://app.cardladder.com/search?gemRateId=59caea19266bac653cfa4cc7ee7d0880a6df5172&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=59caea19266bac653cfa4cc7ee7d0880a6df5172&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=59caea19266bac653cfa4cc7ee7d0880a6df5172","https://www.psacard.com/cert/136702969/psa"
"","Basketball","2023","Panini Prizm","Brandon Miller","Pink Ice","152","1,339","1,937","69%","https://app.cardladder.com/search?gemRateId=88d3447d5e2046efa60447a41b9ba9c7b5c3ea7c&via=gemrate","https://app.cardladder.com/search?gemRateId=88d3447d5e2046efa60447a41b9ba9c7b5c3ea7c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=88d3447d5e2046efa60447a41b9ba9c7b5c3ea7c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=88d3447d5e2046efa60447a41b9ba9c7b5c3ea7c","https://www.psacard.com/cert/132460009/psa"
"","Basketball","2023","Panini Prizm","Brandon Miller","Ice","152","966","1,457","66%","https://app.cardladder.com/search?gemRateId=57a20af0ba11f0551603137c4832370c3c3165ea&via=gemrate","https://app.cardladder.com/search?gemRateId=57a20af0ba11f0551603137c4832370c3c3165ea&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=57a20af0ba11f0551603137c4832370c3c3165ea&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=57a20af0ba11f0551603137c4832370c3c3165ea","https://www.psacard.com/cert/131744785/psa"
"","Basketball","2023","Panini Prizm","Brandon Miller","Green Prizm","152","661","1,123","59%","https://app.cardladder.com/search?gemRateId=9dd03f901854b2d43054089a317ed8e6c6a0262f&via=gemrate","https://app.cardladder.com/search?gemRateId=9dd03f901854b2d43054089a317ed8e6c6a0262f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9dd03f901854b2d43054089a317ed8e6c6a0262f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9dd03f901854b2d43054089a317ed8e6c6a0262f","https://www.psacard.com/cert/131856818/psa"
"","Basketball","2023","Panini Donruss Optic","Brandon Miller","Holo","219","448","995","45%","https://app.cardladder.com/search?gemRateId=b835ca764a4aced7a74cbc32dade1c1c384f62e6&via=gemrate","https://app.cardladder.com/search?gemRateId=b835ca764a4aced7a74cbc32dade1c1c384f62e6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b835ca764a4aced7a74cbc32dade1c1c384f62e6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b835ca764a4aced7a74cbc32dade1c1c384f62e6","https://www.psacard.com/cert/131103191/psa"
"","Basketball","2023","Panini Prizm","Brandon Miller","Red Ice","152","574","913","63%","https://app.cardladder.com/search?gemRateId=dd263a91fc2f81da6b741268f718f3b1cfcb75e4&via=gemrate","https://app.cardladder.com/search?gemRateId=dd263a91fc2f81da6b741268f718f3b1cfcb75e4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=dd263a91fc2f81da6b741268f718f3b1cfcb75e4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=dd263a91fc2f81da6b741268f718f3b1cfcb75e4","https://www.psacard.com/cert/135486890/psa"
"","Basketball","2023","Panini Prizm Monopoly","Brandon Miller","Purple","15","373","729","51%","https://app.cardladder.com/search?gemRateId=13217bf0ae120fade09c1bc3eb9fa5d1940720a3&via=gemrate","https://app.cardladder.com/search?gemRateId=13217bf0ae120fade09c1bc3eb9fa5d1940720a3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=13217bf0ae120fade09c1bc3eb9fa5d1940720a3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=13217bf0ae120fade09c1bc3eb9fa5d1940720a3","https://www.psacard.com/cert/126136650/psa"
"","Basketball","2023","Panini Prizm","Brandon Miller","Red White Blue","152","243","630","39%","https://app.cardladder.com/search?gemRateId=3906d16c93150dc2344866af4a338a433f864938&via=gemrate","https://app.cardladder.com/search?gemRateId=3906d16c93150dc2344866af4a338a433f864938&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3906d16c93150dc2344866af4a338a433f864938&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3906d16c93150dc2344866af4a338a433f864938","https://www.psacard.com/cert/120029455/psa"
"","Basketball","2023","Panini Prizm","Brandon Miller","Orange Ice","152","392","626","63%","https://app.cardladder.com/search?gemRateId=16b2158bf96b44779cb53b8d731bb570e3b7f476&via=gemrate","https://app.cardladder.com/search?gemRateId=16b2158bf96b44779cb53b8d731bb570e3b7f476&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=16b2158bf96b44779cb53b8d731bb570e3b7f476&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=16b2158bf96b44779cb53b8d731bb570e3b7f476","https://www.psacard.com/cert/135080971/psa"
"","Basketball","2023","Panini Select","Brandon Miller","Blue Cracked Ice","80","390","598","65%","https://app.cardladder.com/search?gemRateId=751587e10b9d6c5c5380c3e8e1bfb1913395eefd&via=gemrate","https://app.cardladder.com/search?gemRateId=751587e10b9d6c5c5380c3e8e1bfb1913395eefd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=751587e10b9d6c5c5380c3e8e1bfb1913395eefd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=751587e10b9d6c5c5380c3e8e1bfb1913395eefd","https://www.psacard.com/cert/121157908/psa"
"","Basketball","2023","Panini Select","Brandon Miller","Blue Prizm","80","444","589","75%","https://app.cardladder.com/search?gemRateId=84ee5205acd0d958950ce251b1fe4a4cac8639d7&via=gemrate","https://app.cardladder.com/search?gemRateId=84ee5205acd0d958950ce251b1fe4a4cac8639d7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=84ee5205acd0d958950ce251b1fe4a4cac8639d7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=84ee5205acd0d958950ce251b1fe4a4cac8639d7","https://www.psacard.com/cert/119648336/psa"
"","Basketball","2023","Panini Donruss","Brandon Miller","Base","226","200","551","36%","https://app.cardladder.com/search?gemRateId=318102b6a490a635c7c3645d958e5d48a0b00006&via=gemrate","https://app.cardladder.com/search?gemRateId=318102b6a490a635c7c3645d958e5d48a0b00006&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=318102b6a490a635c7c3645d958e5d48a0b00006&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=318102b6a490a635c7c3645d958e5d48a0b00006","https://www.psacard.com/cert/111283264/psa"
"","Basketball","2023","Panini Donruss Optic","Brandon Miller","Hyper Pink","219","287","527","54%","https://app.cardladder.com/search?gemRateId=633e586a40b38decd159ccca9a4d81a66f52503f&via=gemrate","https://app.cardladder.com/search?gemRateId=633e586a40b38decd159ccca9a4d81a66f52503f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=633e586a40b38decd159ccca9a4d81a66f52503f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=633e586a40b38decd159ccca9a4d81a66f52503f","https://www.psacard.com/cert/121824045/psa"
"","Basketball","2023","Panini Select","Brandon Miller","Blue","80","357","496","72%","https://app.cardladder.com/search?gemRateId=f1b97e7304285f7d6222d5b14404e7e97618608a&via=gemrate","https://app.cardladder.com/search?gemRateId=f1b97e7304285f7d6222d5b14404e7e97618608a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f1b97e7304285f7d6222d5b14404e7e97618608a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f1b97e7304285f7d6222d5b14404e7e97618608a","https://www.psacard.com/cert/130373469/psa"
"","Basketball","2023","Panini NBA Hoops Presentations","Brandon Miller","Base","16","339","495","68%","https://app.cardladder.com/search?gemRateId=cfb3db4ea9bac3002e4811da094c2dbe5c393253&via=gemrate","https://app.cardladder.com/search?gemRateId=cfb3db4ea9bac3002e4811da094c2dbe5c393253&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cfb3db4ea9bac3002e4811da094c2dbe5c393253&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cfb3db4ea9bac3002e4811da094c2dbe5c393253","https://www.psacard.com/cert/134261145/psa"
"","Basketball","2023","Panini Prizm Monopoly","Brandon Miller","Base","15","276","493","56%","https://app.cardladder.com/search?gemRateId=f48dc632da40ccb2443de6799b30173042558804&via=gemrate","https://app.cardladder.com/search?gemRateId=f48dc632da40ccb2443de6799b30173042558804&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f48dc632da40ccb2443de6799b30173042558804&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f48dc632da40ccb2443de6799b30173042558804","https://www.psacard.com/cert/119567968/psa"
