"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Prizm","Brock Bowers","Silver Prizm","315","570","2,049","28%","https://app.cardladder.com/search?gemRateId=a2e0ba660f7cadfb54e6a4a8e048ca0174b754a1&via=gemrate","https://app.cardladder.com/search?gemRateId=a2e0ba660f7cadfb54e6a4a8e048ca0174b754a1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a2e0ba660f7cadfb54e6a4a8e048ca0174b754a1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a2e0ba660f7cadfb54e6a4a8e048ca0174b754a1","https://www.psacard.com/cert/144250773/psa"
"","Football","2024","Panini Donruss Downtown!","Brock Bowers","Base","17","416","1,772","23%","https://app.cardladder.com/search?gemRateId=9fd9b5321e8436747470a385e41017935415e0a4&via=gemrate","https://app.cardladder.com/search?gemRateId=9fd9b5321e8436747470a385e41017935415e0a4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9fd9b5321e8436747470a385e41017935415e0a4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9fd9b5321e8436747470a385e41017935415e0a4","https://www.psacard.com/cert/137758648/psa"
"","Football","2024","Panini Donruss Rated Rookies Retro","Brock Bowers","Base","9","996","1,489","67%","https://app.cardladder.com/search?gemRateId=70836a063cdce9e4c78243281094bc0e26f0cbf7&via=gemrate","https://app.cardladder.com/search?gemRateId=70836a063cdce9e4c78243281094bc0e26f0cbf7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=70836a063cdce9e4c78243281094bc0e26f0cbf7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2b0cebf5e3138d5a5ecce120fbb27a151bbc75e6","https://www.psacard.com/cert/134282634/psa"
"","Football","2024","Panini Donruss","Brock Bowers","Optic Preview-Pink","394","818","1,394","59%","https://app.cardladder.com/search?gemRateId=6d0723ea07e653e630f303cf839d65300a642dea&via=gemrate","https://app.cardladder.com/search?gemRateId=6d0723ea07e653e630f303cf839d65300a642dea&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6d0723ea07e653e630f303cf839d65300a642dea&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6d0723ea07e653e630f303cf839d65300a642dea","https://www.psacard.com/cert/137226168/psa"
"","Football","2024","Panini Prizm","Brock Bowers","Base","315","518","1,369","38%","https://app.cardladder.com/search?gemRateId=4539b50a9ff3eef922465441cb3b0243c6308a8d&via=gemrate","https://app.cardladder.com/search?gemRateId=4539b50a9ff3eef922465441cb3b0243c6308a8d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4539b50a9ff3eef922465441cb3b0243c6308a8d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b2b3c4226f06bc0db7c4c5c0dbbfce27ccc2f8fc","https://www.psacard.com/cert/134105659/psa"
"","Football","2024","Panini Donruss","Brock Bowers","Base","394","646","1,308","49%","https://app.cardladder.com/search?gemRateId=a7e4877ca1b746cec9ddeffb93b52394671b175c&via=gemrate","https://app.cardladder.com/search?gemRateId=a7e4877ca1b746cec9ddeffb93b52394671b175c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a7e4877ca1b746cec9ddeffb93b52394671b175c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a7e4877ca1b746cec9ddeffb93b52394671b175c","https://www.psacard.com/cert/136091193/psa"
"","Football","2024","Panini Donruss","Brock Bowers","Optic Preview-Red Pandora","394","763","1,258","61%","https://app.cardladder.com/search?gemRateId=9bf560812ec27015b8db3acf6999e1861618c7a7&via=gemrate","https://app.cardladder.com/search?gemRateId=9bf560812ec27015b8db3acf6999e1861618c7a7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9bf560812ec27015b8db3acf6999e1861618c7a7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9bf560812ec27015b8db3acf6999e1861618c7a7","https://www.psacard.com/cert/134635419/psa"
"","Football","2024","Panini Prizm Rookie Variation","Brock Bowers","Base","9","346","1,114","31%","https://app.cardladder.com/search?gemRateId=c050f44961a448a29e07efd1dcbc84f3d59ffb7d&via=gemrate","https://app.cardladder.com/search?gemRateId=c050f44961a448a29e07efd1dcbc84f3d59ffb7d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c050f44961a448a29e07efd1dcbc84f3d59ffb7d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c050f44961a448a29e07efd1dcbc84f3d59ffb7d","https://www.psacard.com/cert/139167983/psa"
"","Football","2024","Panini Donruss","Brock Bowers","Optic Preview-Red Wave","394","671","1,060","63%","https://app.cardladder.com/search?gemRateId=e7373e270464867d8c602dbcde4760d308b29aca&via=gemrate","https://app.cardladder.com/search?gemRateId=e7373e270464867d8c602dbcde4760d308b29aca&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e7373e270464867d8c602dbcde4760d308b29aca&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e7373e270464867d8c602dbcde4760d308b29aca","https://www.psacard.com/cert/142542536/psa"
