"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2020","Panini Prizm","Ceedee Lamb","Base","334","783","2,646","30%","https://app.cardladder.com/search?gemRateId=ec4d8c3450aac9d7c6a9875c31bb18a8e8521d74&via=gemrate","https://app.cardladder.com/search?gemRateId=ec4d8c3450aac9d7c6a9875c31bb18a8e8521d74&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ec4d8c3450aac9d7c6a9875c31bb18a8e8521d74&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ec4d8c3450aac9d7c6a9875c31bb18a8e8521d74","https://www.psacard.com/cert/130265540/psa"
"","Football","2020","Panini Mosaic","Ceedee Lamb","Base","207","1,507","2,539","59%","https://app.cardladder.com/search?gemRateId=074874941f949a3326675c54fe71d3024a1612b8&via=gemrate","https://app.cardladder.com/search?gemRateId=074874941f949a3326675c54fe71d3024a1612b8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=074874941f949a3326675c54fe71d3024a1612b8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=074874941f949a3326675c54fe71d3024a1612b8","https://www.psacard.com/cert/128924130/psa"
"","Football","2020","Panini Phoenix","Ceedee Lamb","Fire Burst","106","1,399","2,164","65%","https://app.cardladder.com/search?gemRateId=2b547ba5dc03a50d7db88e0872e06fd9960fb9b1&via=gemrate","https://app.cardladder.com/search?gemRateId=2b547ba5dc03a50d7db88e0872e06fd9960fb9b1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2b547ba5dc03a50d7db88e0872e06fd9960fb9b1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2b547ba5dc03a50d7db88e0872e06fd9960fb9b1","https://www.psacard.com/cert/145141991/psa"
"","Football","2020","Panini Donruss","Ceedee Lamb","Base","306","1,021","1,584","64%","https://app.cardladder.com/search?gemRateId=0078ba5d48016569821a4eb15df4d603d47b0043&via=gemrate","https://app.cardladder.com/search?gemRateId=0078ba5d48016569821a4eb15df4d603d47b0043&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0078ba5d48016569821a4eb15df4d603d47b0043&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0078ba5d48016569821a4eb15df4d603d47b0043","https://www.psacard.com/cert/122597274/psa"
"","Football","2020","Panini Donruss Optic","Ceedee Lamb","Holo","156","660","1,162","57%","https://app.cardladder.com/search?gemRateId=78b487ccaab31fb497b68dc86d05158a2e9f4707&via=gemrate","https://app.cardladder.com/search?gemRateId=78b487ccaab31fb497b68dc86d05158a2e9f4707&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=78b487ccaab31fb497b68dc86d05158a2e9f4707&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=78b487ccaab31fb497b68dc86d05158a2e9f4707","https://www.psacard.com/cert/138357740/psa"
"","Football","2020","Panini Mosaic","Ceedee Lamb","Base","268","643","1,026","63%","https://app.cardladder.com/search?gemRateId=d2a6c3c5d258a4d5a2aee8560b2a7a31e4545f96&via=gemrate","https://app.cardladder.com/search?gemRateId=d2a6c3c5d258a4d5a2aee8560b2a7a31e4545f96&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d2a6c3c5d258a4d5a2aee8560b2a7a31e4545f96&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d2a6c3c5d258a4d5a2aee8560b2a7a31e4545f96","https://www.psacard.com/cert/109863011/psa"
"","Football","2020","Panini Prizm","Ceedee Lamb","Red/White/Blue Prizm","334","233","811","29%","https://app.cardladder.com/search?gemRateId=060f082fe4c0c373cb08034a19a2380316bbc06e&via=gemrate","https://app.cardladder.com/search?gemRateId=060f082fe4c0c373cb08034a19a2380316bbc06e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=060f082fe4c0c373cb08034a19a2380316bbc06e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=060f082fe4c0c373cb08034a19a2380316bbc06e","https://www.psacard.com/cert/127166444/psa"
"","Football","2020","Panini Mosaic","Ceedee Lamb","Camo Pink","207","523","784","67%","https://app.cardladder.com/search?gemRateId=44ef3a0bcc3e78c84be99ee44dfaa26039523d77&via=gemrate","https://app.cardladder.com/search?gemRateId=44ef3a0bcc3e78c84be99ee44dfaa26039523d77&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=44ef3a0bcc3e78c84be99ee44dfaa26039523d77&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=44ef3a0bcc3e78c84be99ee44dfaa26039523d77","https://www.psacard.com/cert/127549349/psa"
"","Football","2024","Panini Donruss Optic Uptowns","Ceedee Lamb","Base","21","334","743","45%","https://app.cardladder.com/search?gemRateId=4cd23a07236fc485228fcd5440bc4b6bb024a287&via=gemrate","https://app.cardladder.com/search?gemRateId=4cd23a07236fc485228fcd5440bc4b6bb024a287&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4cd23a07236fc485228fcd5440bc4b6bb024a287&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4cd23a07236fc485228fcd5440bc4b6bb024a287","https://www.psacard.com/cert/144112403/psa"
"","Football","2020","Panini Donruss Optic","Ceedee Lamb","Base","156","398","680","59%","https://app.cardladder.com/search?gemRateId=2e986f5b09660d89572f8b1ad45820ed9c4955d4&via=gemrate","https://app.cardladder.com/search?gemRateId=2e986f5b09660d89572f8b1ad45820ed9c4955d4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2e986f5b09660d89572f8b1ad45820ed9c4955d4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2e986f5b09660d89572f8b1ad45820ed9c4955d4","https://www.psacard.com/cert/136813409/psa"
"","Football","2020","Panini Prizm","Ceedee Lamb","Disco Prizm","334","291","652","45%","https://app.cardladder.com/search?gemRateId=7d2fb585f86c6778a769beb4b82353dc5cb93558&via=gemrate","https://app.cardladder.com/search?gemRateId=7d2fb585f86c6778a769beb4b82353dc5cb93558&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7d2fb585f86c6778a769beb4b82353dc5cb93558&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7d2fb585f86c6778a769beb4b82353dc5cb93558","https://www.psacard.com/cert/137535258/psa"
"","Football","2020","Panini Prizm","Ceedee Lamb","Lazer Prizm","334","199","627","32%","https://app.cardladder.com/search?gemRateId=c23da1d9a2626d98c0ccc6c12d52f8aba85363fd&via=gemrate","https://app.cardladder.com/search?gemRateId=c23da1d9a2626d98c0ccc6c12d52f8aba85363fd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c23da1d9a2626d98c0ccc6c12d52f8aba85363fd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c23da1d9a2626d98c0ccc6c12d52f8aba85363fd","https://www.psacard.com/cert/128558565/psa"
"","Football","2020","Panini Mosaic","Ceedee Lamb","Green Mosaic","207","422","623","68%","https://app.cardladder.com/search?gemRateId=138c59a3c9b094f3ecd065462d769f725ff2111a&via=gemrate","https://app.cardladder.com/search?gemRateId=138c59a3c9b094f3ecd065462d769f725ff2111a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=138c59a3c9b094f3ecd065462d769f725ff2111a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=138c59a3c9b094f3ecd065462d769f725ff2111a","https://www.psacard.com/cert/132825374/psa"
"","Football","2020","Panini Mosaic","Ceedee Lamb","Silver Prizm","207","317","531","60%","https://app.cardladder.com/search?gemRateId=37202881e8037e098cf719316ca0a294ec14cd37&via=gemrate","https://app.cardladder.com/search?gemRateId=37202881e8037e098cf719316ca0a294ec14cd37&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=37202881e8037e098cf719316ca0a294ec14cd37&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=37202881e8037e098cf719316ca0a294ec14cd37","https://www.psacard.com/cert/123953885/psa"
"","Football","2020","Panini Absolute","Ceedee Lamb","Base","115","334","517","65%","https://app.cardladder.com/search?gemRateId=bf181aa80d8b520ea1c91ce06f708a297f1f1b81&via=gemrate","https://app.cardladder.com/search?gemRateId=bf181aa80d8b520ea1c91ce06f708a297f1f1b81&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bf181aa80d8b520ea1c91ce06f708a297f1f1b81&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bf181aa80d8b520ea1c91ce06f708a297f1f1b81","https://www.psacard.com/cert/134128234/psa"
"","Football","2020","Panini Donruss Optic","Ceedee Lamb","Blue Scope","156","316","517","61%","https://app.cardladder.com/search?gemRateId=1b6e63cb583c0274216dd066d430160b5469f411&via=gemrate","https://app.cardladder.com/search?gemRateId=1b6e63cb583c0274216dd066d430160b5469f411&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1b6e63cb583c0274216dd066d430160b5469f411&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1b6e63cb583c0274216dd066d430160b5469f411","https://www.psacard.com/cert/128313358/psa"
