"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2017","Panini Donruss","Christian McCaffrey","Base","318","638","3,467","18%","https://app.cardladder.com/search?gemRateId=44a1d74db7ed684ab657bd017970fd8d796379af&via=gemrate","https://app.cardladder.com/search?gemRateId=44a1d74db7ed684ab657bd017970fd8d796379af&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=44a1d74db7ed684ab657bd017970fd8d796379af&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=44a1d74db7ed684ab657bd017970fd8d796379af","https://www.psacard.com/cert/114576745/psa"
"","Football","2017","Panini Donruss Optic","Christian McCaffrey","Base","168","1,374","3,157","44%","https://app.cardladder.com/search?gemRateId=ff05de55aa6cd8c5b84ff59650fdb570f2b2ca9f&via=gemrate","https://app.cardladder.com/search?gemRateId=ff05de55aa6cd8c5b84ff59650fdb570f2b2ca9f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ff05de55aa6cd8c5b84ff59650fdb570f2b2ca9f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ff05de55aa6cd8c5b84ff59650fdb570f2b2ca9f","https://www.psacard.com/cert/126512376/psa"
"","Football","2017","Panini Prizm","Christian McCaffrey","Prizm","249","1,440","3,113","46%","https://app.cardladder.com/search?gemRateId=40723e293e970e07e1ae5c77c4c3413fcfac7980&via=gemrate","https://app.cardladder.com/search?gemRateId=40723e293e970e07e1ae5c77c4c3413fcfac7980&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=40723e293e970e07e1ae5c77c4c3413fcfac7980&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=40723e293e970e07e1ae5c77c4c3413fcfac7980","https://www.psacard.com/cert/134937390/psa"
"","Football","2017","Panini Donruss Optic","Christian McCaffrey","Red/Yellow","168","461","1,215","38%","https://app.cardladder.com/search?gemRateId=22bae368e3ad8c0c0b102d59b887772e324515bf&via=gemrate","https://app.cardladder.com/search?gemRateId=22bae368e3ad8c0c0b102d59b887772e324515bf&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=22bae368e3ad8c0c0b102d59b887772e324515bf&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=22bae368e3ad8c0c0b102d59b887772e324515bf","https://www.psacard.com/cert/137439204/psa"
"","Football","2017","Panini Donruss Optic","Christian McCaffrey","Holo","168","289","771","37%","https://app.cardladder.com/search?gemRateId=46432b0fc4fd09d72feb486047c253d653d07f9a&via=gemrate","https://app.cardladder.com/search?gemRateId=46432b0fc4fd09d72feb486047c253d653d07f9a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=46432b0fc4fd09d72feb486047c253d653d07f9a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=46432b0fc4fd09d72feb486047c253d653d07f9a","https://www.psacard.com/cert/136920979/psa"
"","Football","2017","Panini Select","Christian McCaffrey","Base","74","381","716","53%","https://app.cardladder.com/search?gemRateId=d163829e7e13c1bdd72241e677c5b46b7694745c&via=gemrate","https://app.cardladder.com/search?gemRateId=d163829e7e13c1bdd72241e677c5b46b7694745c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d163829e7e13c1bdd72241e677c5b46b7694745c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d163829e7e13c1bdd72241e677c5b46b7694745c","https://www.psacard.com/cert/134742942/psa"
"","Football","2017","Panini Donruss Optic","Christian McCaffrey","Pink","168","261","644","41%","https://app.cardladder.com/search?gemRateId=32f83dc1ef98f28078562ab529b786af16e6def0&via=gemrate","https://app.cardladder.com/search?gemRateId=32f83dc1ef98f28078562ab529b786af16e6def0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=32f83dc1ef98f28078562ab529b786af16e6def0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=32f83dc1ef98f28078562ab529b786af16e6def0","https://www.psacard.com/cert/129888974/psa"
"","Football","2017","Panini Score","Christian McCaffrey","Base","373","270","410","66%","https://app.cardladder.com/search?gemRateId=d5a2580da24cc3d578ffc6df90af9c391529cd91&via=gemrate","https://app.cardladder.com/search?gemRateId=d5a2580da24cc3d578ffc6df90af9c391529cd91&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d5a2580da24cc3d578ffc6df90af9c391529cd91&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d5a2580da24cc3d578ffc6df90af9c391529cd91","https://www.psacard.com/cert/127613820/psa"
"","Football","2017","Panini Donruss Optic the Rookies","Christian McCaffrey","Base","5","124","378","33%","https://app.cardladder.com/search?gemRateId=5cf31401771a065d9e2db8239f4d48eda226b648&via=gemrate","https://app.cardladder.com/search?gemRateId=5cf31401771a065d9e2db8239f4d48eda226b648&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5cf31401771a065d9e2db8239f4d48eda226b648&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5cf31401771a065d9e2db8239f4d48eda226b648","https://www.psacard.com/cert/120477090/psa"
