"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Select","Colston Loveland","Base","516","62","87","71%","https://app.cardladder.com/search?gemRateId=e5e4f81ac76b8f5a09101972fd461c789602ef8f&via=gemrate","https://app.cardladder.com/search?gemRateId=e5e4f81ac76b8f5a09101972fd461c789602ef8f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e5e4f81ac76b8f5a09101972fd461c789602ef8f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e5e4f81ac76b8f5a09101972fd461c789602ef8f","https://www.psacard.com/cert/136576381/psa"
"","Football","2025","Panini Absolute Kaboom! Horizontal","Colston Loveland","Base","35","16","57","28%","https://app.cardladder.com/search?gemRateId=e3bada70fa7e1c4a68c35eba419b9b80e878d58f&via=gemrate","https://app.cardladder.com/search?gemRateId=e3bada70fa7e1c4a68c35eba419b9b80e878d58f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e3bada70fa7e1c4a68c35eba419b9b80e878d58f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/145346693/psa"
"","Football","2025","Panini Score","Colston Loveland","Rookie-Signature","31","18","33","55%","https://app.cardladder.com/search?gemRateId=7668f7332f3386a58e590ef66ab72b357e52fd93&via=gemrate","https://app.cardladder.com/search?gemRateId=7668f7332f3386a58e590ef66ab72b357e52fd93&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7668f7332f3386a58e590ef66ab72b357e52fd93&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/133939705/psa"
"","Football","2025","Panini Donruss Downtown! Horizontal","Colston Loveland","Base","16","24","30","80%","https://app.cardladder.com/search?gemRateId=83bdb2f46fd941215e295c7c46c9cdbdf17bd156&via=gemrate","https://app.cardladder.com/search?gemRateId=83bdb2f46fd941215e295c7c46c9cdbdf17bd156&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=83bdb2f46fd941215e295c7c46c9cdbdf17bd156&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/137782992/psa"
"","Football","2025","Panini Phoenix Color Blast","Colston Loveland","Base","12","8","18","44%","https://app.cardladder.com/search?gemRateId=1bac91d1cf39437c647c934e34616c171e6d702f&via=gemrate","https://app.cardladder.com/search?gemRateId=1bac91d1cf39437c647c934e34616c171e6d702f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1bac91d1cf39437c647c934e34616c171e6d702f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/145454586/psa"
"","Football","2025","Panini Mosaic Micro Mosaic","Colston Loveland","Base","22","12","16","75%","https://app.cardladder.com/search?gemRateId=ef0d7d438eed684c0806521ebee4e4ef37067338&via=gemrate","https://app.cardladder.com/search?gemRateId=ef0d7d438eed684c0806521ebee4e4ef37067338&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ef0d7d438eed684c0806521ebee4e4ef37067338&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ef0d7d438eed684c0806521ebee4e4ef37067338","https://www.psacard.com/cert/143490890/psa"
"","Football","2025","Panini Instant NFL Draft Night","Colston Loveland","Autograph","NFLDN16","13","15","87%","https://app.cardladder.com/search?gemRateId=10fc0db4774bbd05b3b921a19db371bdd69b5be4&via=gemrate","https://app.cardladder.com/search?gemRateId=10fc0db4774bbd05b3b921a19db371bdd69b5be4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=10fc0db4774bbd05b3b921a19db371bdd69b5be4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/125611093/psa"
"","Football","2025","Panini Luminance Year One Signatures Rps","Colston Loveland","Base","YOSCLD","1","14","7%","https://app.cardladder.com/search?gemRateId=90037ed129790cc51406173f211958da63469fa0&via=gemrate","https://app.cardladder.com/search?gemRateId=90037ed129790cc51406173f211958da63469fa0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=90037ed129790cc51406173f211958da63469fa0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/130853452/psa"
"","Football","2025","Panini Mosaic","Colston Loveland","Autograph","304","10","13","77%","https://app.cardladder.com/search?gemRateId=a7e48d24157e43f083d6384ddbcd104ab90670fa&via=gemrate","https://app.cardladder.com/search?gemRateId=a7e48d24157e43f083d6384ddbcd104ab90670fa&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a7e48d24157e43f083d6384ddbcd104ab90670fa&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/141272713/psa"
