"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2023","Panini Prizm","DE'Von Achane","Silver Prizm","365","602","1,045","58%","https://app.cardladder.com/search?gemRateId=3ab28b882e8034a35b2b3e4b97b0f07810e40cd9&via=gemrate","https://app.cardladder.com/search?gemRateId=3ab28b882e8034a35b2b3e4b97b0f07810e40cd9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3ab28b882e8034a35b2b3e4b97b0f07810e40cd9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3ab28b882e8034a35b2b3e4b97b0f07810e40cd9","https://www.psacard.com/cert/133696907/psa"
"","Football","2023","Panini Prizm","DE'Von Achane","Lazer Prizm","365","476","703","68%","https://app.cardladder.com/search?gemRateId=560165af92e9727d1fe234f508e9de8937a91735&via=gemrate","https://app.cardladder.com/search?gemRateId=560165af92e9727d1fe234f508e9de8937a91735&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=560165af92e9727d1fe234f508e9de8937a91735&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=560165af92e9727d1fe234f508e9de8937a91735","https://www.psacard.com/cert/127451193/psa"
"","Football","2023","Panini Prizm","DE'Von Achane","Disco Prizm","365","389","555","70%","https://app.cardladder.com/search?gemRateId=b95f03f95c4809e8328fb98d1464e11d77d985f3&via=gemrate","https://app.cardladder.com/search?gemRateId=b95f03f95c4809e8328fb98d1464e11d77d985f3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b95f03f95c4809e8328fb98d1464e11d77d985f3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b95f03f95c4809e8328fb98d1464e11d77d985f3","https://www.psacard.com/cert/121602192/psa"
"","Football","2023","Panini Prizm","DE'Von Achane","Variation","306","269","551","49%","https://app.cardladder.com/search?gemRateId=cf49e1788c589078d2cb4ae736d6015c6570e5a8&via=gemrate","https://app.cardladder.com/search?gemRateId=cf49e1788c589078d2cb4ae736d6015c6570e5a8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cf49e1788c589078d2cb4ae736d6015c6570e5a8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cf49e1788c589078d2cb4ae736d6015c6570e5a8","https://www.psacard.com/cert/140341825/psa"
"","Football","2023","Panini Prizm","DE'Von Achane","Red/White/Blue Prizm","365","309","465","66%","https://app.cardladder.com/search?gemRateId=1dff54ab301bb3bde6f4764d75623e9f4118d38e&via=gemrate","https://app.cardladder.com/search?gemRateId=1dff54ab301bb3bde6f4764d75623e9f4118d38e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1dff54ab301bb3bde6f4764d75623e9f4118d38e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0902c9703afa0fd9ed9aaaa4d48db3992bbd47e6","https://www.psacard.com/cert/121682135/psa"
"","Football","2023","Panini Prizm","DE'Von Achane","Neon Green Pulsar","365","267","399","67%","https://app.cardladder.com/search?gemRateId=7b47ea89ac5acca970749619e73a8105284b3c8c&via=gemrate","https://app.cardladder.com/search?gemRateId=7b47ea89ac5acca970749619e73a8105284b3c8c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7b47ea89ac5acca970749619e73a8105284b3c8c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7b47ea89ac5acca970749619e73a8105284b3c8c","https://www.psacard.com/cert/120279019/psa"
"","Football","2023","Panini Prizm","DE'Von Achane","Autograph","365","200","349","57%","https://app.cardladder.com/search?gemRateId=93c0af7b73004e008b13b855e9804c10d11f7d24&via=gemrate","https://app.cardladder.com/search?gemRateId=93c0af7b73004e008b13b855e9804c10d11f7d24&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=93c0af7b73004e008b13b855e9804c10d11f7d24&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=dc4976f30fe99738ed02efd6aa0dac6626e17b59","https://www.psacard.com/cert/130023288/psa"
"","Football","2023","Panini Prizm","DE'Von Achane","Base","365","184","339","54%","https://app.cardladder.com/search?gemRateId=1945b47dd6bcbf12512b04896e6045487a26a4e1&via=gemrate","https://app.cardladder.com/search?gemRateId=1945b47dd6bcbf12512b04896e6045487a26a4e1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1945b47dd6bcbf12512b04896e6045487a26a4e1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1945b47dd6bcbf12512b04896e6045487a26a4e1","https://www.psacard.com/cert/126336057/psa"
"","Football","2023","Panini Prizm","DE'Von Achane","Green Wave","365","201","338","59%","https://app.cardladder.com/search?gemRateId=f56d67c8d932f3f40a33fdc5ebbb853de9037f06&via=gemrate","https://app.cardladder.com/search?gemRateId=f56d67c8d932f3f40a33fdc5ebbb853de9037f06&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f56d67c8d932f3f40a33fdc5ebbb853de9037f06&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f56d67c8d932f3f40a33fdc5ebbb853de9037f06","https://www.psacard.com/cert/131947838/psa"
