"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2016","Panini Donruss","Dak Prescott","Base","362","1,899","3,190","60%","https://app.cardladder.com/search?gemRateId=15b16d9a04882aaaf02560a946640853a598c825&via=gemrate","https://app.cardladder.com/search?gemRateId=15b16d9a04882aaaf02560a946640853a598c825&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=15b16d9a04882aaaf02560a946640853a598c825&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=15b16d9a04882aaaf02560a946640853a598c825","https://www.psacard.com/cert/132335181/psa"
"","Football","2016","Panini Donruss Optic","Dak Prescott","Base","162","1,177","2,448","48%","https://app.cardladder.com/search?gemRateId=8889aabfeedb76f2bdea074dfe99d94ac5df2e1b&via=gemrate","https://app.cardladder.com/search?gemRateId=8889aabfeedb76f2bdea074dfe99d94ac5df2e1b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8889aabfeedb76f2bdea074dfe99d94ac5df2e1b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8889aabfeedb76f2bdea074dfe99d94ac5df2e1b","https://www.psacard.com/cert/132082925/psa"
"","Football","2016","Panini Prizm","Dak Prescott","Prizm","231","1,601","2,403","67%","https://app.cardladder.com/search?gemRateId=dc8bd3e8eee77711a60ebcfaec579518e2ea4a7e&via=gemrate","https://app.cardladder.com/search?gemRateId=dc8bd3e8eee77711a60ebcfaec579518e2ea4a7e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=dc8bd3e8eee77711a60ebcfaec579518e2ea4a7e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=dc8bd3e8eee77711a60ebcfaec579518e2ea4a7e","https://www.psacard.com/cert/136680736/psa"
"","Football","2016","Panini Select","Dak Prescott","Base","70","480","744","65%","https://app.cardladder.com/search?gemRateId=2ebb01fdcfe0eb26f08f3e42dacb33175ca8b791&via=gemrate","https://app.cardladder.com/search?gemRateId=2ebb01fdcfe0eb26f08f3e42dacb33175ca8b791&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2ebb01fdcfe0eb26f08f3e42dacb33175ca8b791&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2ebb01fdcfe0eb26f08f3e42dacb33175ca8b791","https://www.psacard.com/cert/100973786/psa"
"","Football","2016","Panini Donruss Optic","Dak Prescott","Red & Yellow","162","187","490","38%","https://app.cardladder.com/search?gemRateId=e0de4ec95d397c98afa540ba26581a37ffe03331&via=gemrate","https://app.cardladder.com/search?gemRateId=e0de4ec95d397c98afa540ba26581a37ffe03331&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e0de4ec95d397c98afa540ba26581a37ffe03331&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e0de4ec95d397c98afa540ba26581a37ffe03331","https://www.psacard.com/cert/127429508/psa"
"","Football","2016","Panini Donruss Optic","Dak Prescott","Holo","162","161","446","36%","https://app.cardladder.com/search?gemRateId=0cab28d05aaed1da770d9938cfac58e1585c4f16&via=gemrate","https://app.cardladder.com/search?gemRateId=0cab28d05aaed1da770d9938cfac58e1585c4f16&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0cab28d05aaed1da770d9938cfac58e1585c4f16&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0cab28d05aaed1da770d9938cfac58e1585c4f16","https://www.psacard.com/cert/97811766/psa"
"","Football","2016","Panini Donruss Optic","Dak Prescott","Purple","162","218","425","51%","https://app.cardladder.com/search?gemRateId=a2d1225d6ef6755b2ceb29e90678c83d108d7474&via=gemrate","https://app.cardladder.com/search?gemRateId=a2d1225d6ef6755b2ceb29e90678c83d108d7474&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a2d1225d6ef6755b2ceb29e90678c83d108d7474&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a2d1225d6ef6755b2ceb29e90678c83d108d7474","https://www.psacard.com/cert/130403106/psa"
"","Football","2016","Panini Score","Dak Prescott","Base","337","286","396","72%","https://app.cardladder.com/search?gemRateId=b7180f3de30d8d61157764c9fba7e574f1b21063&via=gemrate","https://app.cardladder.com/search?gemRateId=b7180f3de30d8d61157764c9fba7e574f1b21063&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b7180f3de30d8d61157764c9fba7e574f1b21063&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b7180f3de30d8d61157764c9fba7e574f1b21063","https://www.psacard.com/cert/107273716/psa"
"","Football","2016","Panini Contenders Draft Picks Game Day Tickets","Dak Prescott","Base","25","305","365","84%","https://app.cardladder.com/search?gemRateId=1e9135771ba2e8016029b8f6515d063806ab332a&via=gemrate","https://app.cardladder.com/search?gemRateId=1e9135771ba2e8016029b8f6515d063806ab332a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1e9135771ba2e8016029b8f6515d063806ab332a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/104638627/psa"
