"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2020","Panini Prizm","Deni Avdija","Silver Prizm","290","188","461","41%","https://app.cardladder.com/search?gemRateId=9d8afe705fb8342f2fff8e50955c101b6aa5b45b&via=gemrate","https://app.cardladder.com/search?gemRateId=9d8afe705fb8342f2fff8e50955c101b6aa5b45b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9d8afe705fb8342f2fff8e50955c101b6aa5b45b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9d8afe705fb8342f2fff8e50955c101b6aa5b45b","https://www.psacard.com/cert/129532841/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Base","6","277","384","72%","https://app.cardladder.com/search?gemRateId=79682b472e62441cd62b8d66537029ba3478a645&via=gemrate","https://app.cardladder.com/search?gemRateId=79682b472e62441cd62b8d66537029ba3478a645&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=79682b472e62441cd62b8d66537029ba3478a645&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=79682b472e62441cd62b8d66537029ba3478a645","https://www.psacard.com/cert/89674247/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Base","46","211","352","60%","https://app.cardladder.com/search?gemRateId=4af23144318bd87a3de1e67f956fc07506735a71&via=gemrate","https://app.cardladder.com/search?gemRateId=4af23144318bd87a3de1e67f956fc07506735a71&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4af23144318bd87a3de1e67f956fc07506735a71&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4af23144318bd87a3de1e67f956fc07506735a71","https://www.psacard.com/cert/61297573/psa"
"","Basketball","2020","Panini Hoops","Deni Avdija","Base","201","102","262","39%","https://app.cardladder.com/search?gemRateId=d0d3488a122c70abc5a13696f81f8f0d10dd46d1&via=gemrate","https://app.cardladder.com/search?gemRateId=d0d3488a122c70abc5a13696f81f8f0d10dd46d1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d0d3488a122c70abc5a13696f81f8f0d10dd46d1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d0d3488a122c70abc5a13696f81f8f0d10dd46d1","https://www.psacard.com/cert/62792462/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Base","100","150","230","65%","https://app.cardladder.com/search?gemRateId=9604d6e39e002079122d5d3ae1fb3c9e60ae7456&via=gemrate","https://app.cardladder.com/search?gemRateId=9604d6e39e002079122d5d3ae1fb3c9e60ae7456&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9604d6e39e002079122d5d3ae1fb3c9e60ae7456&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9604d6e39e002079122d5d3ae1fb3c9e60ae7456","https://www.psacard.com/cert/62064687/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Base","86","132","209","63%","https://app.cardladder.com/search?gemRateId=cc188ac61f5c5a8f908ca8f6805c1ad7cdb04f33&via=gemrate","https://app.cardladder.com/search?gemRateId=cc188ac61f5c5a8f908ca8f6805c1ad7cdb04f33&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cc188ac61f5c5a8f908ca8f6805c1ad7cdb04f33&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cc188ac61f5c5a8f908ca8f6805c1ad7cdb04f33","https://www.psacard.com/cert/61759298/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Silver Prizm","6","144","191","75%","https://app.cardladder.com/search?gemRateId=f1d6812e0c5f8fbc123bd5a32fd5df78b2ad6a0d&via=gemrate","https://app.cardladder.com/search?gemRateId=f1d6812e0c5f8fbc123bd5a32fd5df78b2ad6a0d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f1d6812e0c5f8fbc123bd5a32fd5df78b2ad6a0d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f1d6812e0c5f8fbc123bd5a32fd5df78b2ad6a0d","https://www.psacard.com/cert/67388555/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Silver Prizm","46","114","187","61%","https://app.cardladder.com/search?gemRateId=ca8f90c2cd7b5ee5277a689a65667a253bb05a36&via=gemrate","https://app.cardladder.com/search?gemRateId=ca8f90c2cd7b5ee5277a689a65667a253bb05a36&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ca8f90c2cd7b5ee5277a689a65667a253bb05a36&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ca8f90c2cd7b5ee5277a689a65667a253bb05a36","https://www.psacard.com/cert/62764699/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Pink Ice","46","82","146","56%","https://app.cardladder.com/search?gemRateId=ebf55839874f8b8f05015dbfe187a5b54bdf0794&via=gemrate","https://app.cardladder.com/search?gemRateId=ebf55839874f8b8f05015dbfe187a5b54bdf0794&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ebf55839874f8b8f05015dbfe187a5b54bdf0794&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ebf55839874f8b8f05015dbfe187a5b54bdf0794","https://www.psacard.com/cert/62730337/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Silver Prizm","100","88","128","69%","https://app.cardladder.com/search?gemRateId=b3c533958e35b83f47c2991cec2507f38d6187ae&via=gemrate","https://app.cardladder.com/search?gemRateId=b3c533958e35b83f47c2991cec2507f38d6187ae&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b3c533958e35b83f47c2991cec2507f38d6187ae&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b3c533958e35b83f47c2991cec2507f38d6187ae","https://www.psacard.com/cert/118674250/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Green Prizm","6","99","124","80%","https://app.cardladder.com/search?gemRateId=0a981b4e816045aea13d860f545c1fff2714d773&via=gemrate","https://app.cardladder.com/search?gemRateId=0a981b4e816045aea13d860f545c1fff2714d773&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0a981b4e816045aea13d860f545c1fff2714d773&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0a981b4e816045aea13d860f545c1fff2714d773","https://www.psacard.com/cert/62664799/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Pink Ice","100","83","123","67%","https://app.cardladder.com/search?gemRateId=54bccc917a6ea7b209635635997e43580cdc6d52&via=gemrate","https://app.cardladder.com/search?gemRateId=54bccc917a6ea7b209635635997e43580cdc6d52&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=54bccc917a6ea7b209635635997e43580cdc6d52&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=54bccc917a6ea7b209635635997e43580cdc6d52","https://www.psacard.com/cert/62764702/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Pink Ice","6","82","120","68%","https://app.cardladder.com/search?gemRateId=1cd2279a26bac4aedeeb2d90ffc4735c6a441253&via=gemrate","https://app.cardladder.com/search?gemRateId=1cd2279a26bac4aedeeb2d90ffc4735c6a441253&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1cd2279a26bac4aedeeb2d90ffc4735c6a441253&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1cd2279a26bac4aedeeb2d90ffc4735c6a441253","https://www.psacard.com/cert/62730333/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Pink Ice","86","67","114","59%","https://app.cardladder.com/search?gemRateId=c2466385bfedcd836a6d0e7c2b79d6bd85781fd0&via=gemrate","https://app.cardladder.com/search?gemRateId=c2466385bfedcd836a6d0e7c2b79d6bd85781fd0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c2466385bfedcd836a6d0e7c2b79d6bd85781fd0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c2466385bfedcd836a6d0e7c2b79d6bd85781fd0","https://www.psacard.com/cert/62546742/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Red Ice","6","83","104","80%","https://app.cardladder.com/search?gemRateId=9566441d8c2fecbf80edda76dc913db0a14b8827&via=gemrate","https://app.cardladder.com/search?gemRateId=9566441d8c2fecbf80edda76dc913db0a14b8827&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9566441d8c2fecbf80edda76dc913db0a14b8827&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9566441d8c2fecbf80edda76dc913db0a14b8827","https://www.psacard.com/cert/67248418/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Red Ice","46","64","92","70%","https://app.cardladder.com/search?gemRateId=fe2d4e880644e5ffe3b95f07bec02f010952eaef&via=gemrate","https://app.cardladder.com/search?gemRateId=fe2d4e880644e5ffe3b95f07bec02f010952eaef&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fe2d4e880644e5ffe3b95f07bec02f010952eaef&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fe2d4e880644e5ffe3b95f07bec02f010952eaef","https://www.psacard.com/cert/88041543/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Green Prizm","46","57","91","63%","https://app.cardladder.com/search?gemRateId=f5a0974c811836013a838f1eb9da3ce6d135ffdb&via=gemrate","https://app.cardladder.com/search?gemRateId=f5a0974c811836013a838f1eb9da3ce6d135ffdb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f5a0974c811836013a838f1eb9da3ce6d135ffdb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f5a0974c811836013a838f1eb9da3ce6d135ffdb","https://www.psacard.com/cert/61589198/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Red/White/Blue Prizm","6","65","87","75%","https://app.cardladder.com/search?gemRateId=990b189dcceb8ad44fd4ef23f9082b39562e3bba&via=gemrate","https://app.cardladder.com/search?gemRateId=990b189dcceb8ad44fd4ef23f9082b39562e3bba&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=990b189dcceb8ad44fd4ef23f9082b39562e3bba&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=990b189dcceb8ad44fd4ef23f9082b39562e3bba","https://www.psacard.com/cert/67248419/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Red Ice","100","67","86","78%","https://app.cardladder.com/search?gemRateId=5116a68fe0e7883c1bad870ce30908f998b10d05&via=gemrate","https://app.cardladder.com/search?gemRateId=5116a68fe0e7883c1bad870ce30908f998b10d05&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5116a68fe0e7883c1bad870ce30908f998b10d05&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5116a68fe0e7883c1bad870ce30908f998b10d05","https://www.psacard.com/cert/66950101/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Red/White/Blue Prizm","46","57","85","67%","https://app.cardladder.com/search?gemRateId=c06fccbbfdffe39b532e97caf22ffe2e6bd79d65&via=gemrate","https://app.cardladder.com/search?gemRateId=c06fccbbfdffe39b532e97caf22ffe2e6bd79d65&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c06fccbbfdffe39b532e97caf22ffe2e6bd79d65&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c06fccbbfdffe39b532e97caf22ffe2e6bd79d65","https://www.psacard.com/cert/62664786/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Silver Prizm","86","54","85","64%","https://app.cardladder.com/search?gemRateId=77c2a2a96fdaf80153cf5b79dc711b1afc7e5f37&via=gemrate","https://app.cardladder.com/search?gemRateId=77c2a2a96fdaf80153cf5b79dc711b1afc7e5f37&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=77c2a2a96fdaf80153cf5b79dc711b1afc7e5f37&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=77c2a2a96fdaf80153cf5b79dc711b1afc7e5f37","https://www.psacard.com/cert/62767599/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Deni Avdija","Red/White/Blue Prizm","100","58","79","73%","https://app.cardladder.com/search?gemRateId=b7178720a975d1f13f850782d2c90fd37d2fdf0f&via=gemrate","https://app.cardladder.com/search?gemRateId=b7178720a975d1f13f850782d2c90fd37d2fdf0f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b7178720a975d1f13f850782d2c90fd37d2fdf0f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b7178720a975d1f13f850782d2c90fd37d2fdf0f","https://www.psacard.com/cert/94375486/psa"
