"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2017","Panini Prizm","Donovan Mitchell","Base","117","5,330","10,311","52%","https://app.cardladder.com/search?gemRateId=9872a3add3bc6470fb7d9ec43f4feae102d7bfc7&via=gemrate","https://app.cardladder.com/search?gemRateId=9872a3add3bc6470fb7d9ec43f4feae102d7bfc7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9872a3add3bc6470fb7d9ec43f4feae102d7bfc7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9872a3add3bc6470fb7d9ec43f4feae102d7bfc7","https://www.psacard.com/cert/121157207/psa"
"","Basketball","2017","Panini Donruss Optic","Donovan Mitchell","Base","188","3,970","7,520","53%","https://app.cardladder.com/search?gemRateId=43ce435d460999afb2815efdbc9700484af9410c&via=gemrate","https://app.cardladder.com/search?gemRateId=43ce435d460999afb2815efdbc9700484af9410c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=43ce435d460999afb2815efdbc9700484af9410c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=43ce435d460999afb2815efdbc9700484af9410c","https://www.psacard.com/cert/132472984/psa"
"","Basketball","2017","Panini Donruss Optic","Donovan Mitchell","Red/Yellow","188","2,134","3,882","55%","https://app.cardladder.com/search?gemRateId=19f81c3482177fb6f7432f3d35de8cad5d687062&via=gemrate","https://app.cardladder.com/search?gemRateId=19f81c3482177fb6f7432f3d35de8cad5d687062&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=19f81c3482177fb6f7432f3d35de8cad5d687062&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=19f81c3482177fb6f7432f3d35de8cad5d687062","https://www.psacard.com/cert/134580562/psa"
"","Basketball","2017","Panini Hoops","Donovan Mitchell","Base","263","1,703","2,736","62%","https://app.cardladder.com/search?gemRateId=9ae847f3f7f975940806fd173ab11e867a1aac85&via=gemrate","https://app.cardladder.com/search?gemRateId=9ae847f3f7f975940806fd173ab11e867a1aac85&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9ae847f3f7f975940806fd173ab11e867a1aac85&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9ae847f3f7f975940806fd173ab11e867a1aac85","https://www.psacard.com/cert/137755154/psa"
"","Basketball","2017","Panini Donruss","Donovan Mitchell","Base","188","503","2,686","19%","https://app.cardladder.com/search?gemRateId=2502acfaf705558952f7de790ee516f84e78a222&via=gemrate","https://app.cardladder.com/search?gemRateId=2502acfaf705558952f7de790ee516f84e78a222&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2502acfaf705558952f7de790ee516f84e78a222&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2502acfaf705558952f7de790ee516f84e78a222","https://www.psacard.com/cert/132469886/psa"
"","Basketball","2017","Panini Donruss Optic","Donovan Mitchell","Shock","188","1,002","2,377","42%","https://app.cardladder.com/search?gemRateId=867f19c6e9d096a368b1fba895b16525c508ef4a&via=gemrate","https://app.cardladder.com/search?gemRateId=867f19c6e9d096a368b1fba895b16525c508ef4a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=867f19c6e9d096a368b1fba895b16525c508ef4a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=867f19c6e9d096a368b1fba895b16525c508ef4a","https://www.psacard.com/cert/124425995/psa"
"","Basketball","2017","Panini Select","Donovan Mitchell","Base","11","946","1,874","50%","https://app.cardladder.com/search?gemRateId=3f411124c0b7444e06585d372df0d09a9d1d8ceb&via=gemrate","https://app.cardladder.com/search?gemRateId=3f411124c0b7444e06585d372df0d09a9d1d8ceb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3f411124c0b7444e06585d372df0d09a9d1d8ceb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3f411124c0b7444e06585d372df0d09a9d1d8ceb","https://www.psacard.com/cert/93385423/psa"
"","Basketball","2017","Panini Prizm","Donovan Mitchell","Silver Prizm","117","631","1,347","47%","https://app.cardladder.com/search?gemRateId=ff96dbcf9c57bb4f5baee25a5a7178059232ae20&via=gemrate","https://app.cardladder.com/search?gemRateId=ff96dbcf9c57bb4f5baee25a5a7178059232ae20&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ff96dbcf9c57bb4f5baee25a5a7178059232ae20&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ff96dbcf9c57bb4f5baee25a5a7178059232ae20","https://www.psacard.com/cert/126094929/psa"
"","Basketball","2017","Panini Status","Donovan Mitchell","Base","122","410","847","48%","https://app.cardladder.com/search?gemRateId=dc158e732ffde3e3f3963efb0a9a79f363b20fa4&via=gemrate","https://app.cardladder.com/search?gemRateId=dc158e732ffde3e3f3963efb0a9a79f363b20fa4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=dc158e732ffde3e3f3963efb0a9a79f363b20fa4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=dc158e732ffde3e3f3963efb0a9a79f363b20fa4","https://www.psacard.com/cert/117467024/psa"
