"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2025","Topps Now Draft","Dylan Harper","Base","D2","574","689","83%","https://app.cardladder.com/search?gemRateId=328a87d6ad48e4f15a2cda53fb3f0d24d45b0356&via=gemrate","https://app.cardladder.com/search?gemRateId=328a87d6ad48e4f15a2cda53fb3f0d24d45b0356&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=328a87d6ad48e4f15a2cda53fb3f0d24d45b0356&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/143364524/psa"
"","Basketball","2025","Topps","Dylan Harper","Base","202","192","424","45%","https://app.cardladder.com/search?gemRateId=ae0dd5e2f13429e47d0e32ee27e71a86248f7fc3&via=gemrate","https://app.cardladder.com/search?gemRateId=ae0dd5e2f13429e47d0e32ee27e71a86248f7fc3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ae0dd5e2f13429e47d0e32ee27e71a86248f7fc3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ae0dd5e2f13429e47d0e32ee27e71a86248f7fc3","https://www.psacard.com/cert/139523205/psa"
"","Basketball","2025","Panini Instant NBA Draft Night","Dylan Harper","Base","2","265","402","66%","https://app.cardladder.com/search?gemRateId=cb09e549a504149135e97984e75995bca2ce39fa&via=gemrate","https://app.cardladder.com/search?gemRateId=cb09e549a504149135e97984e75995bca2ce39fa&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cb09e549a504149135e97984e75995bca2ce39fa&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/143268021/psa"
"","Basketball","2025","Topps Silver Pack 1980-81 Topps Chrome Basketball","Dylan Harper","Base","TC-DH","63","132","48%","https://app.cardladder.com/search?gemRateId=40dea1fdd4fd1dd95f40d454dfe136ba41dff10d&via=gemrate","https://app.cardladder.com/search?gemRateId=40dea1fdd4fd1dd95f40d454dfe136ba41dff10d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=40dea1fdd4fd1dd95f40d454dfe136ba41dff10d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/146988424/psa"
"","Basketball","2024","Topps Chrome McDonald's All American Event Autographs","Dylan Harper","Base","DH","46","123","37%","https://app.cardladder.com/search?gemRateId=6dc334e1d729203bb19a311b5b71d311ee132a11&via=gemrate","https://app.cardladder.com/search?gemRateId=6dc334e1d729203bb19a311b5b71d311ee132a11&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6dc334e1d729203bb19a311b5b71d311ee132a11&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/136315549/psa"
"","Basketball","2025","Topps Now","Cooper Flagg/Dylan Harper","Base","8","75","101","74%","https://app.cardladder.com/search?gemRateId=664e8912f98e72e86bd3b9108e51d38c08d15b70&via=gemrate","https://app.cardladder.com/search?gemRateId=664e8912f98e72e86bd3b9108e51d38c08d15b70&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=664e8912f98e72e86bd3b9108e51d38c08d15b70&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/145650447/psa"
"","Basketball","2025","Topps Power Players","Dylan Harper","Base","PP-17","68","98","69%","https://app.cardladder.com/search?gemRateId=3f13a66050b01310e20060445cee99ebfdb057f0&via=gemrate","https://app.cardladder.com/search?gemRateId=3f13a66050b01310e20060445cee99ebfdb057f0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3f13a66050b01310e20060445cee99ebfdb057f0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/145456871/psa"
"","Basketball","2025","Topps Chrome","Dylan Harper","Base","252","37","88","42%","","","","",""
"","Basketball","2025","Topps Now","Ace Bailey/Dylan Harper","Base","DHAB","75","85","88%","https://app.cardladder.com/search?gemRateId=9985ed0125ce30b961c1df1f2723f252a2ef154c&via=gemrate","https://app.cardladder.com/search?gemRateId=9985ed0125ce30b961c1df1f2723f252a2ef154c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9985ed0125ce30b961c1df1f2723f252a2ef154c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/134102146/psa"
"","Basketball","2025","Topps Chrome","Dylan Harper","X-Fractor","252","42","83","51%","https://app.cardladder.com/search?gemRateId=449fc8c727bfacfc3be987b1d1c6ecafa3917af9&via=gemrate","https://app.cardladder.com/search?gemRateId=449fc8c727bfacfc3be987b1d1c6ecafa3917af9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=449fc8c727bfacfc3be987b1d1c6ecafa3917af9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None",""
"","Basketball","2024","Topps Chrome McDonald's All American Combo Talents","Cooper Flagg/Dylan Harper","Blue Raywave","COO","22","77","29%","https://app.cardladder.com/search?gemRateId=47b2989f5428279f558121b200a076b8c9e45e00&via=gemrate","https://app.cardladder.com/search?gemRateId=47b2989f5428279f558121b200a076b8c9e45e00&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=47b2989f5428279f558121b200a076b8c9e45e00&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/134304724/psa"
"","Basketball","2025","Topps Clutch City Prospects","Dylan Harper","Base","CC-2","41","76","54%","https://app.cardladder.com/search?gemRateId=299396b2baeefa9221e3202e8ecc2ef68df39636&via=gemrate","https://app.cardladder.com/search?gemRateId=299396b2baeefa9221e3202e8ecc2ef68df39636&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=299396b2baeefa9221e3202e8ecc2ef68df39636&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=299396b2baeefa9221e3202e8ecc2ef68df39636","https://www.psacard.com/cert/144893921/psa"
"","Basketball","2025","Topps Now","Dylan Harper","Base","7","61","71","86%","https://app.cardladder.com/search?gemRateId=badc3140ea595ae3b9085d4899bc8fc158b2d0e7&via=gemrate","https://app.cardladder.com/search?gemRateId=badc3140ea595ae3b9085d4899bc8fc158b2d0e7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=badc3140ea595ae3b9085d4899bc8fc158b2d0e7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/139709844/psa"
"","Basketball","2025","Topps 1980-81 Topps Basketball","Dylan Harper","Base","80BK-52","6","59","10%","https://app.cardladder.com/search?gemRateId=f72042388edb84746e03c16c0125bd7c44773961&via=gemrate","https://app.cardladder.com/search?gemRateId=f72042388edb84746e03c16c0125bd7c44773961&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f72042388edb84746e03c16c0125bd7c44773961&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/141479074/psa"
"","Basketball","2025","Topps Chrome","Dylan Harper","Refractor","252","22","59","37%","https://app.cardladder.com/search?gemRateId=a04f9cbb2639c35c3f17b9ee7170fed99aa51977&via=gemrate","https://app.cardladder.com/search?gemRateId=a04f9cbb2639c35c3f17b9ee7170fed99aa51977&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a04f9cbb2639c35c3f17b9ee7170fed99aa51977&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/143958252/psa"
"","Basketball","2025","Panini Instant NBA Rated Rookie Retro","Dylan Harper","Base","RRR-1","24","59","41%","https://app.cardladder.com/search?gemRateId=2817880a02eb8b5f2b69aaf8457d16e61156669b&via=gemrate","https://app.cardladder.com/search?gemRateId=2817880a02eb8b5f2b69aaf8457d16e61156669b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2817880a02eb8b5f2b69aaf8457d16e61156669b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/138912440/psa"
"","Basketball","2025","Topps Chrome Radiating Rookies","Dylan Harper","Base","RR-2","34","55","62%","https://app.cardladder.com/search?gemRateId=e56c0311b147c3f3e45b5d8433be8cc47e3d4d16&via=gemrate","https://app.cardladder.com/search?gemRateId=e56c0311b147c3f3e45b5d8433be8cc47e3d4d16&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e56c0311b147c3f3e45b5d8433be8cc47e3d4d16&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/145289389/psa"
"","Basketball","2025","Topps","Dylan Harper","Rainbow Foilboard","202","15","52","29%","https://app.cardladder.com/search?gemRateId=60738f2b642aa698178a713b2e58a95c3b46bf72&via=gemrate","https://app.cardladder.com/search?gemRateId=60738f2b642aa698178a713b2e58a95c3b46bf72&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=60738f2b642aa698178a713b2e58a95c3b46bf72&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/136533093/psa"
"","Basketball","2025","Topps Havoc Marks","Dylan Harper","Base","HM-DH","11","51","22%","https://app.cardladder.com/search?gemRateId=20f334bce89afad7ae88f2b0c796dc0c302543ab&via=gemrate","https://app.cardladder.com/search?gemRateId=20f334bce89afad7ae88f2b0c796dc0c302543ab&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=20f334bce89afad7ae88f2b0c796dc0c302543ab&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/140433873/psa"
