"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Prizm","JJ McCarthy","Silver Prizm","400","933","3,571","26%","https://app.cardladder.com/search?gemRateId=c58c3236f7f35f5dedd2a18564148821212eeaf9&via=gemrate","https://app.cardladder.com/search?gemRateId=c58c3236f7f35f5dedd2a18564148821212eeaf9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c58c3236f7f35f5dedd2a18564148821212eeaf9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c58c3236f7f35f5dedd2a18564148821212eeaf9","https://www.psacard.com/cert/140256532/psa"
"","Football","2024","Panini Prizm","JJ McCarthy","Base","400","921","3,287","28%","https://app.cardladder.com/search?gemRateId=3930552dd70b83adefc810303e77ad231e0a48b1&via=gemrate","https://app.cardladder.com/search?gemRateId=3930552dd70b83adefc810303e77ad231e0a48b1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3930552dd70b83adefc810303e77ad231e0a48b1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3930552dd70b83adefc810303e77ad231e0a48b1","https://www.psacard.com/cert/138618993/psa"
"","Football","2024","Panini Donruss","JJ McCarthy","Optic Preview-Pink","303","1,163","2,497","47%","https://app.cardladder.com/search?gemRateId=d99c22ee48897067f000668239db7621fdf47776&via=gemrate","https://app.cardladder.com/search?gemRateId=d99c22ee48897067f000668239db7621fdf47776&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d99c22ee48897067f000668239db7621fdf47776&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d99c22ee48897067f000668239db7621fdf47776","https://www.psacard.com/cert/137171569/psa"
"","Football","2024","Panini Donruss Optic","JJ McCarthy","Purple Shock","235","1,065","2,422","44%","https://app.cardladder.com/search?gemRateId=5eecdf10fbe741cae55d7cd43e185dd38c975bf3&via=gemrate","https://app.cardladder.com/search?gemRateId=5eecdf10fbe741cae55d7cd43e185dd38c975bf3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5eecdf10fbe741cae55d7cd43e185dd38c975bf3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5eecdf10fbe741cae55d7cd43e185dd38c975bf3","https://www.psacard.com/cert/138528230/psa"
"","Football","2024","Panini Donruss","JJ McCarthy","Base","303","1,154","2,354","49%","https://app.cardladder.com/search?gemRateId=ec201b95d973de30649baa7e8344dece03aaec89&via=gemrate","https://app.cardladder.com/search?gemRateId=ec201b95d973de30649baa7e8344dece03aaec89&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ec201b95d973de30649baa7e8344dece03aaec89&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ec201b95d973de30649baa7e8344dece03aaec89","https://www.psacard.com/cert/135608840/psa"
"","Football","2024","Panini Prizm","JJ McCarthy","Lazer Prizm","400","848","2,231","38%","https://app.cardladder.com/search?gemRateId=3ea95b0be3cc6f880d244b17a15de04d990da725&via=gemrate","https://app.cardladder.com/search?gemRateId=3ea95b0be3cc6f880d244b17a15de04d990da725&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3ea95b0be3cc6f880d244b17a15de04d990da725&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1c2c18927bfb974acfda57b41d80098144fc53ea","https://www.psacard.com/cert/137978145/psa"
"","Football","2024","Panini Donruss Rated Rookies Retro","JJ McCarthy","Base","2","1,363","2,118","64%","https://app.cardladder.com/search?gemRateId=e87bf445a21c93400b5e128ed17703181a74d3ba&via=gemrate","https://app.cardladder.com/search?gemRateId=e87bf445a21c93400b5e128ed17703181a74d3ba&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e87bf445a21c93400b5e128ed17703181a74d3ba&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e87bf445a21c93400b5e128ed17703181a74d3ba","https://www.psacard.com/cert/142105362/psa"
"","Football","2024","Panini Donruss Downtown!","JJ McCarthy","Base","11","363","1,813","20%","https://app.cardladder.com/search?gemRateId=d3cca9af798bacd30156d2b68e5e02b9d048eb20&via=gemrate","https://app.cardladder.com/search?gemRateId=d3cca9af798bacd30156d2b68e5e02b9d048eb20&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d3cca9af798bacd30156d2b68e5e02b9d048eb20&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d3cca9af798bacd30156d2b68e5e02b9d048eb20","https://www.psacard.com/cert/142640771/psa"
"","Football","2024","Panini Donruss","JJ McCarthy","Optic Preview-Red Wave","303","762","1,792","43%","https://app.cardladder.com/search?gemRateId=fb005cd75b67291a3b29f31985c013ff3e25f474&via=gemrate","https://app.cardladder.com/search?gemRateId=fb005cd75b67291a3b29f31985c013ff3e25f474&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fb005cd75b67291a3b29f31985c013ff3e25f474&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fb005cd75b67291a3b29f31985c013ff3e25f474","https://www.psacard.com/cert/138864047/psa"
