"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2019","Panini Prizm","Ja Morant","Base","249","22,765","41,177","55%","https://app.cardladder.com/search?gemRateId=0acf019da0c23de8f8958073ee370d349eac90e6&via=gemrate","https://app.cardladder.com/search?gemRateId=0acf019da0c23de8f8958073ee370d349eac90e6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0acf019da0c23de8f8958073ee370d349eac90e6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0acf019da0c23de8f8958073ee370d349eac90e6","https://www.psacard.com/cert/129888970/psa"
"","Basketball","2019","Panini Mosaic","Ja Morant","Base","219","8,168","19,511","42%","https://app.cardladder.com/search?gemRateId=f5c542fb7e1d12a6b1b560e945c2bc4d56dcc837&via=gemrate","https://app.cardladder.com/search?gemRateId=f5c542fb7e1d12a6b1b560e945c2bc4d56dcc837&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f5c542fb7e1d12a6b1b560e945c2bc4d56dcc837&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f5c542fb7e1d12a6b1b560e945c2bc4d56dcc837","https://www.psacard.com/cert/127709143/psa"
"","Basketball","2019","Panini Donruss Optic","Ja Morant","Base","168","9,606","17,390","55%","https://app.cardladder.com/search?gemRateId=9ba63063f0bab284a65883cc1fce9e851184517d&via=gemrate","https://app.cardladder.com/search?gemRateId=9ba63063f0bab284a65883cc1fce9e851184517d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9ba63063f0bab284a65883cc1fce9e851184517d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9ba63063f0bab284a65883cc1fce9e851184517d","https://www.psacard.com/cert/136329034/psa"
"","Basketball","2019","Panini Chronicles","Ja Morant","Base","165","7,873","13,235","59%","https://app.cardladder.com/search?gemRateId=bd583f5541278729ff55a33a0cd7cda0799a6e9b&via=gemrate","https://app.cardladder.com/search?gemRateId=bd583f5541278729ff55a33a0cd7cda0799a6e9b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bd583f5541278729ff55a33a0cd7cda0799a6e9b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bd583f5541278729ff55a33a0cd7cda0799a6e9b","https://www.psacard.com/cert/132496209/psa"
"","Basketball","2019","Panini Hoops","Ja Morant","Base","259","7,196","10,903","66%","https://app.cardladder.com/search?gemRateId=eb82367588b8426771105215e20b59f19c115f32&via=gemrate","https://app.cardladder.com/search?gemRateId=eb82367588b8426771105215e20b59f19c115f32&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=eb82367588b8426771105215e20b59f19c115f32&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=eb82367588b8426771105215e20b59f19c115f32","https://www.psacard.com/cert/115952097/psa"
"","Basketball","2019","Panini Mosaic","Ja Morant","Base","274","5,349","10,848","49%","https://app.cardladder.com/search?gemRateId=0cdff127df1f621b0396d235a2d2479a11117fe0&via=gemrate","https://app.cardladder.com/search?gemRateId=0cdff127df1f621b0396d235a2d2479a11117fe0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0cdff127df1f621b0396d235a2d2479a11117fe0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0cdff127df1f621b0396d235a2d2479a11117fe0","https://www.psacard.com/cert/119839880/psa"
"","Basketball","2019","Panini Chronicles","Ja Morant","Base","116","3,056","10,319","30%","https://app.cardladder.com/search?gemRateId=34fb3f9b1d45983e9a336932e117a6d1a8dd17bb&via=gemrate","https://app.cardladder.com/search?gemRateId=34fb3f9b1d45983e9a336932e117a6d1a8dd17bb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=34fb3f9b1d45983e9a336932e117a6d1a8dd17bb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=34fb3f9b1d45983e9a336932e117a6d1a8dd17bb","https://www.psacard.com/cert/144217370/psa"
"","Basketball","2019","Panini Donruss","Ja Morant","Base","202","4,080","9,100","45%","https://app.cardladder.com/search?gemRateId=2e4de9b854ef09cd6b16cd6e67562418d34bd172&via=gemrate","https://app.cardladder.com/search?gemRateId=2e4de9b854ef09cd6b16cd6e67562418d34bd172&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2e4de9b854ef09cd6b16cd6e67562418d34bd172&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2e4de9b854ef09cd6b16cd6e67562418d34bd172","https://www.psacard.com/cert/135742782/psa"
"","Basketball","2019","Panini Hoops","Ja Morant","Base","297","5,013","6,965","72%","https://app.cardladder.com/search?gemRateId=1d5da24cadfdff9ac1de5d936b6aaf01dcee6e4e&via=gemrate","https://app.cardladder.com/search?gemRateId=1d5da24cadfdff9ac1de5d936b6aaf01dcee6e4e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1d5da24cadfdff9ac1de5d936b6aaf01dcee6e4e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1d5da24cadfdff9ac1de5d936b6aaf01dcee6e4e","https://www.psacard.com/cert/115952095/psa"
