"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2023","Panini Prizm","Jahmyr Gibbs","Silver Prizm","331","633","1,678","38%","https://app.cardladder.com/search?gemRateId=57d41ca8b3e61fc9c2c9ec700067719dcd8153f0&via=gemrate","https://app.cardladder.com/search?gemRateId=57d41ca8b3e61fc9c2c9ec700067719dcd8153f0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=57d41ca8b3e61fc9c2c9ec700067719dcd8153f0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=57d41ca8b3e61fc9c2c9ec700067719dcd8153f0","https://www.psacard.com/cert/136882868/psa"
"","Football","2023","Panini Donruss Optic","Jahmyr Gibbs","Holo","236","477","1,261","38%","https://app.cardladder.com/search?gemRateId=fd90eeade8dd11b3597ffe266c7c17d2627a4566&via=gemrate","https://app.cardladder.com/search?gemRateId=fd90eeade8dd11b3597ffe266c7c17d2627a4566&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fd90eeade8dd11b3597ffe266c7c17d2627a4566&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fd90eeade8dd11b3597ffe266c7c17d2627a4566","https://www.psacard.com/cert/134234312/psa"
"","Football","2023","Panini Prizm","Jahmyr Gibbs","Lazer Prizm","331","581","1,118","52%","https://app.cardladder.com/search?gemRateId=dd0a1ac2da1c4681a8582a9179abcccf9d595882&via=gemrate","https://app.cardladder.com/search?gemRateId=dd0a1ac2da1c4681a8582a9179abcccf9d595882&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=dd0a1ac2da1c4681a8582a9179abcccf9d595882&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=dd0a1ac2da1c4681a8582a9179abcccf9d595882","https://www.psacard.com/cert/133703440/psa"
"","Football","2023","Panini Donruss Optic","Jahmyr Gibbs","Purple Shock","236","467","955","49%","https://app.cardladder.com/search?gemRateId=5ee659d470d8c9a6dd46ddaa252579d4ed5393f5&via=gemrate","https://app.cardladder.com/search?gemRateId=5ee659d470d8c9a6dd46ddaa252579d4ed5393f5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5ee659d470d8c9a6dd46ddaa252579d4ed5393f5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5ee659d470d8c9a6dd46ddaa252579d4ed5393f5","https://www.psacard.com/cert/135538172/psa"
"","Football","2023","Panini Prizm","Jahmyr Gibbs","Variation","313","560","928","60%","https://app.cardladder.com/search?gemRateId=c772550074acdc1ad7f75125f8f3ec0b09ba5b1f&via=gemrate","https://app.cardladder.com/search?gemRateId=c772550074acdc1ad7f75125f8f3ec0b09ba5b1f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c772550074acdc1ad7f75125f8f3ec0b09ba5b1f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c772550074acdc1ad7f75125f8f3ec0b09ba5b1f","https://www.psacard.com/cert/138619574/psa"
"","Football","2023","Panini Prizm","Jahmyr Gibbs","Disco Prizm","331","483","858","56%","https://app.cardladder.com/search?gemRateId=79cad580496c44d01ff376109c3bed6777cdaf81&via=gemrate","https://app.cardladder.com/search?gemRateId=79cad580496c44d01ff376109c3bed6777cdaf81&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=79cad580496c44d01ff376109c3bed6777cdaf81&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=79cad580496c44d01ff376109c3bed6777cdaf81","https://www.psacard.com/cert/134873651/psa"
"","Football","2023","Panini Prizm","Jahmyr Gibbs","Base","331","300","716","42%","https://app.cardladder.com/search?gemRateId=d8ef6b4645a24465f43db219f010ecf021bc8f5b&via=gemrate","https://app.cardladder.com/search?gemRateId=d8ef6b4645a24465f43db219f010ecf021bc8f5b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d8ef6b4645a24465f43db219f010ecf021bc8f5b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d8ef6b4645a24465f43db219f010ecf021bc8f5b","https://www.psacard.com/cert/126969475/psa"
"","Football","2023","Panini Donruss Downtown!","Jahmyr Gibbs","Base","D11","307","699","44%","https://app.cardladder.com/search?gemRateId=58cb0ec864f8e11d86b9594fa09ed4a2010cb01b&via=gemrate","https://app.cardladder.com/search?gemRateId=58cb0ec864f8e11d86b9594fa09ed4a2010cb01b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=58cb0ec864f8e11d86b9594fa09ed4a2010cb01b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=58cb0ec864f8e11d86b9594fa09ed4a2010cb01b","https://www.psacard.com/cert/129586219/psa"
"","Football","2023","Panini Donruss","Jahmyr Gibbs","Base","331","325","662","49%","https://app.cardladder.com/search?gemRateId=09950c6f6bd723acc60596ae3de81fda7f44e20e&via=gemrate","https://app.cardladder.com/search?gemRateId=09950c6f6bd723acc60596ae3de81fda7f44e20e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=09950c6f6bd723acc60596ae3de81fda7f44e20e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=09950c6f6bd723acc60596ae3de81fda7f44e20e","https://www.psacard.com/cert/108399481/psa"
