"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2018","Panini Prizm","Jalen Brunson","Base","250","597","2,530","24%","https://app.cardladder.com/search?gemRateId=b90031c4ea709c13588c173ee7b408271b1ecb52&via=gemrate","https://app.cardladder.com/search?gemRateId=b90031c4ea709c13588c173ee7b408271b1ecb52&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b90031c4ea709c13588c173ee7b408271b1ecb52&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b90031c4ea709c13588c173ee7b408271b1ecb52","https://www.psacard.com/cert/141775674/psa"
"","Basketball","2018","Panini Prizm","Jalen Brunson","Silver Prizm","250","634","2,072","31%","https://app.cardladder.com/search?gemRateId=d0e68923d82aab7a03763e7f4e2ad55c87f4190e&via=gemrate","https://app.cardladder.com/search?gemRateId=d0e68923d82aab7a03763e7f4e2ad55c87f4190e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d0e68923d82aab7a03763e7f4e2ad55c87f4190e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d0e68923d82aab7a03763e7f4e2ad55c87f4190e","https://www.psacard.com/cert/132656363/psa"
"","Basketball","2018","Panini Donruss Optic","Jalen Brunson","Shock","179","157","964","16%","https://app.cardladder.com/search?gemRateId=5e3323dc4d344ec43360c8950a9a905c90dc9928&via=gemrate","https://app.cardladder.com/search?gemRateId=5e3323dc4d344ec43360c8950a9a905c90dc9928&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5e3323dc4d344ec43360c8950a9a905c90dc9928&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5e3323dc4d344ec43360c8950a9a905c90dc9928","https://www.psacard.com/cert/134536394/psa"
"","Basketball","2018","Panini Prizm","Jalen Brunson","Red/White/Blue Prizm","250","374","882","42%","https://app.cardladder.com/search?gemRateId=b7420b5fff3da9fc7e75fc9eeb78e5c85d3aacd2&via=gemrate","https://app.cardladder.com/search?gemRateId=b7420b5fff3da9fc7e75fc9eeb78e5c85d3aacd2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b7420b5fff3da9fc7e75fc9eeb78e5c85d3aacd2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b7420b5fff3da9fc7e75fc9eeb78e5c85d3aacd2","https://www.psacard.com/cert/136901179/psa"
"","Basketball","2018","Panini Donruss","Jalen Brunson","Base","179","392","760","52%","https://app.cardladder.com/search?gemRateId=e9a1c5ece68970781d930e902b2389aaba73dc82&via=gemrate","https://app.cardladder.com/search?gemRateId=e9a1c5ece68970781d930e902b2389aaba73dc82&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e9a1c5ece68970781d930e902b2389aaba73dc82&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e9a1c5ece68970781d930e902b2389aaba73dc82","https://www.psacard.com/cert/144938595/psa"
"","Basketball","2018","Panini Donruss Optic","Jalen Brunson","Base","179","370","726","51%","https://app.cardladder.com/search?gemRateId=041de9f346f51153f8bf7510a637437a912c2563&via=gemrate","https://app.cardladder.com/search?gemRateId=041de9f346f51153f8bf7510a637437a912c2563&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=041de9f346f51153f8bf7510a637437a912c2563&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=041de9f346f51153f8bf7510a637437a912c2563","https://www.psacard.com/cert/143639910/psa"
"","Basketball","2018","Panini Prizm","Jalen Brunson","Green Prizm","250","151","397","38%","https://app.cardladder.com/search?gemRateId=3dc8cef051d2e6acc132a898d8248c5e2449f721&via=gemrate","https://app.cardladder.com/search?gemRateId=3dc8cef051d2e6acc132a898d8248c5e2449f721&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3dc8cef051d2e6acc132a898d8248c5e2449f721&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3dc8cef051d2e6acc132a898d8248c5e2449f721","https://www.psacard.com/cert/131140659/psa"
"","Basketball","2018","Panini Prizm","Jalen Brunson","Pink Ice","250","175","377","46%","https://app.cardladder.com/search?gemRateId=b808a733f7c64ce7e5be5ac17a88959c08552986&via=gemrate","https://app.cardladder.com/search?gemRateId=b808a733f7c64ce7e5be5ac17a88959c08552986&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b808a733f7c64ce7e5be5ac17a88959c08552986&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b808a733f7c64ce7e5be5ac17a88959c08552986","https://www.psacard.com/cert/136901178/psa"
"","Basketball","2018","Panini Donruss Optic","Jalen Brunson","Blue Velocity","179","193","297","65%","https://app.cardladder.com/search?gemRateId=0035368c3d1e9193ee2a00fa26f9295ae8bced9b&via=gemrate","https://app.cardladder.com/search?gemRateId=0035368c3d1e9193ee2a00fa26f9295ae8bced9b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0035368c3d1e9193ee2a00fa26f9295ae8bced9b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0035368c3d1e9193ee2a00fa26f9295ae8bced9b","https://www.psacard.com/cert/132508471/psa"
