"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2009","Topps","James Harden","Base","319","215","2,979","7%","https://app.cardladder.com/search?gemRateId=5e0a29034c9677cc6636750c3235459726260a41&via=gemrate","https://app.cardladder.com/search?gemRateId=5e0a29034c9677cc6636750c3235459726260a41&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5e0a29034c9677cc6636750c3235459726260a41&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5e0a29034c9677cc6636750c3235459726260a41","https://www.psacard.com/cert/97877607/psa"
"","Basketball","2009","Upper Deck Draft Edition","James Harden","Base","40","739","1,474","50%","https://app.cardladder.com/search?gemRateId=39395c32bfe75023d59c4201c4644a326b05014e&via=gemrate","https://app.cardladder.com/search?gemRateId=39395c32bfe75023d59c4201c4644a326b05014e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=39395c32bfe75023d59c4201c4644a326b05014e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=39395c32bfe75023d59c4201c4644a326b05014e","https://www.psacard.com/cert/113928080/psa"
"","Basketball","2009","Upper Deck","James Harden","Base","227","202","970","21%","https://app.cardladder.com/search?gemRateId=a9d503fe73334cbfc5351420825c50e816eb4245&via=gemrate","https://app.cardladder.com/search?gemRateId=a9d503fe73334cbfc5351420825c50e816eb4245&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a9d503fe73334cbfc5351420825c50e816eb4245&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a9d503fe73334cbfc5351420825c50e816eb4245","https://www.psacard.com/cert/101012278/psa"
"","Basketball","2009","Panini","James Harden","Base","303","430","951","45%","https://app.cardladder.com/search?gemRateId=ed59accd83942014e9ac388e79da7dcc93ebd51e&via=gemrate","https://app.cardladder.com/search?gemRateId=ed59accd83942014e9ac388e79da7dcc93ebd51e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ed59accd83942014e9ac388e79da7dcc93ebd51e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ed59accd83942014e9ac388e79da7dcc93ebd51e","https://www.psacard.com/cert/104666013/psa"
"","Basketball","2009","Panini","James Harden","Base","353","199","830","24%","https://app.cardladder.com/search?gemRateId=d090b6b1d85e269f3a4d92e261e8be58f7ce2817&via=gemrate","https://app.cardladder.com/search?gemRateId=d090b6b1d85e269f3a4d92e261e8be58f7ce2817&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d090b6b1d85e269f3a4d92e261e8be58f7ce2817&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d090b6b1d85e269f3a4d92e261e8be58f7ce2817","https://www.psacard.com/cert/91271832/psa"
"","Basketball","2009","Panini","James Harden","Base","400","241","678","36%","https://app.cardladder.com/search?gemRateId=61dfd33228af87cc35695b4c6d7606620de66e6c&via=gemrate","https://app.cardladder.com/search?gemRateId=61dfd33228af87cc35695b4c6d7606620de66e6c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=61dfd33228af87cc35695b4c6d7606620de66e6c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=61dfd33228af87cc35695b4c6d7606620de66e6c","https://www.psacard.com/cert/116060430/psa"
"","Basketball","2009","Panini Prestige","James Harden","Base","203","348","622","56%","https://app.cardladder.com/search?gemRateId=8ff89a2dcb72d81731614f497055bda32c40693d&via=gemrate","https://app.cardladder.com/search?gemRateId=8ff89a2dcb72d81731614f497055bda32c40693d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8ff89a2dcb72d81731614f497055bda32c40693d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8ff89a2dcb72d81731614f497055bda32c40693d","https://www.psacard.com/cert/122952531/psa"
"","Basketball","2012","Panini Prizm","James Harden","Base","95","172","604","28%","https://app.cardladder.com/search?gemRateId=4df41951cae0a08d60a4b4f0e59f2bf5c023ae60&via=gemrate","https://app.cardladder.com/search?gemRateId=4df41951cae0a08d60a4b4f0e59f2bf5c023ae60&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4df41951cae0a08d60a4b4f0e59f2bf5c023ae60&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4df41951cae0a08d60a4b4f0e59f2bf5c023ae60","https://www.psacard.com/cert/98109404/psa"
"","Basketball","2009","Panini Prestige","James Harden","Base","153","290","533","54%","https://app.cardladder.com/search?gemRateId=63b4e3d4ba780b13d3b5198466d5407313dc79eb&via=gemrate","https://app.cardladder.com/search?gemRateId=63b4e3d4ba780b13d3b5198466d5407313dc79eb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=63b4e3d4ba780b13d3b5198466d5407313dc79eb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=63b4e3d4ba780b13d3b5198466d5407313dc79eb","https://www.psacard.com/cert/109739355/psa"
