"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2016","Panini Prizm","Jared Goff","Prizm","208","677","1,917","35%","https://app.cardladder.com/search?gemRateId=b37417c1c621307b1f32f54fd209e784530472c1&via=gemrate","https://app.cardladder.com/search?gemRateId=b37417c1c621307b1f32f54fd209e784530472c1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b37417c1c621307b1f32f54fd209e784530472c1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b37417c1c621307b1f32f54fd209e784530472c1","https://www.psacard.com/cert/145066455/psa"
"","Football","2016","Panini Donruss","Jared Goff","Base","372","849","1,577","54%","https://app.cardladder.com/search?gemRateId=3bbfccf180b1dee9d132914faa48d4c17b06efce&via=gemrate","https://app.cardladder.com/search?gemRateId=3bbfccf180b1dee9d132914faa48d4c17b06efce&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3bbfccf180b1dee9d132914faa48d4c17b06efce&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3bbfccf180b1dee9d132914faa48d4c17b06efce","https://www.psacard.com/cert/140489314/psa"
"","Football","2016","Panini Donruss Optic","Jared Goff","Base","172","633","1,227","52%","https://app.cardladder.com/search?gemRateId=5ead3f13d266c259ee2d10ab6012e30a43ddb767&via=gemrate","https://app.cardladder.com/search?gemRateId=5ead3f13d266c259ee2d10ab6012e30a43ddb767&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5ead3f13d266c259ee2d10ab6012e30a43ddb767&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5ead3f13d266c259ee2d10ab6012e30a43ddb767","https://www.psacard.com/cert/140489315/psa"
"","Football","2024","Panini Absolute Kaboom! Horizontal","Jared Goff","Base","3","193","503","38%","https://app.cardladder.com/search?gemRateId=0f1d3eef82054e5ddc7fd61607a1cef8bf63a17b&via=gemrate","https://app.cardladder.com/search?gemRateId=0f1d3eef82054e5ddc7fd61607a1cef8bf63a17b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0f1d3eef82054e5ddc7fd61607a1cef8bf63a17b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0f1d3eef82054e5ddc7fd61607a1cef8bf63a17b","https://www.psacard.com/cert/140436001/psa"
"","Football","2016","Panini Donruss Optic","Jared Goff","Red & Yellow","172","155","365","42%","https://app.cardladder.com/search?gemRateId=e273181fedd0a4bc969f85532ebb8b047a3f983b&via=gemrate","https://app.cardladder.com/search?gemRateId=e273181fedd0a4bc969f85532ebb8b047a3f983b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e273181fedd0a4bc969f85532ebb8b047a3f983b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e273181fedd0a4bc969f85532ebb8b047a3f983b","https://www.psacard.com/cert/132678394/psa"
"","Football","2016","Panini Select","Jared Goff","Base","63","212","362","59%","https://app.cardladder.com/search?gemRateId=762e0aa58a7df1230115fcfe485f03941bbc3acd&via=gemrate","https://app.cardladder.com/search?gemRateId=762e0aa58a7df1230115fcfe485f03941bbc3acd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=762e0aa58a7df1230115fcfe485f03941bbc3acd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=762e0aa58a7df1230115fcfe485f03941bbc3acd","https://www.psacard.com/cert/102728505/psa"
"","Football","2016","Panini Donruss Optic","Jared Goff","Holo","172","175","358","49%","https://app.cardladder.com/search?gemRateId=af560e940c0df59a8a2312909a9ff9b9989e96bd&via=gemrate","https://app.cardladder.com/search?gemRateId=af560e940c0df59a8a2312909a9ff9b9989e96bd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=af560e940c0df59a8a2312909a9ff9b9989e96bd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=af560e940c0df59a8a2312909a9ff9b9989e96bd","https://www.psacard.com/cert/131300903/psa"
"","Football","2016","Panini Donruss Optic","Jared Goff","Purple","172","197","337","58%","https://app.cardladder.com/search?gemRateId=ab231fc2baed0408b74cd9d4bcb6ba4b21e73a78&via=gemrate","https://app.cardladder.com/search?gemRateId=ab231fc2baed0408b74cd9d4bcb6ba4b21e73a78&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ab231fc2baed0408b74cd9d4bcb6ba4b21e73a78&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ab231fc2baed0408b74cd9d4bcb6ba4b21e73a78","https://www.psacard.com/cert/130839202/psa"
"","Football","2016","Panini Contenders Draft Picks Game Day Tickets","Jared Goff","Base","2","241","297","81%","https://app.cardladder.com/search?gemRateId=fe112f06d4ae964862e7a1844f98eb9fb42d643c&via=gemrate","https://app.cardladder.com/search?gemRateId=fe112f06d4ae964862e7a1844f98eb9fb42d643c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fe112f06d4ae964862e7a1844f98eb9fb42d643c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/142343304/psa"
"","Football","2024","Panini Mosaic Micro Mosaic","Jared Goff","Base","MMJGF","131","211","62%","https://app.cardladder.com/search?gemRateId=34957221b5c80d02604f54291f767052c6e1c4a0&via=gemrate","https://app.cardladder.com/search?gemRateId=34957221b5c80d02604f54291f767052c6e1c4a0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=34957221b5c80d02604f54291f767052c6e1c4a0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9012f8693a94f76ffde104b92f9c70b2f8f553fc","https://www.psacard.com/cert/138618948/psa"
