"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2025","Panini Donruss Downtown!","Jaxson Dart","Base","14","605","764","79%","https://app.cardladder.com/search?gemRateId=77500f5d2ce0deb08b1d08047062a3226a1017f9&via=gemrate","https://app.cardladder.com/search?gemRateId=77500f5d2ce0deb08b1d08047062a3226a1017f9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=77500f5d2ce0deb08b1d08047062a3226a1017f9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=77500f5d2ce0deb08b1d08047062a3226a1017f9","https://www.psacard.com/cert/144050882/psa"
"","Football","2025","Panini Instant NFL Rps First Look","Jaxson Dart","Base","RPSFL13","407","615","66%","https://app.cardladder.com/search?gemRateId=7239c7b3a3d6554787d83584b8ba90120bc14487&via=gemrate","https://app.cardladder.com/search?gemRateId=7239c7b3a3d6554787d83584b8ba90120bc14487&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7239c7b3a3d6554787d83584b8ba90120bc14487&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/140180676/psa"
"","Football","2025","Panini Instant NFL Draft Night","Jaxson Dart","Base","NFLDN15","225","338","67%","https://app.cardladder.com/search?gemRateId=0ee569bf62def61877695dce29d9b19d456f1bbd&via=gemrate","https://app.cardladder.com/search?gemRateId=0ee569bf62def61877695dce29d9b19d456f1bbd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0ee569bf62def61877695dce29d9b19d456f1bbd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0ee569bf62def61877695dce29d9b19d456f1bbd","https://www.psacard.com/cert/139259224/psa"
"","Football","2024","Panini Prizm Draft Picks","Jaxson Dart","Red Ice","147","215","327","66%","https://app.cardladder.com/search?gemRateId=6faa62bfff2b31988ebdcad2b2c0f097777e22ee&via=gemrate","https://app.cardladder.com/search?gemRateId=6faa62bfff2b31988ebdcad2b2c0f097777e22ee&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6faa62bfff2b31988ebdcad2b2c0f097777e22ee&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6faa62bfff2b31988ebdcad2b2c0f097777e22ee","https://www.psacard.com/cert/144116502/psa"
"","Football","2025","Panini Donruss Bomb Squad","Jaxson Dart","Base","BS-JDT","179","306","58%","https://app.cardladder.com/search?gemRateId=552a02fa46c9965aca0b7162da9ed2147b7f158c&via=gemrate","https://app.cardladder.com/search?gemRateId=552a02fa46c9965aca0b7162da9ed2147b7f158c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=552a02fa46c9965aca0b7162da9ed2147b7f158c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=552a02fa46c9965aca0b7162da9ed2147b7f158c","https://www.psacard.com/cert/141056936/psa"
"","Football","2025","Panini Donruss","Jaxson Dart","Base","400","58","262","22%","https://app.cardladder.com/search?gemRateId=25f7589d5f31fd08df44a0fbd4f101fac86a6f25&via=gemrate","https://app.cardladder.com/search?gemRateId=25f7589d5f31fd08df44a0fbd4f101fac86a6f25&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=25f7589d5f31fd08df44a0fbd4f101fac86a6f25&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=25f7589d5f31fd08df44a0fbd4f101fac86a6f25","https://www.psacard.com/cert/140671328/psa"
"","Football","2024","Panini Select","Jaxson Dart","Base","502","167","233","72%","https://app.cardladder.com/search?gemRateId=6285a1194bf038644234f19d868d7284394de3f2&via=gemrate","https://app.cardladder.com/search?gemRateId=6285a1194bf038644234f19d868d7284394de3f2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6285a1194bf038644234f19d868d7284394de3f2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6285a1194bf038644234f19d868d7284394de3f2","https://www.psacard.com/cert/139701451/psa"
"","Football","2025","Panini Mosaic","Jaxson Dart","Red & White Stripe","362","139","206","67%","https://app.cardladder.com/search?gemRateId=9dcd19619072ef836fef68cd1687e7defaafebce&via=gemrate","https://app.cardladder.com/search?gemRateId=9dcd19619072ef836fef68cd1687e7defaafebce&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9dcd19619072ef836fef68cd1687e7defaafebce&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9dcd19619072ef836fef68cd1687e7defaafebce","https://www.psacard.com/cert/143722780/psa"
"","Football","2025","Panini Donruss the Rookies","Jaxson Dart","Base","2","43","186","23%","https://app.cardladder.com/search?gemRateId=19a13de0e8e048ec85a5755ad89efd24033bb690&via=gemrate","https://app.cardladder.com/search?gemRateId=19a13de0e8e048ec85a5755ad89efd24033bb690&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=19a13de0e8e048ec85a5755ad89efd24033bb690&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=19a13de0e8e048ec85a5755ad89efd24033bb690","https://www.psacard.com/cert/143695153/psa"
