"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Prizm","Jayden Daniels","Base","347","5,542","15,538","36%","https://app.cardladder.com/search?gemRateId=4ed55732ed91a4b1ca4126665f0956c035c85c66&via=gemrate","https://app.cardladder.com/search?gemRateId=4ed55732ed91a4b1ca4126665f0956c035c85c66&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4ed55732ed91a4b1ca4126665f0956c035c85c66&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4ed55732ed91a4b1ca4126665f0956c035c85c66","https://www.psacard.com/cert/140656559/psa"
"","Football","2024","Panini Donruss","Jayden Daniels","Base","389","3,845","11,309","34%","https://app.cardladder.com/search?gemRateId=8215a65855d65028cd71650bdef7d25f339c406c&via=gemrate","https://app.cardladder.com/search?gemRateId=8215a65855d65028cd71650bdef7d25f339c406c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8215a65855d65028cd71650bdef7d25f339c406c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8215a65855d65028cd71650bdef7d25f339c406c","https://www.psacard.com/cert/138754725/psa"
"","Football","2024","Panini Prizm","Jayden Daniels","Silver Prizm","347","693","5,661","12%","https://app.cardladder.com/search?gemRateId=3b5d080f2addaff998e43f0736ef5ae418f5335d&via=gemrate","https://app.cardladder.com/search?gemRateId=3b5d080f2addaff998e43f0736ef5ae418f5335d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3b5d080f2addaff998e43f0736ef5ae418f5335d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3b5d080f2addaff998e43f0736ef5ae418f5335d","https://www.psacard.com/cert/144026071/psa"
"","Football","2024","Panini Donruss Rated Rookies Retro","Jayden Daniels","Base","11","3,065","5,607","55%","https://app.cardladder.com/search?gemRateId=43a405b31e755e5b965d395ee4ebbef10689c482&via=gemrate","https://app.cardladder.com/search?gemRateId=43a405b31e755e5b965d395ee4ebbef10689c482&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=43a405b31e755e5b965d395ee4ebbef10689c482&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f8208f4f093ff0e47abd45f15335f098e606ef2e","https://www.psacard.com/cert/141760337/psa"
"","Football","2024","Panini Donruss","Jayden Daniels","Optic Preview-Pink","389","3,126","4,997","63%","https://app.cardladder.com/search?gemRateId=4634769723d64c48bd1cbb52ad0b6afea7fbdba4&via=gemrate","https://app.cardladder.com/search?gemRateId=4634769723d64c48bd1cbb52ad0b6afea7fbdba4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4634769723d64c48bd1cbb52ad0b6afea7fbdba4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4634769723d64c48bd1cbb52ad0b6afea7fbdba4","https://www.psacard.com/cert/145065593/psa"
"","Football","2024","Panini Donruss Bomb Squad","Jayden Daniels","Base","29","2,457","4,141","59%","https://app.cardladder.com/search?gemRateId=60c3321b486ee57d00aa3590515630de31464739&via=gemrate","https://app.cardladder.com/search?gemRateId=60c3321b486ee57d00aa3590515630de31464739&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=60c3321b486ee57d00aa3590515630de31464739&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=60c3321b486ee57d00aa3590515630de31464739","https://www.psacard.com/cert/140808603/psa"
"","Football","2024","Panini Prizm","Jayden Daniels","Lazer Prizm","347","1,510","3,959","38%","https://app.cardladder.com/search?gemRateId=8f9bcdf2e297f5f5b5a8c57f518ffc60a80e70e1&via=gemrate","https://app.cardladder.com/search?gemRateId=8f9bcdf2e297f5f5b5a8c57f518ffc60a80e70e1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8f9bcdf2e297f5f5b5a8c57f518ffc60a80e70e1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8f9bcdf2e297f5f5b5a8c57f518ffc60a80e70e1","https://www.psacard.com/cert/145873004/psa"
"","Football","2024","Panini Donruss Optic","Jayden Daniels","Base","248","1,565","3,873","40%","https://app.cardladder.com/search?gemRateId=a5ef0242fa1f29bbec3244daaa8c6090a28d1683&via=gemrate","https://app.cardladder.com/search?gemRateId=a5ef0242fa1f29bbec3244daaa8c6090a28d1683&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a5ef0242fa1f29bbec3244daaa8c6090a28d1683&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a5ef0242fa1f29bbec3244daaa8c6090a28d1683","https://www.psacard.com/cert/138638566/psa"
"","Football","2024","Panini Donruss Optic","Jayden Daniels","Purple Shock","248","1,247","3,577","35%","https://app.cardladder.com/search?gemRateId=a460cb503473ef3da14f15bbc3546d0a15fdeb58&via=gemrate","https://app.cardladder.com/search?gemRateId=a460cb503473ef3da14f15bbc3546d0a15fdeb58&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a460cb503473ef3da14f15bbc3546d0a15fdeb58&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a460cb503473ef3da14f15bbc3546d0a15fdeb58","https://www.psacard.com/cert/138270268/psa"
"","Football","2024","Panini Donruss Optic","Jayden Daniels","Holo","248","919","3,226","28%","https://app.cardladder.com/search?gemRateId=4a1fd36fa8be1559b69832e92abe2f6da91035e4&via=gemrate","https://app.cardladder.com/search?gemRateId=4a1fd36fa8be1559b69832e92abe2f6da91035e4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4a1fd36fa8be1559b69832e92abe2f6da91035e4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4a1fd36fa8be1559b69832e92abe2f6da91035e4","https://www.psacard.com/cert/141927508/psa"
"","Football","2024","Panini Donruss the Rookies","Jayden Daniels","Base","TR37","2,009","3,215","62%","https://app.cardladder.com/search?gemRateId=049dcac32c7490ed124dd1dc279806b9447faffb&via=gemrate","https://app.cardladder.com/search?gemRateId=049dcac32c7490ed124dd1dc279806b9447faffb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=049dcac32c7490ed124dd1dc279806b9447faffb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=049dcac32c7490ed124dd1dc279806b9447faffb","https://www.psacard.com/cert/137040186/psa"
