"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2016","Panini Prizm","Jaylen Brown","Base","44","1,128","2,177","52%","https://app.cardladder.com/search?gemRateId=1ebb201101f1e3c87d7c5b9f23c8faa0b7c297bd&via=gemrate","https://app.cardladder.com/search?gemRateId=1ebb201101f1e3c87d7c5b9f23c8faa0b7c297bd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1ebb201101f1e3c87d7c5b9f23c8faa0b7c297bd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1ebb201101f1e3c87d7c5b9f23c8faa0b7c297bd","https://www.psacard.com/cert/134862892/psa"
"","Basketball","2016","Panini Donruss Optic","Jaylen Brown","Base","153","1,163","2,122","55%","https://app.cardladder.com/search?gemRateId=d5bea6a0c26a170214f953e42e1741810d8ac7df&via=gemrate","https://app.cardladder.com/search?gemRateId=d5bea6a0c26a170214f953e42e1741810d8ac7df&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d5bea6a0c26a170214f953e42e1741810d8ac7df&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d5bea6a0c26a170214f953e42e1741810d8ac7df","https://www.psacard.com/cert/129694550/psa"
"","Basketball","2016","Panini Hoops","Jaylen Brown","Base","263","865","1,339","65%","https://app.cardladder.com/search?gemRateId=374743cb627790ddaa858327cfbacdc82e2727f7&via=gemrate","https://app.cardladder.com/search?gemRateId=374743cb627790ddaa858327cfbacdc82e2727f7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=374743cb627790ddaa858327cfbacdc82e2727f7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=374743cb627790ddaa858327cfbacdc82e2727f7","https://www.psacard.com/cert/125681395/psa"
"","Basketball","2016","Panini Select","Jaylen Brown","Base","33","512","1,226","42%","https://app.cardladder.com/search?gemRateId=f3134eb2ec57c63b1a36874143935274c3ba762d&via=gemrate","https://app.cardladder.com/search?gemRateId=f3134eb2ec57c63b1a36874143935274c3ba762d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f3134eb2ec57c63b1a36874143935274c3ba762d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f3134eb2ec57c63b1a36874143935274c3ba762d","https://www.psacard.com/cert/126826678/psa"
"","Basketball","2016","Panini Donruss","Jaylen Brown","Base","153","332","1,206","28%","https://app.cardladder.com/search?gemRateId=f01a85b653ef29c07930aa53cd28fc3480a0b2c6&via=gemrate","https://app.cardladder.com/search?gemRateId=f01a85b653ef29c07930aa53cd28fc3480a0b2c6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f01a85b653ef29c07930aa53cd28fc3480a0b2c6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f01a85b653ef29c07930aa53cd28fc3480a0b2c6","https://www.psacard.com/cert/116763321/psa"
"","Basketball","2016","Panini Prizm Mosaic","Jaylen Brown","Base","45","491","933","53%","https://app.cardladder.com/search?gemRateId=2ec009e59f22234e5bcf1a57908932cdb1dcd8a0&via=gemrate","https://app.cardladder.com/search?gemRateId=2ec009e59f22234e5bcf1a57908932cdb1dcd8a0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2ec009e59f22234e5bcf1a57908932cdb1dcd8a0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2ec009e59f22234e5bcf1a57908932cdb1dcd8a0","https://www.psacard.com/cert/117332581/psa"
"","Basketball","2016","Panini Donruss Optic","Jaylen Brown","Holo","153","267","444","60%","https://app.cardladder.com/search?gemRateId=a437eb9eaa8aa9cd910d4c0ccd348a4e8273c75a&via=gemrate","https://app.cardladder.com/search?gemRateId=a437eb9eaa8aa9cd910d4c0ccd348a4e8273c75a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a437eb9eaa8aa9cd910d4c0ccd348a4e8273c75a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a437eb9eaa8aa9cd910d4c0ccd348a4e8273c75a","https://www.psacard.com/cert/137970912/psa"
"","Basketball","2016","Panini Select","Jaylen Brown","Base","174","168","416","40%","https://app.cardladder.com/search?gemRateId=8010e96cda9e619f43c5d171c94dbd7540b5cd6c&via=gemrate","https://app.cardladder.com/search?gemRateId=8010e96cda9e619f43c5d171c94dbd7540b5cd6c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8010e96cda9e619f43c5d171c94dbd7540b5cd6c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8010e96cda9e619f43c5d171c94dbd7540b5cd6c","https://www.psacard.com/cert/99726201/psa"
"","Basketball","2016","Panini Prizm","Jaylen Brown","Silver Prizm","44","311","414","75%","https://app.cardladder.com/search?gemRateId=1b02378313b61ae6040fb1a3a2ae85ce2b20737b&via=gemrate","https://app.cardladder.com/search?gemRateId=1b02378313b61ae6040fb1a3a2ae85ce2b20737b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1b02378313b61ae6040fb1a3a2ae85ce2b20737b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1b02378313b61ae6040fb1a3a2ae85ce2b20737b","https://www.psacard.com/cert/117831349/psa"
"","Basketball","2016","Panini Select","Jaylen Brown","Silver Prizm","33","216","374","58%","https://app.cardladder.com/search?gemRateId=f71e2c1ef1de41ad75a75113de104de3412b5196&via=gemrate","https://app.cardladder.com/search?gemRateId=f71e2c1ef1de41ad75a75113de104de3412b5196&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f71e2c1ef1de41ad75a75113de104de3412b5196&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f71e2c1ef1de41ad75a75113de104de3412b5196","https://www.psacard.com/cert/99558050/psa"
