"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2020","Panini Prizm","Joe Burrow","Base","307","7,779","16,949","46%","https://app.cardladder.com/search?gemRateId=002582ae67634c81bb12630e00ebd10df2d05f91&via=gemrate","https://app.cardladder.com/search?gemRateId=002582ae67634c81bb12630e00ebd10df2d05f91&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=002582ae67634c81bb12630e00ebd10df2d05f91&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=002582ae67634c81bb12630e00ebd10df2d05f91","https://www.psacard.com/cert/136240089/psa"
"","Football","2020","Panini Donruss","Joe Burrow","Base","301","6,312","10,893","58%","https://app.cardladder.com/search?gemRateId=ba77d404e07968b8e50e523720cf3afdd9dc6a43&via=gemrate","https://app.cardladder.com/search?gemRateId=ba77d404e07968b8e50e523720cf3afdd9dc6a43&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ba77d404e07968b8e50e523720cf3afdd9dc6a43&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ba77d404e07968b8e50e523720cf3afdd9dc6a43","https://www.psacard.com/cert/133162173/psa"
"","Football","2020","Panini Mosaic","Joe Burrow","Base","201","2,766","10,397","27%","https://app.cardladder.com/search?gemRateId=3513ef18bf8501890bf4b0f7e87312fbb0abd946&via=gemrate","https://app.cardladder.com/search?gemRateId=3513ef18bf8501890bf4b0f7e87312fbb0abd946&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3513ef18bf8501890bf4b0f7e87312fbb0abd946&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3513ef18bf8501890bf4b0f7e87312fbb0abd946","https://www.psacard.com/cert/128170122/psa"
"","Football","2020","Panini Mosaic","Joe Burrow","Base","261","4,352","7,349","59%","https://app.cardladder.com/search?gemRateId=5b6e6ced8d739361b7f22940cfc3217c73017d91&via=gemrate","https://app.cardladder.com/search?gemRateId=5b6e6ced8d739361b7f22940cfc3217c73017d91&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5b6e6ced8d739361b7f22940cfc3217c73017d91&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5b6e6ced8d739361b7f22940cfc3217c73017d91","https://www.psacard.com/cert/131764446/psa"
"","Football","2020","Panini Absolute","Joe Burrow","Base","158","2,939","5,674","52%","https://app.cardladder.com/search?gemRateId=c13b58131f3e05706dff13a1ec34c26576c1a08a&via=gemrate","https://app.cardladder.com/search?gemRateId=c13b58131f3e05706dff13a1ec34c26576c1a08a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c13b58131f3e05706dff13a1ec34c26576c1a08a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c13b58131f3e05706dff13a1ec34c26576c1a08a","https://www.psacard.com/cert/134030055/psa"
"","Football","2020","Panini Donruss Optic","Joe Burrow","Base","151","2,397","5,632","43%","https://app.cardladder.com/search?gemRateId=ca4ab95de37475cffd47dbf23f410ca250760e47&via=gemrate","https://app.cardladder.com/search?gemRateId=ca4ab95de37475cffd47dbf23f410ca250760e47&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ca4ab95de37475cffd47dbf23f410ca250760e47&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ca4ab95de37475cffd47dbf23f410ca250760e47","https://www.psacard.com/cert/139711123/psa"
"","Football","2020","Panini Donruss Optic","Joe Burrow","Holo","151","1,899","4,520","42%","https://app.cardladder.com/search?gemRateId=02d138354cf51b6127254f00dff9797068de2d3d&via=gemrate","https://app.cardladder.com/search?gemRateId=02d138354cf51b6127254f00dff9797068de2d3d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=02d138354cf51b6127254f00dff9797068de2d3d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=02d138354cf51b6127254f00dff9797068de2d3d","https://www.psacard.com/cert/137129408/psa"
"","Football","2020","Panini Select","Joe Burrow","Base","46","2,565","4,442","58%","https://app.cardladder.com/search?gemRateId=1c9f4fd000b810a3855f0e166bb345f3e8fef698&via=gemrate","https://app.cardladder.com/search?gemRateId=1c9f4fd000b810a3855f0e166bb345f3e8fef698&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1c9f4fd000b810a3855f0e166bb345f3e8fef698&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1c9f4fd000b810a3855f0e166bb345f3e8fef698","https://www.psacard.com/cert/134030048/psa"
"","Football","2020","Panini Phoenix","Joe Burrow","Fire Burst","101","1,295","4,305","30%","https://app.cardladder.com/search?gemRateId=cf048f79e6d2e3b8294c60b23ad1077a40825cc7&via=gemrate","https://app.cardladder.com/search?gemRateId=cf048f79e6d2e3b8294c60b23ad1077a40825cc7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cf048f79e6d2e3b8294c60b23ad1077a40825cc7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cf048f79e6d2e3b8294c60b23ad1077a40825cc7","https://www.psacard.com/cert/135531875/psa"
