"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2018","Panini Donruss","Josh Allen","Base","304","10,565","18,522","57%","https://app.cardladder.com/search?gemRateId=a8c094a9d4d3868c29f0a3d2e069470d973f75e7&via=gemrate","https://app.cardladder.com/search?gemRateId=a8c094a9d4d3868c29f0a3d2e069470d973f75e7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a8c094a9d4d3868c29f0a3d2e069470d973f75e7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a8c094a9d4d3868c29f0a3d2e069470d973f75e7","https://www.psacard.com/cert/138795201/psa"
"","Football","2018","Panini Prizm","Josh Allen","Base","205","2,308","7,151","32%","https://app.cardladder.com/search?gemRateId=849a1491a8a3e1ba668718950795d5ecc4a8ba3c&via=gemrate","https://app.cardladder.com/search?gemRateId=849a1491a8a3e1ba668718950795d5ecc4a8ba3c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=849a1491a8a3e1ba668718950795d5ecc4a8ba3c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=849a1491a8a3e1ba668718950795d5ecc4a8ba3c","https://www.psacard.com/cert/136920975/psa"
"","Football","2018","Panini Donruss Optic","Josh Allen","Base","154","2,501","4,936","51%","https://app.cardladder.com/search?gemRateId=1f3efb3464c686c8e1b29f9f27cdd3eeeb37cb1a&via=gemrate","https://app.cardladder.com/search?gemRateId=1f3efb3464c686c8e1b29f9f27cdd3eeeb37cb1a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1f3efb3464c686c8e1b29f9f27cdd3eeeb37cb1a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1f3efb3464c686c8e1b29f9f27cdd3eeeb37cb1a","https://www.psacard.com/cert/136172472/psa"
"","Football","2018","Panini Score","Josh Allen","Base","350","2,879","3,996","72%","https://app.cardladder.com/search?gemRateId=f26ea24bb3345a559269b59b125faa928c8a83d7&via=gemrate","https://app.cardladder.com/search?gemRateId=f26ea24bb3345a559269b59b125faa928c8a83d7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f26ea24bb3345a559269b59b125faa928c8a83d7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/136921165/psa"
"","Football","2024","Panini Donruss Downtown!","Josh Allen","Base","2","291","1,679","17%","https://app.cardladder.com/search?gemRateId=7efba496e3840bca0006a4acb363fbc7947553bc&via=gemrate","https://app.cardladder.com/search?gemRateId=7efba496e3840bca0006a4acb363fbc7947553bc&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7efba496e3840bca0006a4acb363fbc7947553bc&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7efba496e3840bca0006a4acb363fbc7947553bc","https://www.psacard.com/cert/143108172/psa"
"","Football","2018","Panini Select","Josh Allen","Base","24","693","1,667","42%","https://app.cardladder.com/search?gemRateId=30bc4d0913a6ca2f5e3b3e626cbdd3e881bd0d74&via=gemrate","https://app.cardladder.com/search?gemRateId=30bc4d0913a6ca2f5e3b3e626cbdd3e881bd0d74&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=30bc4d0913a6ca2f5e3b3e626cbdd3e881bd0d74&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=30bc4d0913a6ca2f5e3b3e626cbdd3e881bd0d74","https://www.psacard.com/cert/141720908/psa"
"","Football","2020","Panini Phoenix","Josh Allen","Fire Burst","86","1,101","1,581","70%","https://app.cardladder.com/search?gemRateId=b6c8e210901ddd3d15438eadf6b000bf01df908a&via=gemrate","https://app.cardladder.com/search?gemRateId=b6c8e210901ddd3d15438eadf6b000bf01df908a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b6c8e210901ddd3d15438eadf6b000bf01df908a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b6c8e210901ddd3d15438eadf6b000bf01df908a","https://www.psacard.com/cert/138189501/psa"
"","Football","2018","Panini Playoff Rookie Wave","Josh Allen","Base","4","134","1,143","12%","https://app.cardladder.com/search?gemRateId=eb76b2f7f568837e7ad290f529fb592aa098cb6b&via=gemrate","https://app.cardladder.com/search?gemRateId=eb76b2f7f568837e7ad290f529fb592aa098cb6b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=eb76b2f7f568837e7ad290f529fb592aa098cb6b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=eb76b2f7f568837e7ad290f529fb592aa098cb6b","https://www.psacard.com/cert/134612130/psa"
"","Football","2018","Panini Prizm Rookie Introduction","Josh Allen","Base","RI-5","280","1,090","26%","https://app.cardladder.com/search?gemRateId=cbff6195e303c3fb040281cfb568dc574125f04a&via=gemrate","https://app.cardladder.com/search?gemRateId=cbff6195e303c3fb040281cfb568dc574125f04a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cbff6195e303c3fb040281cfb568dc574125f04a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cbff6195e303c3fb040281cfb568dc574125f04a","https://www.psacard.com/cert/130217244/psa"
"","Football","2018","Panini Score NFL Draft","Josh Allen","Base","5","220","1,040","21%","https://app.cardladder.com/search?gemRateId=014be251184f89352c6bc7d06e66fb7be21849f4&via=gemrate","https://app.cardladder.com/search?gemRateId=014be251184f89352c6bc7d06e66fb7be21849f4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=014be251184f89352c6bc7d06e66fb7be21849f4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=014be251184f89352c6bc7d06e66fb7be21849f4","https://www.psacard.com/cert/134612132/psa"
"","Football","2024","Panini Donruss Optic Uptowns","Josh Allen","Base","16","439","1,030","43%","https://app.cardladder.com/search?gemRateId=448239c8230673339aeec65f88d19f66b1fa94c2&via=gemrate","https://app.cardladder.com/search?gemRateId=448239c8230673339aeec65f88d19f66b1fa94c2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=448239c8230673339aeec65f88d19f66b1fa94c2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=448239c8230673339aeec65f88d19f66b1fa94c2","https://www.psacard.com/cert/143673801/psa"
"","Football","2018","Panini Prizm Instant Impact","Josh Allen","Base","II-5","364","1,001","36%","https://app.cardladder.com/search?gemRateId=4498ffda9169b0b7763430975d180c2e3837d4cd&via=gemrate","https://app.cardladder.com/search?gemRateId=4498ffda9169b0b7763430975d180c2e3837d4cd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4498ffda9169b0b7763430975d180c2e3837d4cd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4498ffda9169b0b7763430975d180c2e3837d4cd","https://www.psacard.com/cert/140515398/psa"
"","Football","2018","Panini Elite Draft Picks Collegiate","Josh Allen","Base","103","285","997","29%","https://app.cardladder.com/search?gemRateId=2922a5521b7c207ee63dae71f6f3e726a33b30ac&via=gemrate","https://app.cardladder.com/search?gemRateId=2922a5521b7c207ee63dae71f6f3e726a33b30ac&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2922a5521b7c207ee63dae71f6f3e726a33b30ac&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2922a5521b7c207ee63dae71f6f3e726a33b30ac","https://www.psacard.com/cert/128481836/psa"
"","Football","2018","Panini Select","Josh Allen","Base","139","709","973","73%","https://app.cardladder.com/search?gemRateId=9f84917f2e52565245599314769aebe71b626c21&via=gemrate","https://app.cardladder.com/search?gemRateId=9f84917f2e52565245599314769aebe71b626c21&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9f84917f2e52565245599314769aebe71b626c21&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9f84917f2e52565245599314769aebe71b626c21","https://www.psacard.com/cert/143628304/psa"
"","Football","2018","Panini Elite Draft Picks Collegiate","Josh Allen","White Jersey","103","212","892","24%","https://app.cardladder.com/search?gemRateId=25331e3ed5571246ebe07d0695cdfb712bb6e69c&via=gemrate","https://app.cardladder.com/search?gemRateId=25331e3ed5571246ebe07d0695cdfb712bb6e69c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=25331e3ed5571246ebe07d0695cdfb712bb6e69c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/111191875/psa"
"","Football","2018","Panini Prizm","Josh Allen","Red/White/Blue Prizm","205","342","870","39%","https://app.cardladder.com/search?gemRateId=a6720e0e80a36b2395f8b4dac6acc27be7c9e059&via=gemrate","https://app.cardladder.com/search?gemRateId=a6720e0e80a36b2395f8b4dac6acc27be7c9e059&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a6720e0e80a36b2395f8b4dac6acc27be7c9e059&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a6720e0e80a36b2395f8b4dac6acc27be7c9e059","https://www.psacard.com/cert/137238939/psa"
"","Football","2018","Panini Contenders Rookie of the Year Contenders","Josh Allen","Base","JA","117","849","14%","https://app.cardladder.com/search?gemRateId=9a3f1e518c26d2134bc74639868705d5faa56321&via=gemrate","https://app.cardladder.com/search?gemRateId=9a3f1e518c26d2134bc74639868705d5faa56321&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9a3f1e518c26d2134bc74639868705d5faa56321&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9a3f1e518c26d2134bc74639868705d5faa56321","https://www.psacard.com/cert/136586487/psa"
"","Football","2018","Panini Donruss the Elite Series Rookies","Josh Allen","Base","ESR4","437","811","54%","https://app.cardladder.com/search?gemRateId=d3314a326e19152d66284237d1ad6647cb4a497d&via=gemrate","https://app.cardladder.com/search?gemRateId=d3314a326e19152d66284237d1ad6647cb4a497d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d3314a326e19152d66284237d1ad6647cb4a497d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d3314a326e19152d66284237d1ad6647cb4a497d","https://www.psacard.com/cert/133710227/psa"
"","Football","2018","Panini Rookies & Stars","Josh Allen","Base","105","118","706","17%","https://app.cardladder.com/search?gemRateId=ad6bef445bb62cdd484c5bc35b3eab09183d4f0c&via=gemrate","https://app.cardladder.com/search?gemRateId=ad6bef445bb62cdd484c5bc35b3eab09183d4f0c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ad6bef445bb62cdd484c5bc35b3eab09183d4f0c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ad6bef445bb62cdd484c5bc35b3eab09183d4f0c","https://www.psacard.com/cert/128830419/psa"
"","Football","2018","Panini Select","Josh Allen","Silver Prizm","24","231","684","34%","https://app.cardladder.com/search?gemRateId=fd9225f03a481a35feed2177ab178e88dad60170&via=gemrate","https://app.cardladder.com/search?gemRateId=fd9225f03a481a35feed2177ab178e88dad60170&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fd9225f03a481a35feed2177ab178e88dad60170&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fd9225f03a481a35feed2177ab178e88dad60170","https://www.psacard.com/cert/139515802/psa"
"","Football","2018","Panini Donruss Optic","Josh Allen","Holo","154","292","679","43%","https://app.cardladder.com/search?gemRateId=a47f8d8d6552d8a3a89e642117ae3e7fe215af8f&via=gemrate","https://app.cardladder.com/search?gemRateId=a47f8d8d6552d8a3a89e642117ae3e7fe215af8f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a47f8d8d6552d8a3a89e642117ae3e7fe215af8f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a47f8d8d6552d8a3a89e642117ae3e7fe215af8f","https://www.psacard.com/cert/139299646/psa"
"","Football","2018","Panini Donruss Optic","Josh Allen","Pink","154","291","668","44%","https://app.cardladder.com/search?gemRateId=be52521b43073c0dd2feb1742728c8acc0e8535e&via=gemrate","https://app.cardladder.com/search?gemRateId=be52521b43073c0dd2feb1742728c8acc0e8535e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=be52521b43073c0dd2feb1742728c8acc0e8535e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=be52521b43073c0dd2feb1742728c8acc0e8535e","https://www.psacard.com/cert/141442034/psa"
"","Football","2018","Leaf Draft Field Generals","Josh Allen","Gold","FG-03","399","662","60%","https://app.cardladder.com/search?gemRateId=4a56fca845f45b53fe0ba19fd3426ca35fbe0792&via=gemrate","https://app.cardladder.com/search?gemRateId=4a56fca845f45b53fe0ba19fd3426ca35fbe0792&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4a56fca845f45b53fe0ba19fd3426ca35fbe0792&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4a56fca845f45b53fe0ba19fd3426ca35fbe0792","https://www.psacard.com/cert/120583533/psa"
"","Football","2018","Panini Donruss","Josh Allen","Blue Press Proof","304","113","660","17%","https://app.cardladder.com/search?gemRateId=2b7d73bc3982bae5992d63dbc19a9ef50ed55912&via=gemrate","https://app.cardladder.com/search?gemRateId=2b7d73bc3982bae5992d63dbc19a9ef50ed55912&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2b7d73bc3982bae5992d63dbc19a9ef50ed55912&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2b7d73bc3982bae5992d63dbc19a9ef50ed55912","https://www.psacard.com/cert/135272989/psa"
