"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2020","Panini Prizm","Justin Jefferson","Base","398","1,493","5,428","28%","https://app.cardladder.com/search?gemRateId=2a466ed504379218d1d3e35e45541543be2b7740&via=gemrate","https://app.cardladder.com/search?gemRateId=2a466ed504379218d1d3e35e45541543be2b7740&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2a466ed504379218d1d3e35e45541543be2b7740&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2a466ed504379218d1d3e35e45541543be2b7740","https://www.psacard.com/cert/134588393/psa"
"","Football","2020","Panini Mosaic","Justin Jefferson","Base","209","2,516","3,882","65%","https://app.cardladder.com/search?gemRateId=85c89316975866bd8d631de1be6e0290ff8cd731&via=gemrate","https://app.cardladder.com/search?gemRateId=85c89316975866bd8d631de1be6e0290ff8cd731&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=85c89316975866bd8d631de1be6e0290ff8cd731&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=85c89316975866bd8d631de1be6e0290ff8cd731","https://www.psacard.com/cert/132874726/psa"
"","Football","2020","Panini Donruss","Justin Jefferson","Base","313","2,306","3,499","66%","https://app.cardladder.com/search?gemRateId=a8bb451d005eee2ce05c88b7baa591ce5172a197&via=gemrate","https://app.cardladder.com/search?gemRateId=a8bb451d005eee2ce05c88b7baa591ce5172a197&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a8bb451d005eee2ce05c88b7baa591ce5172a197&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a8bb451d005eee2ce05c88b7baa591ce5172a197","https://www.psacard.com/cert/137348304/psa"
"","Football","2020","Panini Phoenix","Justin Jefferson","Fire Burst","111","1,715","3,281","52%","https://app.cardladder.com/search?gemRateId=483e418ec54c0da53ca43061c8c2a08f2e70c582&via=gemrate","https://app.cardladder.com/search?gemRateId=483e418ec54c0da53ca43061c8c2a08f2e70c582&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=483e418ec54c0da53ca43061c8c2a08f2e70c582&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=483e418ec54c0da53ca43061c8c2a08f2e70c582","https://www.psacard.com/cert/135181864/psa"
"","Football","2020","Panini Donruss Optic","Justin Jefferson","Holo","163","815","2,135","38%","https://app.cardladder.com/search?gemRateId=474c47b43db086d7015ed1fe4a5c50a93cf7e339&via=gemrate","https://app.cardladder.com/search?gemRateId=474c47b43db086d7015ed1fe4a5c50a93cf7e339&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=474c47b43db086d7015ed1fe4a5c50a93cf7e339&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=474c47b43db086d7015ed1fe4a5c50a93cf7e339","https://www.psacard.com/cert/143516390/psa"
"","Football","2020","Panini Donruss Optic","Justin Jefferson","Base","163","857","1,757","49%","https://app.cardladder.com/search?gemRateId=bb59ac86998c195738a1c54ce3e4e0fe6500eb0c&via=gemrate","https://app.cardladder.com/search?gemRateId=bb59ac86998c195738a1c54ce3e4e0fe6500eb0c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bb59ac86998c195738a1c54ce3e4e0fe6500eb0c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bb59ac86998c195738a1c54ce3e4e0fe6500eb0c","https://www.psacard.com/cert/136813438/psa"
"","Football","2020","Panini Mosaic","Justin Jefferson","Camo Pink","209","1,068","1,425","75%","https://app.cardladder.com/search?gemRateId=f8307187e619957173c05d1085094a5fe73e70b0&via=gemrate","https://app.cardladder.com/search?gemRateId=f8307187e619957173c05d1085094a5fe73e70b0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f8307187e619957173c05d1085094a5fe73e70b0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f8307187e619957173c05d1085094a5fe73e70b0","https://www.psacard.com/cert/136795054/psa"
"","Football","2020","Panini Mosaic","Justin Jefferson","Base","270","755","1,412","53%","https://app.cardladder.com/search?gemRateId=15bf95bf6351322241d344c7f7b5d45e8a988ae1&via=gemrate","https://app.cardladder.com/search?gemRateId=15bf95bf6351322241d344c7f7b5d45e8a988ae1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=15bf95bf6351322241d344c7f7b5d45e8a988ae1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=15bf95bf6351322241d344c7f7b5d45e8a988ae1","https://www.psacard.com/cert/131451189/psa"
"","Football","2020","Panini Prizm","Justin Jefferson","Red/White/Blue Prizm","398","343","1,307","26%","https://app.cardladder.com/search?gemRateId=3e1a3aaa180ac2534154d56e88ddbaae323cafc1&via=gemrate","https://app.cardladder.com/search?gemRateId=3e1a3aaa180ac2534154d56e88ddbaae323cafc1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3e1a3aaa180ac2534154d56e88ddbaae323cafc1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3e1a3aaa180ac2534154d56e88ddbaae323cafc1","https://www.psacard.com/cert/127882670/psa"
