"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2022","Panini Donruss","Kenneth Walker III","Press Proof Premium","318","57","168","34%","https://app.cardladder.com/search?gemRateId=75fd074a2bb7562a5e7d9994a5424d9bdd158d35&via=gemrate","https://app.cardladder.com/search?gemRateId=75fd074a2bb7562a5e7d9994a5424d9bdd158d35&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=75fd074a2bb7562a5e7d9994a5424d9bdd158d35&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=75fd074a2bb7562a5e7d9994a5424d9bdd158d35","https://www.psacard.com/cert/127340874/psa"
"","Football","2022","Panini Contenders","Kenneth Walker III","Autograph","126","71","142","50%","https://app.cardladder.com/search?gemRateId=7c6b8936baa32faeced5d41a954b736d11d4e562&via=gemrate","https://app.cardladder.com/search?gemRateId=7c6b8936baa32faeced5d41a954b736d11d4e562&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7c6b8936baa32faeced5d41a954b736d11d4e562&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7c6b8936baa32faeced5d41a954b736d11d4e562","https://www.psacard.com/cert/128115816/psa"
"","Football","2022","Panini Prizm","Kenneth Walker III","Autograph","318","49","131","37%","https://app.cardladder.com/search?gemRateId=f1585f6f3e4965292fe1968975f8c7faea75b596&via=gemrate","https://app.cardladder.com/search?gemRateId=f1585f6f3e4965292fe1968975f8c7faea75b596&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f1585f6f3e4965292fe1968975f8c7faea75b596&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f1585f6f3e4965292fe1968975f8c7faea75b596","https://www.psacard.com/cert/102627674/psa"
"","Football","2022","Panini Donruss","Kenneth Walker III","Base","318","69","125","55%","https://app.cardladder.com/search?gemRateId=74af4beb5a582a96eebbd6a795aea5ca5e2d2818&via=gemrate","https://app.cardladder.com/search?gemRateId=74af4beb5a582a96eebbd6a795aea5ca5e2d2818&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=74af4beb5a582a96eebbd6a795aea5ca5e2d2818&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=74af4beb5a582a96eebbd6a795aea5ca5e2d2818","https://www.psacard.com/cert/97073741/psa"
"","Football","2022","Panini Prizm","Kenneth Walker III","Base","318","53","121","44%","https://app.cardladder.com/search?gemRateId=19ea5f7412f528d3de0d7d74f35bc67cd813ed08&via=gemrate","https://app.cardladder.com/search?gemRateId=19ea5f7412f528d3de0d7d74f35bc67cd813ed08&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=19ea5f7412f528d3de0d7d74f35bc67cd813ed08&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=19ea5f7412f528d3de0d7d74f35bc67cd813ed08","https://www.psacard.com/cert/99133529/psa"
"","Football","2021","Panini Select","Kenneth Walker III","Base","407","46","103","45%","https://app.cardladder.com/search?gemRateId=52e448dd1e222466384b68d634ee2235db313634&via=gemrate","https://app.cardladder.com/search?gemRateId=52e448dd1e222466384b68d634ee2235db313634&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=52e448dd1e222466384b68d634ee2235db313634&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=52e448dd1e222466384b68d634ee2235db313634","https://www.psacard.com/cert/105078665/psa"
"","Football","2022","Panini Prizm","Kenneth Walker III","Silver Prizm","318","42","101","42%","https://app.cardladder.com/search?gemRateId=5a44882daf4643fda33034a2657a360c4d6e0b8a&via=gemrate","https://app.cardladder.com/search?gemRateId=5a44882daf4643fda33034a2657a360c4d6e0b8a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5a44882daf4643fda33034a2657a360c4d6e0b8a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5a44882daf4643fda33034a2657a360c4d6e0b8a","https://www.psacard.com/cert/100127696/psa"
"","Football","2022","Panini Chronicles Prizm Black","Kenneth Walker III","Silver","PB19","50","99","51%","https://app.cardladder.com/search?gemRateId=6076532d6b7c4dbccddfbefbf06542535b97ac42&via=gemrate","https://app.cardladder.com/search?gemRateId=6076532d6b7c4dbccddfbefbf06542535b97ac42&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6076532d6b7c4dbccddfbefbf06542535b97ac42&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6076532d6b7c4dbccddfbefbf06542535b97ac42","https://www.psacard.com/cert/100258410/psa"
"","Football","2022","Panini Mosaic","Kenneth Walker III","Green Mosaic","308","79","93","85%","https://app.cardladder.com/search?gemRateId=45e5670462e9fe9b6b35f9fae6ec3efe46841f8c&via=gemrate","https://app.cardladder.com/search?gemRateId=45e5670462e9fe9b6b35f9fae6ec3efe46841f8c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=45e5670462e9fe9b6b35f9fae6ec3efe46841f8c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=45e5670462e9fe9b6b35f9fae6ec3efe46841f8c","https://www.psacard.com/cert/95779497/psa"
