"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2019","Panini Chronicles","Kevin Durant","Base","508","910","1,540","59%","https://app.cardladder.com/search?gemRateId=1265ee978998c23cdf30040ca3ea7ecb49eb0f0b&via=gemrate","https://app.cardladder.com/search?gemRateId=1265ee978998c23cdf30040ca3ea7ecb49eb0f0b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1265ee978998c23cdf30040ca3ea7ecb49eb0f0b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1265ee978998c23cdf30040ca3ea7ecb49eb0f0b","https://www.psacard.com/cert/106825197/psa"
"","Basketball","2012","Panini Prizm","Kevin Durant","Base","35","416","1,192","35%","https://app.cardladder.com/search?gemRateId=2e42e0643d1c1bbd1fc15cdb26a537ce185353b2&via=gemrate","https://app.cardladder.com/search?gemRateId=2e42e0643d1c1bbd1fc15cdb26a537ce185353b2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2e42e0643d1c1bbd1fc15cdb26a537ce185353b2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2e42e0643d1c1bbd1fc15cdb26a537ce185353b2","https://www.psacard.com/cert/130425210/psa"
"","Basketball","2019","Panini Mosaic","Kevin Durant","Base","1","159","599","27%","https://app.cardladder.com/search?gemRateId=a48fd244d8dfc1b1415b3ba47974978fa1033dcc&via=gemrate","https://app.cardladder.com/search?gemRateId=a48fd244d8dfc1b1415b3ba47974978fa1033dcc&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a48fd244d8dfc1b1415b3ba47974978fa1033dcc&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a48fd244d8dfc1b1415b3ba47974978fa1033dcc","https://www.psacard.com/cert/62933230/psa"
"","Basketball","2019","Panini Prizm","Kevin Durant","Silver Prizm","210","280","592","47%","https://app.cardladder.com/search?gemRateId=aef046588c5b3ade1315fc0635abeb2ca679857c&via=gemrate","https://app.cardladder.com/search?gemRateId=aef046588c5b3ade1315fc0635abeb2ca679857c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=aef046588c5b3ade1315fc0635abeb2ca679857c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=aef046588c5b3ade1315fc0635abeb2ca679857c","https://www.psacard.com/cert/122244710/psa"
"","Basketball","2019","Panini Donruss Optic","Kevin Durant","Fanatics","112","222","519","43%","https://app.cardladder.com/search?gemRateId=01c986134e05d2a5718c8e58707ccdfec765295c&via=gemrate","https://app.cardladder.com/search?gemRateId=01c986134e05d2a5718c8e58707ccdfec765295c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=01c986134e05d2a5718c8e58707ccdfec765295c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=01c986134e05d2a5718c8e58707ccdfec765295c","https://www.psacard.com/cert/95650027/psa"
"","Basketball","2018","Panini Prizm","Kevin Durant","Silver Prizm","252","217","492","44%","https://app.cardladder.com/search?gemRateId=635bfada33aedfbbf4e2ab747bad4d20fc272185&via=gemrate","https://app.cardladder.com/search?gemRateId=635bfada33aedfbbf4e2ab747bad4d20fc272185&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=635bfada33aedfbbf4e2ab747bad4d20fc272185&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=635bfada33aedfbbf4e2ab747bad4d20fc272185","https://www.psacard.com/cert/98952829/psa"
"","Basketball","2013","Panini Prizm","Kevin Durant","Base","147","338","482","70%","https://app.cardladder.com/search?gemRateId=8151f25637f3428b7a177ab9f0bde3219af1ddff&via=gemrate","https://app.cardladder.com/search?gemRateId=8151f25637f3428b7a177ab9f0bde3219af1ddff&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8151f25637f3428b7a177ab9f0bde3219af1ddff&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8151f25637f3428b7a177ab9f0bde3219af1ddff","https://www.psacard.com/cert/115382170/psa"
"","Basketball","2019","Panini Hoops Premium Stock","Kevin Durant","Pulsar","61","308","465","66%","https://app.cardladder.com/search?gemRateId=036a8f1cc72f9afcba33dffdefd7ba48c8f474ce&via=gemrate","https://app.cardladder.com/search?gemRateId=036a8f1cc72f9afcba33dffdefd7ba48c8f474ce&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=036a8f1cc72f9afcba33dffdefd7ba48c8f474ce&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=036a8f1cc72f9afcba33dffdefd7ba48c8f474ce","https://www.psacard.com/cert/142346375/psa"
"","Basketball","2019","Panini Donruss Optic","Kevin Durant","Holo","112","152","433","35%","https://app.cardladder.com/search?gemRateId=3fa92446621c62ed80ddda1fb133327549a38b5c&via=gemrate","https://app.cardladder.com/search?gemRateId=3fa92446621c62ed80ddda1fb133327549a38b5c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3fa92446621c62ed80ddda1fb133327549a38b5c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3fa92446621c62ed80ddda1fb133327549a38b5c","https://www.psacard.com/cert/98130043/psa"
