"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2017","Panini Hoops","Kobe Bryant","Base","300","408","531","77%","https://app.cardladder.com/search?gemRateId=8e940ebba8ca39c0145aeaf12965426769e47ba5&via=gemrate","https://app.cardladder.com/search?gemRateId=8e940ebba8ca39c0145aeaf12965426769e47ba5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8e940ebba8ca39c0145aeaf12965426769e47ba5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8e940ebba8ca39c0145aeaf12965426769e47ba5","https://www.psacard.com/cert/138813985/psa"
"","Basketball","2019","Panini Donruss Optic Winner Stays","Kobe Bryant","Base","12","264","559","47%","https://app.cardladder.com/search?gemRateId=7c3b88580977a8e8498837225243668f2343328d&via=gemrate","https://app.cardladder.com/search?gemRateId=7c3b88580977a8e8498837225243668f2343328d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7c3b88580977a8e8498837225243668f2343328d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/124091855/psa"
"","Basketball","2019","Panini Donruss Optic Winner Stays","Kobe Bryant","Holo","12","468","698","67%","https://app.cardladder.com/search?gemRateId=9af288ae7395d9ac09cb064197899586ace6f1dd&via=gemrate","https://app.cardladder.com/search?gemRateId=9af288ae7395d9ac09cb064197899586ace6f1dd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9af288ae7395d9ac09cb064197899586ace6f1dd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9af288ae7395d9ac09cb064197899586ace6f1dd","https://www.psacard.com/cert/136565345/psa"
"","Basketball","2015","Panini Hoops","Kobe Bryant","Base","172","416","590","71%","https://app.cardladder.com/search?gemRateId=5af839ec4e5ca51fcf970bba8b992425de812193&via=gemrate","https://app.cardladder.com/search?gemRateId=5af839ec4e5ca51fcf970bba8b992425de812193&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5af839ec4e5ca51fcf970bba8b992425de812193&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5af839ec4e5ca51fcf970bba8b992425de812193","https://www.psacard.com/cert/136170397/psa"
"","Basketball","2019","Panini Prizm NBA Finalists","Kobe Bryant","Base","9","1,488","1,753","85%","https://app.cardladder.com/search?gemRateId=cd04345ed71527990ff14ccc384be065573b463c&via=gemrate","https://app.cardladder.com/search?gemRateId=cd04345ed71527990ff14ccc384be065573b463c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cd04345ed71527990ff14ccc384be065573b463c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cd04345ed71527990ff14ccc384be065573b463c","https://www.psacard.com/cert/136998820/psa"
"","Basketball","2019","Panini Prizm NBA Finalists","Kobe Bryant","Silver Prizm","9","839","983","85%","https://app.cardladder.com/search?gemRateId=6e4d95966e1a552ea175c168ec3335a8bcdde5d1&via=gemrate","https://app.cardladder.com/search?gemRateId=6e4d95966e1a552ea175c168ec3335a8bcdde5d1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6e4d95966e1a552ea175c168ec3335a8bcdde5d1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6e4d95966e1a552ea175c168ec3335a8bcdde5d1","https://www.psacard.com/cert/138292214/psa"
"","Basketball","2014","Panini Prizm SP Variations","Kobe Bryant","Prizm","8","334","583","57%","https://app.cardladder.com/search?gemRateId=a45ea528c8291d55872009ed520e64e1ff567795&via=gemrate","https://app.cardladder.com/search?gemRateId=a45ea528c8291d55872009ed520e64e1ff567795&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a45ea528c8291d55872009ed520e64e1ff567795&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a45ea528c8291d55872009ed520e64e1ff567795","https://www.psacard.com/cert/139051647/psa"
"","Basketball","2018","Panini Prizm Dominance","Kobe Bryant","Base","6","455","661","69%","https://app.cardladder.com/search?gemRateId=16987f86eb8976a9b9923c32709778370ce09d6d&via=gemrate","https://app.cardladder.com/search?gemRateId=16987f86eb8976a9b9923c32709778370ce09d6d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=16987f86eb8976a9b9923c32709778370ce09d6d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=16987f86eb8976a9b9923c32709778370ce09d6d","https://www.psacard.com/cert/136998818/psa"
"","Basketball","2019","Panini Hoops","Kobe Bryant","Base","282","388","550","71%","https://app.cardladder.com/search?gemRateId=d243dca084af25700e8022789882827bbd6fa184&via=gemrate","https://app.cardladder.com/search?gemRateId=d243dca084af25700e8022789882827bbd6fa184&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d243dca084af25700e8022789882827bbd6fa184&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d243dca084af25700e8022789882827bbd6fa184","https://www.psacard.com/cert/126756586/psa"
