"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2025","Topps","Kon Knueppel","Base","204","305","591","52%","https://app.cardladder.com/search?gemRateId=1795b61e06d44155270c7dcd7b588bbd4552582e&via=gemrate","https://app.cardladder.com/search?gemRateId=1795b61e06d44155270c7dcd7b588bbd4552582e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1795b61e06d44155270c7dcd7b588bbd4552582e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1795b61e06d44155270c7dcd7b588bbd4552582e","https://www.psacard.com/cert/141071278/psa"
"","Basketball","2025","Topps Now","Cooper Flagg/Kon Knueppel","Base","CFKK","268","328","82%","https://app.cardladder.com/search?gemRateId=2abdd20db6ca3759fa80d56cfdbedb4e7e3e94bb&via=gemrate","https://app.cardladder.com/search?gemRateId=2abdd20db6ca3759fa80d56cfdbedb4e7e3e94bb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2abdd20db6ca3759fa80d56cfdbedb4e7e3e94bb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2abdd20db6ca3759fa80d56cfdbedb4e7e3e94bb","https://www.psacard.com/cert/144176024/psa"
"","Basketball","2025","Topps Chrome","Kon Knueppel","Base","254","61","156","39%","https://app.cardladder.com/search?gemRateId=a43a27ac5e470c9bf8e002920927a630ec2d922b&via=gemrate","https://app.cardladder.com/search?gemRateId=a43a27ac5e470c9bf8e002920927a630ec2d922b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a43a27ac5e470c9bf8e002920927a630ec2d922b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a43a27ac5e470c9bf8e002920927a630ec2d922b","https://www.psacard.com/cert/145225999/psa"
"","Basketball","2025","Topps Now Draft","Kon Knueppel","Base","D4","118","152","78%","https://app.cardladder.com/search?gemRateId=bd294b54a64b0d22f153cfa17cc7de9768543fd4&via=gemrate","https://app.cardladder.com/search?gemRateId=bd294b54a64b0d22f153cfa17cc7de9768543fd4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bd294b54a64b0d22f153cfa17cc7de9768543fd4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bd294b54a64b0d22f153cfa17cc7de9768543fd4","https://www.psacard.com/cert/134102151/psa"
"","Basketball","2025","Topps Chrome","Kon Knueppel","X-Fractor","254","54","119","45%","https://app.cardladder.com/search?gemRateId=e5791a4e5656949a635bcf2d72011051fe541b88&via=gemrate","https://app.cardladder.com/search?gemRateId=e5791a4e5656949a635bcf2d72011051fe541b88&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e5791a4e5656949a635bcf2d72011051fe541b88&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e5791a4e5656949a635bcf2d72011051fe541b88","https://www.psacard.com/cert/144463747/psa"
"","Basketball","2025","Topps Silver Pack 1980-81 Topps Chrome Basketball","Kon Knueppel","Base","TC-KK","55","113","49%","https://app.cardladder.com/search?gemRateId=6fedccf3af06069c7dcd9cac786533cdf82e4d7c&via=gemrate","https://app.cardladder.com/search?gemRateId=6fedccf3af06069c7dcd9cac786533cdf82e4d7c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6fedccf3af06069c7dcd9cac786533cdf82e4d7c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/140671320/psa"
"","Basketball","2025","Topps Chrome Radiating Rookies","Kon Knueppel","Base","RR-4","68","110","62%","https://app.cardladder.com/search?gemRateId=10adbb13180542e0a471342a886ca0c13c04604b&via=gemrate","https://app.cardladder.com/search?gemRateId=10adbb13180542e0a471342a886ca0c13c04604b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=10adbb13180542e0a471342a886ca0c13c04604b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/143428607/psa"
"","Basketball","2025","Topps Chrome","Kon Knueppel","Refractor","254","38","106","36%","https://app.cardladder.com/search?gemRateId=06c5be68f3d08ac2926703d996771df2d19637c0&via=gemrate","https://app.cardladder.com/search?gemRateId=06c5be68f3d08ac2926703d996771df2d19637c0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=06c5be68f3d08ac2926703d996771df2d19637c0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=06c5be68f3d08ac2926703d996771df2d19637c0","https://www.psacard.com/cert/141840790/psa"
"","Basketball","2025","Panini Instant NBA Draft Night","Kon Knueppel","Base","4","47","88","53%","https://app.cardladder.com/search?gemRateId=844359f75f461b0ee1659073f36cbd5dc6dc2bd0&via=gemrate","https://app.cardladder.com/search?gemRateId=844359f75f461b0ee1659073f36cbd5dc6dc2bd0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=844359f75f461b0ee1659073f36cbd5dc6dc2bd0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/134537962/psa"
