"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2020","Panini Prizm","LaMelo Ball","Base","278","3,741","8,238","45%","https://app.cardladder.com/search?gemRateId=33399bbbdb500de2250dd1cd3653b5c2a3d78c63&via=gemrate","https://app.cardladder.com/search?gemRateId=33399bbbdb500de2250dd1cd3653b5c2a3d78c63&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=33399bbbdb500de2250dd1cd3653b5c2a3d78c63&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=33399bbbdb500de2250dd1cd3653b5c2a3d78c63","https://www.psacard.com/cert/128412695/psa"
"","Basketball","2020","Panini Hoops","LaMelo Ball","Base","223","3,092","7,133","43%","https://app.cardladder.com/search?gemRateId=69270798b51f1c2c7f49d948bd5786c83b6bc425&via=gemrate","https://app.cardladder.com/search?gemRateId=69270798b51f1c2c7f49d948bd5786c83b6bc425&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=69270798b51f1c2c7f49d948bd5786c83b6bc425&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=69270798b51f1c2c7f49d948bd5786c83b6bc425","https://www.psacard.com/cert/111291245/psa"
"","Basketball","2020","Panini Donruss Optic","LaMelo Ball","Base","153","2,167","3,944","55%","https://app.cardladder.com/search?gemRateId=2b379972ff24a2beb8c2a1207d6db30d3455755e&via=gemrate","https://app.cardladder.com/search?gemRateId=2b379972ff24a2beb8c2a1207d6db30d3455755e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2b379972ff24a2beb8c2a1207d6db30d3455755e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2b379972ff24a2beb8c2a1207d6db30d3455755e","https://www.psacard.com/cert/136005760/psa"
"","Basketball","2020","Panini Donruss","LaMelo Ball","Base","202","2,806","3,819","73%","https://app.cardladder.com/search?gemRateId=1decc5881c6228ce187ccdd50ebfb4825c00d008&via=gemrate","https://app.cardladder.com/search?gemRateId=1decc5881c6228ce187ccdd50ebfb4825c00d008&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1decc5881c6228ce187ccdd50ebfb4825c00d008&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1decc5881c6228ce187ccdd50ebfb4825c00d008","https://www.psacard.com/cert/134224358/psa"
"","Basketball","2020","Panini Prizm","LaMelo Ball","Silver Prizm","278","443","3,423","13%","https://app.cardladder.com/search?gemRateId=0a3c7f176f32d25633f8aadc518be57e7c9cadc9&via=gemrate","https://app.cardladder.com/search?gemRateId=0a3c7f176f32d25633f8aadc518be57e7c9cadc9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0a3c7f176f32d25633f8aadc518be57e7c9cadc9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0a3c7f176f32d25633f8aadc518be57e7c9cadc9","https://www.psacard.com/cert/129526469/psa"
"","Basketball","2020","Panini Prizm Draft Picks","LaMelo Ball","Base","3","2,162","3,291","66%","https://app.cardladder.com/search?gemRateId=0b465fa9b01c83cb98e43111b65aff191b70940f&via=gemrate","https://app.cardladder.com/search?gemRateId=0b465fa9b01c83cb98e43111b65aff191b70940f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0b465fa9b01c83cb98e43111b65aff191b70940f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0b465fa9b01c83cb98e43111b65aff191b70940f","https://www.psacard.com/cert/117838089/psa"
"","Basketball","2020","Panini Prizm Draft Picks","LaMelo Ball","Base","43","2,255","3,218","70%","https://app.cardladder.com/search?gemRateId=7bed5c9d04ce96e118806a86af0c7637328f5cd3&via=gemrate","https://app.cardladder.com/search?gemRateId=7bed5c9d04ce96e118806a86af0c7637328f5cd3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7bed5c9d04ce96e118806a86af0c7637328f5cd3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7bed5c9d04ce96e118806a86af0c7637328f5cd3","https://www.psacard.com/cert/101481805/psa"
"","Basketball","2020","Panini Prizm Draft Picks","LaMelo Ball","Base","83","1,187","2,089","57%","https://app.cardladder.com/search?gemRateId=0cfd2282ee852ccef79ff556e005042b5a62c37d&via=gemrate","https://app.cardladder.com/search?gemRateId=0cfd2282ee852ccef79ff556e005042b5a62c37d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0cfd2282ee852ccef79ff556e005042b5a62c37d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0cfd2282ee852ccef79ff556e005042b5a62c37d","https://www.psacard.com/cert/135775408/psa"
"","Basketball","2020","Panini Prizm Draft Picks","LaMelo Ball","Base","98","1,181","2,089","57%","https://app.cardladder.com/search?gemRateId=2fec79f6dbfaac95a42655ca1809e66815eb9d51&via=gemrate","https://app.cardladder.com/search?gemRateId=2fec79f6dbfaac95a42655ca1809e66815eb9d51&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2fec79f6dbfaac95a42655ca1809e66815eb9d51&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2fec79f6dbfaac95a42655ca1809e66815eb9d51","https://www.psacard.com/cert/91994777/psa"
