"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2018","Panini Donruss","Lamar Jackson","Base","317","7,554","15,147","50%","https://app.cardladder.com/search?gemRateId=ca4be55df0c97e1a0963ad1d8f9a97406bfe27ca&via=gemrate","https://app.cardladder.com/search?gemRateId=ca4be55df0c97e1a0963ad1d8f9a97406bfe27ca&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ca4be55df0c97e1a0963ad1d8f9a97406bfe27ca&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ca4be55df0c97e1a0963ad1d8f9a97406bfe27ca","https://www.psacard.com/cert/143128483/psa"
"","Football","2018","Panini Prizm","Lamar Jackson","Base","212","792","6,740","12%","https://app.cardladder.com/search?gemRateId=e0db4c817158de2202f429fb7a71d530b2beef62&via=gemrate","https://app.cardladder.com/search?gemRateId=e0db4c817158de2202f429fb7a71d530b2beef62&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e0db4c817158de2202f429fb7a71d530b2beef62&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e0db4c817158de2202f429fb7a71d530b2beef62","https://www.psacard.com/cert/137878255/psa"
"","Football","2018","Panini Donruss Optic","Lamar Jackson","Base","167","2,783","4,840","57%","https://app.cardladder.com/search?gemRateId=b000135c1b0219d5c7cc2c71d359a3aea2931d41&via=gemrate","https://app.cardladder.com/search?gemRateId=b000135c1b0219d5c7cc2c71d359a3aea2931d41&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b000135c1b0219d5c7cc2c71d359a3aea2931d41&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b000135c1b0219d5c7cc2c71d359a3aea2931d41","https://www.psacard.com/cert/141442036/psa"
"","Football","2018","Panini Score","Lamar Jackson","Base","352","1,936","2,801","69%","https://app.cardladder.com/search?gemRateId=d3bd5a9d23170bc2eff61a800f4e52bc01bc4ffb&via=gemrate","https://app.cardladder.com/search?gemRateId=d3bd5a9d23170bc2eff61a800f4e52bc01bc4ffb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d3bd5a9d23170bc2eff61a800f4e52bc01bc4ffb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d3bd5a9d23170bc2eff61a800f4e52bc01bc4ffb","https://www.psacard.com/cert/136946390/psa"
"","Football","2018","Panini Select","Lamar Jackson","Base","70","571","1,560","37%","https://app.cardladder.com/search?gemRateId=b4ad30cd3a12a4dfd8022e29728a3b65d293ec8a&via=gemrate","https://app.cardladder.com/search?gemRateId=b4ad30cd3a12a4dfd8022e29728a3b65d293ec8a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b4ad30cd3a12a4dfd8022e29728a3b65d293ec8a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b4ad30cd3a12a4dfd8022e29728a3b65d293ec8a","https://www.psacard.com/cert/136920955/psa"
"","Football","2024","Panini Donruss Downtown!","Lamar Jackson","Base","1","293","1,448","20%","https://app.cardladder.com/search?gemRateId=6bda4c8f59416710aad72b08cfde33722846a652&via=gemrate","https://app.cardladder.com/search?gemRateId=6bda4c8f59416710aad72b08cfde33722846a652&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6bda4c8f59416710aad72b08cfde33722846a652&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6bda4c8f59416710aad72b08cfde33722846a652","https://www.psacard.com/cert/144093683/psa"
"","Football","2019","Panini Prizm","Lamar Jackson","Base","71","285","1,190","24%","https://app.cardladder.com/search?gemRateId=d56ca1b3792c16a51fb982227a7ce7b47dd75b2a&via=gemrate","https://app.cardladder.com/search?gemRateId=d56ca1b3792c16a51fb982227a7ce7b47dd75b2a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d56ca1b3792c16a51fb982227a7ce7b47dd75b2a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d56ca1b3792c16a51fb982227a7ce7b47dd75b2a","https://www.psacard.com/cert/95474731/psa"
"","Football","2018","Panini Prizm Instant Impact","Lamar Jackson","Base","II-12","511","1,014","50%","https://app.cardladder.com/search?gemRateId=912140741d5b8b13fe2261ae725f41b8d0d9cb88&via=gemrate","https://app.cardladder.com/search?gemRateId=912140741d5b8b13fe2261ae725f41b8d0d9cb88&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=912140741d5b8b13fe2261ae725f41b8d0d9cb88&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=912140741d5b8b13fe2261ae725f41b8d0d9cb88","https://www.psacard.com/cert/132473274/psa"
"","Football","2018","Panini Prizm Rookie Introduction","Lamar Jackson","Base","RI-12","307","955","32%","https://app.cardladder.com/search?gemRateId=4ad3e8aa01789a59e81e9fb1e78a86f50db70e0c&via=gemrate","https://app.cardladder.com/search?gemRateId=4ad3e8aa01789a59e81e9fb1e78a86f50db70e0c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4ad3e8aa01789a59e81e9fb1e78a86f50db70e0c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4ad3e8aa01789a59e81e9fb1e78a86f50db70e0c","https://www.psacard.com/cert/124307792/psa"
"","Football","2018","Panini Playoff Rookie Wave","Lamar Jackson","Base","7","189","920","21%","https://app.cardladder.com/search?gemRateId=ad811537cc7de3c87454cc893b1fe05a674a52e6&via=gemrate","https://app.cardladder.com/search?gemRateId=ad811537cc7de3c87454cc893b1fe05a674a52e6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ad811537cc7de3c87454cc893b1fe05a674a52e6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ad811537cc7de3c87454cc893b1fe05a674a52e6","https://www.psacard.com/cert/130217242/psa"
"","Football","2018","Panini Select","Lamar Jackson","Base","149","615","876","70%","https://app.cardladder.com/search?gemRateId=b5780ea6eeedaa03fd6a5b4fa7370467ea17eca1&via=gemrate","https://app.cardladder.com/search?gemRateId=b5780ea6eeedaa03fd6a5b4fa7370467ea17eca1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b5780ea6eeedaa03fd6a5b4fa7370467ea17eca1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b5780ea6eeedaa03fd6a5b4fa7370467ea17eca1","https://www.psacard.com/cert/136920961/psa"
"","Football","2018","Panini Prizm","Lamar Jackson","Red/White/Blue Prizm","212","242","813","30%","https://app.cardladder.com/search?gemRateId=c8b82f8896434b5054af58a08ae056845a5bcb08&via=gemrate","https://app.cardladder.com/search?gemRateId=c8b82f8896434b5054af58a08ae056845a5bcb08&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c8b82f8896434b5054af58a08ae056845a5bcb08&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c8b82f8896434b5054af58a08ae056845a5bcb08","https://www.psacard.com/cert/135615904/psa"
"","Football","2020","Panini Phoenix","Lamar Jackson","Fire Burst","61","421","650","65%","https://app.cardladder.com/search?gemRateId=dbfefdd322174c5c7b335bdce466279fad33ae80&via=gemrate","https://app.cardladder.com/search?gemRateId=dbfefdd322174c5c7b335bdce466279fad33ae80&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=dbfefdd322174c5c7b335bdce466279fad33ae80&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=dbfefdd322174c5c7b335bdce466279fad33ae80","https://www.psacard.com/cert/137537270/psa"
"","Football","2018","Panini Donruss Optic","Lamar Jackson","Holo","167","272","648","42%","https://app.cardladder.com/search?gemRateId=abff31a697886f9fa6fe6e52e63a8327ccb1dd2d&via=gemrate","https://app.cardladder.com/search?gemRateId=abff31a697886f9fa6fe6e52e63a8327ccb1dd2d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=abff31a697886f9fa6fe6e52e63a8327ccb1dd2d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=abff31a697886f9fa6fe6e52e63a8327ccb1dd2d","https://www.psacard.com/cert/139586254/psa"
"","Football","2019","Panini Donruss Optic","Lamar Jackson","Base","9","233","642","36%","https://app.cardladder.com/search?gemRateId=eb90b6b112d4f738fd751cead46e45d51ceb5793&via=gemrate","https://app.cardladder.com/search?gemRateId=eb90b6b112d4f738fd751cead46e45d51ceb5793&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=eb90b6b112d4f738fd751cead46e45d51ceb5793&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=eb90b6b112d4f738fd751cead46e45d51ceb5793","https://www.psacard.com/cert/97678363/psa"
"","Football","2018","Panini Select","Lamar Jackson","Silver Prizm","70","251","638","39%","https://app.cardladder.com/search?gemRateId=8e3a59c27a7e9e8ee2332ff1265be6a87250411b&via=gemrate","https://app.cardladder.com/search?gemRateId=8e3a59c27a7e9e8ee2332ff1265be6a87250411b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8e3a59c27a7e9e8ee2332ff1265be6a87250411b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8e3a59c27a7e9e8ee2332ff1265be6a87250411b","https://www.psacard.com/cert/136920959/psa"
