"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2019","Panini Prizm","LeBron James","Base","129","13,633","23,753","57%","https://app.cardladder.com/search?gemRateId=09ae667da9ce4af205c4e65a4849782a502b2bc3&via=gemrate","https://app.cardladder.com/search?gemRateId=09ae667da9ce4af205c4e65a4849782a502b2bc3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=09ae667da9ce4af205c4e65a4849782a502b2bc3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=09ae667da9ce4af205c4e65a4849782a502b2bc3","https://www.psacard.com/cert/126938836/psa"
"","Basketball","2018","Panini Revolution","LeBron James","Base","40","14,915","19,499","76%","https://app.cardladder.com/search?gemRateId=e566fc1d5711b26fdf6157e9fc22e24d728cff85&via=gemrate","https://app.cardladder.com/search?gemRateId=e566fc1d5711b26fdf6157e9fc22e24d728cff85&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e566fc1d5711b26fdf6157e9fc22e24d728cff85&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e566fc1d5711b26fdf6157e9fc22e24d728cff85","https://www.psacard.com/cert/133482239/psa"
"","Basketball","2019","Panini Mosaic","LeBron James","Base","8","6,595","9,967","66%","https://app.cardladder.com/search?gemRateId=93e2ef9198dfd167ee0a3a4136b3dccc3abfab09&via=gemrate","https://app.cardladder.com/search?gemRateId=93e2ef9198dfd167ee0a3a4136b3dccc3abfab09&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=93e2ef9198dfd167ee0a3a4136b3dccc3abfab09&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=93e2ef9198dfd167ee0a3a4136b3dccc3abfab09","https://www.psacard.com/cert/117914735/psa"
"","Basketball","2019","Panini Mosaic","LeBron James","Base","298","3,997","6,010","67%","https://app.cardladder.com/search?gemRateId=16c70a279c83ac0268a44acad2db3b4ea3bfb6c9&via=gemrate","https://app.cardladder.com/search?gemRateId=16c70a279c83ac0268a44acad2db3b4ea3bfb6c9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=16c70a279c83ac0268a44acad2db3b4ea3bfb6c9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=16c70a279c83ac0268a44acad2db3b4ea3bfb6c9","https://www.psacard.com/cert/119150160/psa"
"","Basketball","2019","Panini Donruss Optic","LeBron James","Base","60","1,608","4,870","33%","https://app.cardladder.com/search?gemRateId=52f8994724a622904c8685a3f2e11f79699b73eb&via=gemrate","https://app.cardladder.com/search?gemRateId=52f8994724a622904c8685a3f2e11f79699b73eb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=52f8994724a622904c8685a3f2e11f79699b73eb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=52f8994724a622904c8685a3f2e11f79699b73eb","https://www.psacard.com/cert/115564215/psa"
"","Basketball","2018","Panini Donruss Optic","LeBron James","Base","94","2,175","4,265","51%","https://app.cardladder.com/search?gemRateId=91078db6137d9c7b36c56fc588ceb132dbdc8768&via=gemrate","https://app.cardladder.com/search?gemRateId=91078db6137d9c7b36c56fc588ceb132dbdc8768&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=91078db6137d9c7b36c56fc588ceb132dbdc8768&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=91078db6137d9c7b36c56fc588ceb132dbdc8768","https://www.psacard.com/cert/114550699/psa"
"","Basketball","2019","Panini Prizm","LeBron James","Silver Prizm","129","2,489","3,962","63%","https://app.cardladder.com/search?gemRateId=af78a784901ec905b7eced70998e8d756eeb10bd&via=gemrate","https://app.cardladder.com/search?gemRateId=af78a784901ec905b7eced70998e8d756eeb10bd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=af78a784901ec905b7eced70998e8d756eeb10bd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=af78a784901ec905b7eced70998e8d756eeb10bd","https://www.psacard.com/cert/123558810/psa"
"","Basketball","2018","Panini Prizm","LeBron James","Base","6","1,355","3,597","38%","https://app.cardladder.com/search?gemRateId=6db025440b62c2727aa5c4dd8f43c2d57b455404&via=gemrate","https://app.cardladder.com/search?gemRateId=6db025440b62c2727aa5c4dd8f43c2d57b455404&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6db025440b62c2727aa5c4dd8f43c2d57b455404&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6db025440b62c2727aa5c4dd8f43c2d57b455404","https://www.psacard.com/cert/117292314/psa"
"","Basketball","2019","Panini Mosaic Jam Masters","LeBron James","Base","16","1,577","2,593","61%","https://app.cardladder.com/search?gemRateId=d97b3f937845cdabeee618ad287be9e1c0c618a2&via=gemrate","https://app.cardladder.com/search?gemRateId=d97b3f937845cdabeee618ad287be9e1c0c618a2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d97b3f937845cdabeee618ad287be9e1c0c618a2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d97b3f937845cdabeee618ad287be9e1c0c618a2","https://www.psacard.com/cert/119166960/psa"
