"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2018","Panini Prizm","Luka Doncic","Base","280","20,765","39,608","52%","https://app.cardladder.com/search?gemRateId=1223b4159065cf5d7238a6a22e7385e2dee78866&via=gemrate","https://app.cardladder.com/search?gemRateId=1223b4159065cf5d7238a6a22e7385e2dee78866&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1223b4159065cf5d7238a6a22e7385e2dee78866&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1223b4159065cf5d7238a6a22e7385e2dee78866","https://www.psacard.com/cert/144217368/psa"
"","Basketball","2018","Panini Donruss","Luka Doncic","Base","177","12,661","21,118","60%","https://app.cardladder.com/search?gemRateId=c725c87638e068e8f0399b7446cb5fa0f93977da&via=gemrate","https://app.cardladder.com/search?gemRateId=c725c87638e068e8f0399b7446cb5fa0f93977da&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c725c87638e068e8f0399b7446cb5fa0f93977da&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c725c87638e068e8f0399b7446cb5fa0f93977da","https://www.psacard.com/cert/139192174/psa"
"","Basketball","2019","Panini Prizm","Luka Doncic","Base","75","11,008","19,083","58%","https://app.cardladder.com/search?gemRateId=fe7bbf5f648f906b240c375724d07280de00dfe1&via=gemrate","https://app.cardladder.com/search?gemRateId=fe7bbf5f648f906b240c375724d07280de00dfe1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fe7bbf5f648f906b240c375724d07280de00dfe1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fe7bbf5f648f906b240c375724d07280de00dfe1","https://www.psacard.com/cert/132460008/psa"
"","Basketball","2018","Panini Donruss Optic","Luka Doncic","Base","177","5,897","14,805","40%","https://app.cardladder.com/search?gemRateId=c8a7dc7941a048c41d961645caaefb151a4d226d&via=gemrate","https://app.cardladder.com/search?gemRateId=c8a7dc7941a048c41d961645caaefb151a4d226d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c8a7dc7941a048c41d961645caaefb151a4d226d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c8a7dc7941a048c41d961645caaefb151a4d226d","https://www.psacard.com/cert/138939509/psa"
"","Basketball","2018","Panini Hoops","Luka Doncic","Base","268","7,104","12,926","55%","https://app.cardladder.com/search?gemRateId=1a46a14a90053247dc18fae400f45d56030e62e0&via=gemrate","https://app.cardladder.com/search?gemRateId=1a46a14a90053247dc18fae400f45d56030e62e0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1a46a14a90053247dc18fae400f45d56030e62e0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1a46a14a90053247dc18fae400f45d56030e62e0","https://www.psacard.com/cert/133529339/psa"
"","Basketball","2018","Panini Prizm Emergent","Luka Doncic","Base","3","4,891","6,560","75%","https://app.cardladder.com/search?gemRateId=89fcc6d3262f26d5589c1f396ad2b4dc40525663&via=gemrate","https://app.cardladder.com/search?gemRateId=89fcc6d3262f26d5589c1f396ad2b4dc40525663&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=89fcc6d3262f26d5589c1f396ad2b4dc40525663&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=89fcc6d3262f26d5589c1f396ad2b4dc40525663","https://www.psacard.com/cert/135270501/psa"
"","Basketball","2018","Panini Donruss Optic","Luka Doncic","Shock","177","566","6,361","9%","https://app.cardladder.com/search?gemRateId=de559599b1fa83b2ae05fe7c294ea70a4024bb62&via=gemrate","https://app.cardladder.com/search?gemRateId=de559599b1fa83b2ae05fe7c294ea70a4024bb62&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=de559599b1fa83b2ae05fe7c294ea70a4024bb62&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=de559599b1fa83b2ae05fe7c294ea70a4024bb62","https://www.psacard.com/cert/133750012/psa"
"","Basketball","2018","Panini Prizm","Luka Doncic","Silver Prizm","280","2,414","5,942","41%","https://app.cardladder.com/search?gemRateId=c95ebc6b4cebf2385a1735f4ca0c7a1a134c2dfd&via=gemrate","https://app.cardladder.com/search?gemRateId=c95ebc6b4cebf2385a1735f4ca0c7a1a134c2dfd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c95ebc6b4cebf2385a1735f4ca0c7a1a134c2dfd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c95ebc6b4cebf2385a1735f4ca0c7a1a134c2dfd","https://www.psacard.com/cert/138602616/psa"
"","Basketball","2018","Panini Prizm Freshman Phenoms","Luka Doncic","Base","23","2,819","5,610","50%","https://app.cardladder.com/search?gemRateId=8652e51a9e5ea863f6eee8681ae94898e437bb86&via=gemrate","https://app.cardladder.com/search?gemRateId=8652e51a9e5ea863f6eee8681ae94898e437bb86&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8652e51a9e5ea863f6eee8681ae94898e437bb86&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8652e51a9e5ea863f6eee8681ae94898e437bb86","https://www.psacard.com/cert/133016912/psa"
