"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2009","Topps","Matthew Stafford","Throwing","430","570","1,164","49%","https://app.cardladder.com/search?gemRateId=aa4bcbbbce2d92ae6ee61f2c5a011bfa971fb8f8&via=gemrate","https://app.cardladder.com/search?gemRateId=aa4bcbbbce2d92ae6ee61f2c5a011bfa971fb8f8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=aa4bcbbbce2d92ae6ee61f2c5a011bfa971fb8f8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=aa4bcbbbce2d92ae6ee61f2c5a011bfa971fb8f8","https://www.psacard.com/cert/131178006/psa"
"","Football","2009","Topps Chrome","Matthew Stafford","Base","TC210","206","605","34%","https://app.cardladder.com/search?gemRateId=381b48a8b78bcee1f6f8e3c40b434c38abc0c18d&via=gemrate","https://app.cardladder.com/search?gemRateId=381b48a8b78bcee1f6f8e3c40b434c38abc0c18d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=381b48a8b78bcee1f6f8e3c40b434c38abc0c18d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=381b48a8b78bcee1f6f8e3c40b434c38abc0c18d","https://www.psacard.com/cert/141466339/psa"
"","Football","2009","Bowman Chrome","Matthew Stafford","Base","111","209","524","40%","https://app.cardladder.com/search?gemRateId=0b8c8d68cadfbfd158cede6dcae76b984e6292e0&via=gemrate","https://app.cardladder.com/search?gemRateId=0b8c8d68cadfbfd158cede6dcae76b984e6292e0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0b8c8d68cadfbfd158cede6dcae76b984e6292e0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0b8c8d68cadfbfd158cede6dcae76b984e6292e0","https://www.psacard.com/cert/134717023/psa"
"","Football","2009","Topps Chrome","Matthew Stafford","Refractor","TC210","93","409","23%","https://app.cardladder.com/search?gemRateId=aa90e8382c4db26aa88c5e36a2f5a1787ae35210&via=gemrate","https://app.cardladder.com/search?gemRateId=aa90e8382c4db26aa88c5e36a2f5a1787ae35210&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=aa90e8382c4db26aa88c5e36a2f5a1787ae35210&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=aa90e8382c4db26aa88c5e36a2f5a1787ae35210","https://www.psacard.com/cert/134326927/psa"
"","Football","2021","Panini Donruss Optic Downtown","Matthew Stafford","Base","DT29","235","387","61%","https://app.cardladder.com/search?gemRateId=6c5c7e9cb5eb9c5ceff049c8128fbb1a07549ef1&via=gemrate","https://app.cardladder.com/search?gemRateId=6c5c7e9cb5eb9c5ceff049c8128fbb1a07549ef1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6c5c7e9cb5eb9c5ceff049c8128fbb1a07549ef1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6c5c7e9cb5eb9c5ceff049c8128fbb1a07549ef1","https://www.psacard.com/cert/134609115/psa"
"","Football","2009","Score","Matthew Stafford","Base","371","61","363","17%","https://app.cardladder.com/search?gemRateId=b76d48a45082885df92d1c3bec85013a57b53430&via=gemrate","https://app.cardladder.com/search?gemRateId=b76d48a45082885df92d1c3bec85013a57b53430&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b76d48a45082885df92d1c3bec85013a57b53430&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b76d48a45082885df92d1c3bec85013a57b53430","https://www.psacard.com/cert/97790734/psa"
"","Football","2009","Finest","Matthew Stafford","Base","100","250","351","71%","https://app.cardladder.com/search?gemRateId=82d5acb75df04983aa75fadffa2eb4577dab4310&via=gemrate","https://app.cardladder.com/search?gemRateId=82d5acb75df04983aa75fadffa2eb4577dab4310&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=82d5acb75df04983aa75fadffa2eb4577dab4310&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=82d5acb75df04983aa75fadffa2eb4577dab4310","https://www.psacard.com/cert/134500276/psa"
"","Football","2025","Panini Donruss Downtown!","Matthew Stafford","Base","6","281","326","86%","https://app.cardladder.com/search?gemRateId=5f61ab5deb3844acf4438832b25eddd52560ca31&via=gemrate","https://app.cardladder.com/search?gemRateId=5f61ab5deb3844acf4438832b25eddd52560ca31&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5f61ab5deb3844acf4438832b25eddd52560ca31&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5f61ab5deb3844acf4438832b25eddd52560ca31","https://www.psacard.com/cert/145612181/psa"
"","Football","2023","Panini Donruss Optic International Downtown","Matthew Stafford","Base","8","189","320","59%","https://app.cardladder.com/search?gemRateId=eb0ecdadea404c63cbea404c44ef9cd87416dcec&via=gemrate","https://app.cardladder.com/search?gemRateId=eb0ecdadea404c63cbea404c44ef9cd87416dcec&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=eb0ecdadea404c63cbea404c44ef9cd87416dcec&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=eb0ecdadea404c63cbea404c44ef9cd87416dcec","https://www.psacard.com/cert/133743493/psa"
"","Football","2009","Playoff Contenders","Matthew Stafford","Autograph","101","72","269","27%","https://app.cardladder.com/search?gemRateId=30601abcb41f01a36fc8504aa97d8d25c7680f00&via=gemrate","https://app.cardladder.com/search?gemRateId=30601abcb41f01a36fc8504aa97d8d25c7680f00&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=30601abcb41f01a36fc8504aa97d8d25c7680f00&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=30601abcb41f01a36fc8504aa97d8d25c7680f00","https://www.psacard.com/cert/98765941/psa"
"","Football","2023","Panini Absolute Kaboom! Horizontal","Matthew Stafford","Base","3","139","245","57%","https://app.cardladder.com/search?gemRateId=0bed9b4533e6b42b893a880ad03b8accc3854316&via=gemrate","https://app.cardladder.com/search?gemRateId=0bed9b4533e6b42b893a880ad03b8accc3854316&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0bed9b4533e6b42b893a880ad03b8accc3854316&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0bed9b4533e6b42b893a880ad03b8accc3854316","https://www.psacard.com/cert/137124838/psa"
