"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Prizm","Michael Penix Jr.","Silver Prizm","378","788","3,641","22%","https://app.cardladder.com/search?gemRateId=b71741b76480598ea109d4bddb2dc1d5537f49f7&via=gemrate","https://app.cardladder.com/search?gemRateId=b71741b76480598ea109d4bddb2dc1d5537f49f7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b71741b76480598ea109d4bddb2dc1d5537f49f7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b71741b76480598ea109d4bddb2dc1d5537f49f7","https://www.psacard.com/cert/140719623/psa"
"","Football","2024","Panini Prizm","Michael Penix Jr.","Base","378","1,135","3,324","34%","https://app.cardladder.com/search?gemRateId=fdf46aebe1a0d5935100f80c2c82d006c0017aae&via=gemrate","https://app.cardladder.com/search?gemRateId=fdf46aebe1a0d5935100f80c2c82d006c0017aae&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fdf46aebe1a0d5935100f80c2c82d006c0017aae&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fdf46aebe1a0d5935100f80c2c82d006c0017aae","https://www.psacard.com/cert/132990994/psa"
"","Football","2024","Panini Donruss","Michael Penix Jr.","Optic Preview-Pink","308","1,486","2,402","62%","https://app.cardladder.com/search?gemRateId=e429d7a2b8235c1152a002c869c2b1bd2a0f3247&via=gemrate","https://app.cardladder.com/search?gemRateId=e429d7a2b8235c1152a002c869c2b1bd2a0f3247&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e429d7a2b8235c1152a002c869c2b1bd2a0f3247&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e429d7a2b8235c1152a002c869c2b1bd2a0f3247","https://www.psacard.com/cert/145312416/psa"
"","Football","2024","Panini Donruss","Michael Penix Jr.","Base","308","1,026","2,187","47%","https://app.cardladder.com/search?gemRateId=fd678f929e7150d720d729be1e39b534a6709243&via=gemrate","https://app.cardladder.com/search?gemRateId=fd678f929e7150d720d729be1e39b534a6709243&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fd678f929e7150d720d729be1e39b534a6709243&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fd678f929e7150d720d729be1e39b534a6709243","https://www.psacard.com/cert/137698742/psa"
"","Football","2024","Panini Donruss","Michael Penix Jr.","Optic Preview-Red Wave","308","1,565","1,965","80%","https://app.cardladder.com/search?gemRateId=9d973efa6dd489ff064a80dd83bc8ef987aabc40&via=gemrate","https://app.cardladder.com/search?gemRateId=9d973efa6dd489ff064a80dd83bc8ef987aabc40&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9d973efa6dd489ff064a80dd83bc8ef987aabc40&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9d973efa6dd489ff064a80dd83bc8ef987aabc40","https://www.psacard.com/cert/138046672/psa"
"","Football","2024","Panini Donruss Downtown!","Michael Penix Jr.","Base","14","389","1,946","20%","https://app.cardladder.com/search?gemRateId=e2bc7e145743fa53208de27b3b1e268b579b0911&via=gemrate","https://app.cardladder.com/search?gemRateId=e2bc7e145743fa53208de27b3b1e268b579b0911&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e2bc7e145743fa53208de27b3b1e268b579b0911&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e2bc7e145743fa53208de27b3b1e268b579b0911","https://www.psacard.com/cert/138099975/psa"
"","Football","2024","Panini Prizm","Michael Penix Jr.","Lazer Prizm","378","704","1,885","37%","https://app.cardladder.com/search?gemRateId=66ba6922516afc79fd60f9dc01b0ca5f86b1ceb4&via=gemrate","https://app.cardladder.com/search?gemRateId=66ba6922516afc79fd60f9dc01b0ca5f86b1ceb4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=66ba6922516afc79fd60f9dc01b0ca5f86b1ceb4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=66ba6922516afc79fd60f9dc01b0ca5f86b1ceb4","https://www.psacard.com/cert/135992888/psa"
"","Football","2024","Panini Donruss Rated Rookies Retro","Michael Penix Jr.","Base","7","1,136","1,794","63%","https://app.cardladder.com/search?gemRateId=ba7aa76e2217e867f3759a698ea36ffd6be4194a&via=gemrate","https://app.cardladder.com/search?gemRateId=ba7aa76e2217e867f3759a698ea36ffd6be4194a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ba7aa76e2217e867f3759a698ea36ffd6be4194a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ba7aa76e2217e867f3759a698ea36ffd6be4194a","https://www.psacard.com/cert/135886627/psa"
"","Football","2024","Panini Donruss","Michael Penix Jr.","Optic Preview-Red Pandora","308","1,094","1,596","69%","https://app.cardladder.com/search?gemRateId=1e5912d4ba7f795c1fc6e54443963aa59668e337&via=gemrate","https://app.cardladder.com/search?gemRateId=1e5912d4ba7f795c1fc6e54443963aa59668e337&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1e5912d4ba7f795c1fc6e54443963aa59668e337&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1e5912d4ba7f795c1fc6e54443963aa59668e337","https://www.psacard.com/cert/137377727/psa"
