"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2025","Panini Donruss Downtown!","Omarion Hampton","Base","16","216","245","88%","https://app.cardladder.com/search?gemRateId=0b517cbb5635bd7c901a2403600f3605732fc98f&via=gemrate","https://app.cardladder.com/search?gemRateId=0b517cbb5635bd7c901a2403600f3605732fc98f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0b517cbb5635bd7c901a2403600f3605732fc98f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0b517cbb5635bd7c901a2403600f3605732fc98f","https://www.psacard.com/cert/143942851/psa"
"","Football","2024","Panini Select","Omarion Hampton","Base","507","55","81","68%","https://app.cardladder.com/search?gemRateId=ee7ae1799a2f8651eadb41451f739f22b6c7555d&via=gemrate","https://app.cardladder.com/search?gemRateId=ee7ae1799a2f8651eadb41451f739f22b6c7555d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ee7ae1799a2f8651eadb41451f739f22b6c7555d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ee7ae1799a2f8651eadb41451f739f22b6c7555d","https://www.psacard.com/cert/136604012/psa"
"","Football","2024","Bowman Best University Best of 2024 Autographs","Omarion Hampton","Base","OH","28","54","52%","https://app.cardladder.com/search?gemRateId=12da5c3825b5306ecbd2025c9a23031e098e05f9&via=gemrate","https://app.cardladder.com/search?gemRateId=12da5c3825b5306ecbd2025c9a23031e098e05f9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=12da5c3825b5306ecbd2025c9a23031e098e05f9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/120703613/psa"
"","Football","2024","Bowman University Chrome Acropolis Autographs","Omarion Hampton","Base","AAOH","7","46","15%","https://app.cardladder.com/search?gemRateId=d211c13141fcbeaba2f5561d944a2dc4299d6da3&via=gemrate","https://app.cardladder.com/search?gemRateId=d211c13141fcbeaba2f5561d944a2dc4299d6da3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d211c13141fcbeaba2f5561d944a2dc4299d6da3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d211c13141fcbeaba2f5561d944a2dc4299d6da3","https://www.psacard.com/cert/109208420/psa"
"","Football","2024","Bowman University Chrome","Omarion Hampton","Base","198","26","44","59%","https://app.cardladder.com/search?gemRateId=2c2182b573b3f64f01df625ca621d9a1f6a004c4&via=gemrate","https://app.cardladder.com/search?gemRateId=2c2182b573b3f64f01df625ca621d9a1f6a004c4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2c2182b573b3f64f01df625ca621d9a1f6a004c4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2c2182b573b3f64f01df625ca621d9a1f6a004c4","https://www.psacard.com/cert/137879847/psa"
"","Football","2024","Bowman University Chrome Bowman Chrome Prospect Autographs","Omarion Hampton","Base","PAOHA","24","39","62%","https://app.cardladder.com/search?gemRateId=e3b5db6a8fb5c4cac64ef48f9d9e93acef4ce6e8&via=gemrate","https://app.cardladder.com/search?gemRateId=e3b5db6a8fb5c4cac64ef48f9d9e93acef4ce6e8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e3b5db6a8fb5c4cac64ef48f9d9e93acef4ce6e8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/120469497/psa"
"","Football","2024","Bowman University Chrome Sapphire","Omarion Hampton","Base","198","30","38","79%","https://app.cardladder.com/search?gemRateId=46bea9a1803725f64936554af0c36124ae3bf313&via=gemrate","https://app.cardladder.com/search?gemRateId=46bea9a1803725f64936554af0c36124ae3bf313&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=46bea9a1803725f64936554af0c36124ae3bf313&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/137403549/psa"
"","Football","2025","Panini Donruss","Omarion Hampton","Optic Preview-Red Pandora","303","12","36","33%","https://app.cardladder.com/search?gemRateId=fa26ff0fedc9dbcd77492269abb24da596617e41&via=gemrate","https://app.cardladder.com/search?gemRateId=fa26ff0fedc9dbcd77492269abb24da596617e41&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fa26ff0fedc9dbcd77492269abb24da596617e41&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/138155966/psa"
"","Football","2024","Bowman University Chrome Bowman Chrome Prospect Autographs","Omarion Hampton","Refractor","PAOHA","11","35","31%","https://app.cardladder.com/search?gemRateId=7919f76dc3543796a3bd0270e9dc9d8b14639aac&via=gemrate","https://app.cardladder.com/search?gemRateId=7919f76dc3543796a3bd0270e9dc9d8b14639aac&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7919f76dc3543796a3bd0270e9dc9d8b14639aac&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/127902382/psa"
