"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2025","Panini Instant WNBA Draft Night","Paige Bueckers","Base","DN1","5,252","8,282","63%","https://app.cardladder.com/search?gemRateId=627243e17e98f643b24dcfcf1d6a651f6935f3ed&via=gemrate","https://app.cardladder.com/search?gemRateId=627243e17e98f643b24dcfcf1d6a651f6935f3ed&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=627243e17e98f643b24dcfcf1d6a651f6935f3ed&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=627243e17e98f643b24dcfcf1d6a651f6935f3ed","https://www.psacard.com/cert/144059157/psa"
"","Basketball","2025","Panini Donruss WNBA","Paige Bueckers","Base","86","439","660","67%","https://app.cardladder.com/search?gemRateId=c21a734f07aea6582b3d6f16e41489a7dfb5e3be&via=gemrate","https://app.cardladder.com/search?gemRateId=c21a734f07aea6582b3d6f16e41489a7dfb5e3be&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c21a734f07aea6582b3d6f16e41489a7dfb5e3be&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c21a734f07aea6582b3d6f16e41489a7dfb5e3be","https://www.psacard.com/cert/144665119/psa"
"","Basketball","2024","Panini Prizm Draft Picks Rated Prospect","Paige Bueckers","Base","2","135","471","29%","https://app.cardladder.com/search?gemRateId=18456f70172714ae0479daf9046a2bc30800deb2&via=gemrate","https://app.cardladder.com/search?gemRateId=18456f70172714ae0479daf9046a2bc30800deb2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=18456f70172714ae0479daf9046a2bc30800deb2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=18456f70172714ae0479daf9046a2bc30800deb2","https://www.psacard.com/cert/129951299/psa"
"","Basketball","2025","Panini Instant WNBA","Caitlin Clark/Paige Bueckers","Base","146","294","397","74%","https://app.cardladder.com/search?gemRateId=68c2d84f6950bee2b3637977f0dbcef86ac33e8b&via=gemrate","https://app.cardladder.com/search?gemRateId=68c2d84f6950bee2b3637977f0dbcef86ac33e8b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=68c2d84f6950bee2b3637977f0dbcef86ac33e8b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=68c2d84f6950bee2b3637977f0dbcef86ac33e8b","https://www.psacard.com/cert/145296362/psa"
"","Basketball","2025","Panini Instant WNBA","Paige Bueckers","Base","1","267","366","73%","https://app.cardladder.com/search?gemRateId=2bece90f2c4f31074850b9287a45cf2595da9ac0&via=gemrate","https://app.cardladder.com/search?gemRateId=2bece90f2c4f31074850b9287a45cf2595da9ac0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2bece90f2c4f31074850b9287a45cf2595da9ac0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2bece90f2c4f31074850b9287a45cf2595da9ac0","https://www.psacard.com/cert/133957346/psa"
"","Basketball","2025","Panini Instant WNBA","Paige Bueckers","Base","114","254","318","80%","https://app.cardladder.com/search?gemRateId=25b2032b22f3fce724b32fd252f8d982d0e5ec63&via=gemrate","https://app.cardladder.com/search?gemRateId=25b2032b22f3fce724b32fd252f8d982d0e5ec63&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=25b2032b22f3fce724b32fd252f8d982d0e5ec63&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/135974511/psa"
"","Basketball","2024","Panini Prizm Draft Picks Rated Prospect","Paige Bueckers","Red Ice","2","150","308","49%","https://app.cardladder.com/search?gemRateId=5b045618b441bc07a15ef9527aa3fc655e87581a&via=gemrate","https://app.cardladder.com/search?gemRateId=5b045618b441bc07a15ef9527aa3fc655e87581a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5b045618b441bc07a15ef9527aa3fc655e87581a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5b045618b441bc07a15ef9527aa3fc655e87581a","https://www.psacard.com/cert/139353195/psa"
"","Basketball","2024","Panini Instant Nil National Championship","Paige Bueckers","Base","PBNC","179","257","70%","https://app.cardladder.com/search?gemRateId=2480424f547229ad9d87b132e887437bacd320aa&via=gemrate","https://app.cardladder.com/search?gemRateId=2480424f547229ad9d87b132e887437bacd320aa&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2480424f547229ad9d87b132e887437bacd320aa&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2480424f547229ad9d87b132e887437bacd320aa","https://www.psacard.com/cert/136068546/psa"
"","Basketball","2024","Panini Prizm Draft Picks Rated Prospect","Paige Bueckers","Orange Ice","2","50","167","30%","https://app.cardladder.com/search?gemRateId=79ce56b0f05203ffc676eef6e0d91722eaf261cd&via=gemrate","https://app.cardladder.com/search?gemRateId=79ce56b0f05203ffc676eef6e0d91722eaf261cd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=79ce56b0f05203ffc676eef6e0d91722eaf261cd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=79ce56b0f05203ffc676eef6e0d91722eaf261cd","https://www.psacard.com/cert/133525298/psa"
