"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2022","Panini Prizm","Paolo Banchero","Base","249","1,403","2,948","48%","https://app.cardladder.com/search?gemRateId=dd44b58c9285d6c39c777f7533771ff68fdacdcc&via=gemrate","https://app.cardladder.com/search?gemRateId=dd44b58c9285d6c39c777f7533771ff68fdacdcc&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=dd44b58c9285d6c39c777f7533771ff68fdacdcc&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=dd44b58c9285d6c39c777f7533771ff68fdacdcc","https://www.psacard.com/cert/137128988/psa"
"","Basketball","2022","Panini Prizm","Paolo Banchero","Silver Prizm","249","916","2,705","34%","https://app.cardladder.com/search?gemRateId=fc927a6894e35f618f45afc31053ebe02a074f61&via=gemrate","https://app.cardladder.com/search?gemRateId=fc927a6894e35f618f45afc31053ebe02a074f61&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fc927a6894e35f618f45afc31053ebe02a074f61&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fc927a6894e35f618f45afc31053ebe02a074f61","https://www.psacard.com/cert/143991806/psa"
"","Basketball","2022","Panini Prizm Monopoly","Paolo Banchero","Base","66","824","1,855","44%","https://app.cardladder.com/search?gemRateId=f2d3bb7c31016299dafa45b80ada39f9d509ecec&via=gemrate","https://app.cardladder.com/search?gemRateId=f2d3bb7c31016299dafa45b80ada39f9d509ecec&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f2d3bb7c31016299dafa45b80ada39f9d509ecec&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f2d3bb7c31016299dafa45b80ada39f9d509ecec","https://www.psacard.com/cert/101795190/psa"
"","Basketball","2022","Panini NBA Hoops","Paolo Banchero","Base","231","557","1,326","42%","https://app.cardladder.com/search?gemRateId=90017e8b0cd506f1b5aac557870b4dcd8502b15f&via=gemrate","https://app.cardladder.com/search?gemRateId=90017e8b0cd506f1b5aac557870b4dcd8502b15f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=90017e8b0cd506f1b5aac557870b4dcd8502b15f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=90017e8b0cd506f1b5aac557870b4dcd8502b15f","https://www.psacard.com/cert/121064109/psa"
"","Basketball","2022","Panini Prizm","Paolo Banchero","Red Ice","249","671","1,159","58%","https://app.cardladder.com/search?gemRateId=6ac84ce8e4afe649f39d9cfa313062ab65363ed7&via=gemrate","https://app.cardladder.com/search?gemRateId=6ac84ce8e4afe649f39d9cfa313062ab65363ed7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6ac84ce8e4afe649f39d9cfa313062ab65363ed7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6ac84ce8e4afe649f39d9cfa313062ab65363ed7","https://www.psacard.com/cert/132038017/psa"
"","Basketball","2022","Panini Donruss","Paolo Banchero","Base","201","406","1,059","38%","https://app.cardladder.com/search?gemRateId=81b635b0147029933415edef98e308cd3e0e6c91&via=gemrate","https://app.cardladder.com/search?gemRateId=81b635b0147029933415edef98e308cd3e0e6c91&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=81b635b0147029933415edef98e308cd3e0e6c91&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=81b635b0147029933415edef98e308cd3e0e6c91","https://www.psacard.com/cert/133524176/psa"
"","Basketball","2022","Panini Donruss Optic","Paolo Banchero","Base","221","293","999","29%","https://app.cardladder.com/search?gemRateId=948179b2316778ef7ed63519efd5a800409680ce&via=gemrate","https://app.cardladder.com/search?gemRateId=948179b2316778ef7ed63519efd5a800409680ce&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=948179b2316778ef7ed63519efd5a800409680ce&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=948179b2316778ef7ed63519efd5a800409680ce","https://www.psacard.com/cert/130527211/psa"
"","Basketball","2022","Panini Prizm","Paolo Banchero","Ice","249","397","870","46%","https://app.cardladder.com/search?gemRateId=b32900ec8f2aeb62ae672b24075beb74a58d091e&via=gemrate","https://app.cardladder.com/search?gemRateId=b32900ec8f2aeb62ae672b24075beb74a58d091e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b32900ec8f2aeb62ae672b24075beb74a58d091e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b32900ec8f2aeb62ae672b24075beb74a58d091e","https://www.psacard.com/cert/131782720/psa"
"","Basketball","2022","Panini Select","Paolo Banchero","Blue","72","539","832","65%","https://app.cardladder.com/search?gemRateId=3cf0687aa0e6ffd071d21a88d3762368aad9618a&via=gemrate","https://app.cardladder.com/search?gemRateId=3cf0687aa0e6ffd071d21a88d3762368aad9618a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3cf0687aa0e6ffd071d21a88d3762368aad9618a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3cf0687aa0e6ffd071d21a88d3762368aad9618a","https://www.psacard.com/cert/133463729/psa"
