"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2017","Panini Donruss","Patrick Mahomes II","Base","327","1,734","15,887","11%","https://app.cardladder.com/search?gemRateId=86b0f5fc53b7a20345c42ba6829f3185eaa6841b&via=gemrate","https://app.cardladder.com/search?gemRateId=86b0f5fc53b7a20345c42ba6829f3185eaa6841b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=86b0f5fc53b7a20345c42ba6829f3185eaa6841b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=86b0f5fc53b7a20345c42ba6829f3185eaa6841b","https://www.psacard.com/cert/136920980/psa"
"","Football","2017","Panini Donruss Optic","Patrick Mahomes II","Base","177","4,867","10,573","46%","https://app.cardladder.com/search?gemRateId=eb4a1b6452f3056f44527278df793f77597ded2b&via=gemrate","https://app.cardladder.com/search?gemRateId=eb4a1b6452f3056f44527278df793f77597ded2b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=eb4a1b6452f3056f44527278df793f77597ded2b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=eb4a1b6452f3056f44527278df793f77597ded2b","https://www.psacard.com/cert/138240818/psa"
"","Football","2017","Panini Score","Patrick Mahomes II","Base","403","3,445","6,752","51%","https://app.cardladder.com/search?gemRateId=3527fdc684345ab99b126316df52b0c0c35c2dd7&via=gemrate","https://app.cardladder.com/search?gemRateId=3527fdc684345ab99b126316df52b0c0c35c2dd7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3527fdc684345ab99b126316df52b0c0c35c2dd7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3527fdc684345ab99b126316df52b0c0c35c2dd7","https://www.psacard.com/cert/136946393/psa"
"","Football","2017","Panini Prizm","Patrick Mahomes II","Prizm","269","981","6,369","15%","https://app.cardladder.com/search?gemRateId=29cf3e901aecb9232786c56d0c4b97e1ec3d23e4&via=gemrate","https://app.cardladder.com/search?gemRateId=29cf3e901aecb9232786c56d0c4b97e1ec3d23e4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=29cf3e901aecb9232786c56d0c4b97e1ec3d23e4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=29cf3e901aecb9232786c56d0c4b97e1ec3d23e4","https://www.psacard.com/cert/129050164/psa"
"","Football","2018","Panini Prizm","Patrick Mahomes II","Base","102","1,613","5,083","32%","https://app.cardladder.com/search?gemRateId=1a9d4375b5a82241ea8df41e5f886c2da73b581f&via=gemrate","https://app.cardladder.com/search?gemRateId=1a9d4375b5a82241ea8df41e5f886c2da73b581f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1a9d4375b5a82241ea8df41e5f886c2da73b581f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1a9d4375b5a82241ea8df41e5f886c2da73b581f","https://www.psacard.com/cert/126392683/psa"
"","Football","2017","SA-GE Hit Premier Draft","Patrick Mahomes II","Base","5","2,291","3,478","66%","https://app.cardladder.com/search?gemRateId=33bf79514aa54e0d77b72b1f414df121398a43e6&via=gemrate","https://app.cardladder.com/search?gemRateId=33bf79514aa54e0d77b72b1f414df121398a43e6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=33bf79514aa54e0d77b72b1f414df121398a43e6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=33bf79514aa54e0d77b72b1f414df121398a43e6","https://www.psacard.com/cert/135314165/psa"
"","Football","2020","Panini Phoenix","Patrick Mahomes II","Fire Burst","45","2,142","3,133","68%","https://app.cardladder.com/search?gemRateId=1a37b7afe2396c0a90cfecba472e911b973a384e&via=gemrate","https://app.cardladder.com/search?gemRateId=1a37b7afe2396c0a90cfecba472e911b973a384e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1a37b7afe2396c0a90cfecba472e911b973a384e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1a37b7afe2396c0a90cfecba472e911b973a384e","https://www.psacard.com/cert/137537268/psa"
"","Football","2017","Panini Rookies & Stars","Patrick Mahomes II","Base","201","1,705","2,994","57%","https://app.cardladder.com/search?gemRateId=ff6e1408791c600b42b6ab497f262a8684e0dbc8&via=gemrate","https://app.cardladder.com/search?gemRateId=ff6e1408791c600b42b6ab497f262a8684e0dbc8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ff6e1408791c600b42b6ab497f262a8684e0dbc8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ff6e1408791c600b42b6ab497f262a8684e0dbc8","https://www.psacard.com/cert/143600690/psa"
"","Football","2018","Panini Donruss","Patrick Mahomes II","Base","138","1,981","2,918","68%","https://app.cardladder.com/search?gemRateId=94753b31241da744576f8c95c5d69068eb837cdd&via=gemrate","https://app.cardladder.com/search?gemRateId=94753b31241da744576f8c95c5d69068eb837cdd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=94753b31241da744576f8c95c5d69068eb837cdd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=94753b31241da744576f8c95c5d69068eb837cdd","https://www.psacard.com/cert/134847753/psa"
