"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2023","Panini Donruss","Puka Nacua","Base","357","1,050","2,745","38%","https://app.cardladder.com/search?gemRateId=d54535839b15cea72a4ca0ad6c8823265e6362d5&via=gemrate","https://app.cardladder.com/search?gemRateId=d54535839b15cea72a4ca0ad6c8823265e6362d5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d54535839b15cea72a4ca0ad6c8823265e6362d5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d54535839b15cea72a4ca0ad6c8823265e6362d5","https://www.psacard.com/cert/107214779/psa"
"","Football","2023","Panini Prizm","Puka Nacua","Silver Prizm","357","897","2,640","34%","https://app.cardladder.com/search?gemRateId=c0c5a9a7c2210df65bda2fcfb3807b3ccbc9efd3&via=gemrate","https://app.cardladder.com/search?gemRateId=c0c5a9a7c2210df65bda2fcfb3807b3ccbc9efd3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c0c5a9a7c2210df65bda2fcfb3807b3ccbc9efd3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c0c5a9a7c2210df65bda2fcfb3807b3ccbc9efd3","https://www.psacard.com/cert/134306436/psa"
"","Football","2023","Panini Prizm","Puka Nacua","Base","357","1,001","2,381","42%","https://app.cardladder.com/search?gemRateId=bddea9f7332b57a56ac70f1b0bff25750d9bf69f&via=gemrate","https://app.cardladder.com/search?gemRateId=bddea9f7332b57a56ac70f1b0bff25750d9bf69f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bddea9f7332b57a56ac70f1b0bff25750d9bf69f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bddea9f7332b57a56ac70f1b0bff25750d9bf69f","https://www.psacard.com/cert/123269994/psa"
"","Football","2023","Panini Donruss Optic","Puka Nacua","Holo","238","1,169","2,075","56%","https://app.cardladder.com/search?gemRateId=47445a3ce8cf23434fa3fd53033d181ee0bdb928&via=gemrate","https://app.cardladder.com/search?gemRateId=47445a3ce8cf23434fa3fd53033d181ee0bdb928&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=47445a3ce8cf23434fa3fd53033d181ee0bdb928&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=47445a3ce8cf23434fa3fd53033d181ee0bdb928","https://www.psacard.com/cert/143914145/psa"
"","Football","2023","Panini Prizm","Puka Nacua","Lazer Prizm","357","1,090","2,068","53%","https://app.cardladder.com/search?gemRateId=3c353da9e1263ac1f70eb2ca605dcc52390c3bb7&via=gemrate","https://app.cardladder.com/search?gemRateId=3c353da9e1263ac1f70eb2ca605dcc52390c3bb7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3c353da9e1263ac1f70eb2ca605dcc52390c3bb7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3c353da9e1263ac1f70eb2ca605dcc52390c3bb7","https://www.psacard.com/cert/137842254/psa"
"","Football","2023","Panini Donruss Optic","Puka Nacua","Purple Shock","238","1,068","1,797","59%","https://app.cardladder.com/search?gemRateId=6b7eb9f6502c95184411423f2d60180f2690b03d&via=gemrate","https://app.cardladder.com/search?gemRateId=6b7eb9f6502c95184411423f2d60180f2690b03d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6b7eb9f6502c95184411423f2d60180f2690b03d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6b7eb9f6502c95184411423f2d60180f2690b03d","https://www.psacard.com/cert/136205462/psa"
"","Football","2023","Panini Prizm","Puka Nacua","Disco Prizm","357","688","1,422","48%","https://app.cardladder.com/search?gemRateId=a778db687704498b84d2eaca38c85b34b8bd6c34&via=gemrate","https://app.cardladder.com/search?gemRateId=a778db687704498b84d2eaca38c85b34b8bd6c34&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a778db687704498b84d2eaca38c85b34b8bd6c34&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a778db687704498b84d2eaca38c85b34b8bd6c34","https://www.psacard.com/cert/137842253/psa"
"","Football","2023","Panini Donruss Optic","Puka Nacua","Base","238","643","1,258","51%","https://app.cardladder.com/search?gemRateId=47677ce3236c89e8a20461241bc3f99d391775c2&via=gemrate","https://app.cardladder.com/search?gemRateId=47677ce3236c89e8a20461241bc3f99d391775c2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=47677ce3236c89e8a20461241bc3f99d391775c2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8bf12e36fd8dbdbbf637c1bc1dd7e85054440a36","https://www.psacard.com/cert/138395147/psa"
"","Football","2023","Panini Prizm","Puka Nacua","Red/White/Blue Prizm","357","504","1,204","42%","https://app.cardladder.com/search?gemRateId=cf4462f35352e618cb70de2cf8d8e61b6de09893&via=gemrate","https://app.cardladder.com/search?gemRateId=cf4462f35352e618cb70de2cf8d8e61b6de09893&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cf4462f35352e618cb70de2cf8d8e61b6de09893&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cf4462f35352e618cb70de2cf8d8e61b6de09893","https://www.psacard.com/cert/133667350/psa"
"","Football","2024","Panini Donruss Downtown!","Puka Nacua","Base","20","183","1,181","15%","https://app.cardladder.com/search?gemRateId=660e34290c6db11faf41f93ba771ee037adc320a&via=gemrate","https://app.cardladder.com/search?gemRateId=660e34290c6db11faf41f93ba771ee037adc320a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=660e34290c6db11faf41f93ba771ee037adc320a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=660e34290c6db11faf41f93ba771ee037adc320a","https://www.psacard.com/cert/144093684/psa"
"","Football","2023","Panini Donruss Optic","Puka Nacua","Pink","238","723","1,053","69%","https://app.cardladder.com/search?gemRateId=b9c0e9c013ddc4cc4317fbb1874830d3aafe6e48&via=gemrate","https://app.cardladder.com/search?gemRateId=b9c0e9c013ddc4cc4317fbb1874830d3aafe6e48&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b9c0e9c013ddc4cc4317fbb1874830d3aafe6e48&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b9c0e9c013ddc4cc4317fbb1874830d3aafe6e48","https://www.psacard.com/cert/137891579/psa"
"","Football","2023","Panini Prizm","Puka Nacua","Neon Green Pulsar","357","448","1,030","43%","https://app.cardladder.com/search?gemRateId=2c06ba4e5b115ba9bea259d127144e705b538eef&via=gemrate","https://app.cardladder.com/search?gemRateId=2c06ba4e5b115ba9bea259d127144e705b538eef&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2c06ba4e5b115ba9bea259d127144e705b538eef&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2c06ba4e5b115ba9bea259d127144e705b538eef","https://www.psacard.com/cert/136258488/psa"
"","Football","2023","Panini Prizm","Puka Nacua","Green Wave","357","545","1,026","53%","https://app.cardladder.com/search?gemRateId=817b40dd3cbbeac9fd0ab03a231a8ef0420efc3d&via=gemrate","https://app.cardladder.com/search?gemRateId=817b40dd3cbbeac9fd0ab03a231a8ef0420efc3d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=817b40dd3cbbeac9fd0ab03a231a8ef0420efc3d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e565d41bb2cf7cca6f970063ec1da67669cb9ae3","https://www.psacard.com/cert/124613272/psa"
"","Football","2023","Panini Donruss Optic","Puka Nacua","Blue Hyper","238","440","835","53%","https://app.cardladder.com/search?gemRateId=01c0c7cdb0f77459f64a9cbc2f0f1e07ac0adc49&via=gemrate","https://app.cardladder.com/search?gemRateId=01c0c7cdb0f77459f64a9cbc2f0f1e07ac0adc49&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=01c0c7cdb0f77459f64a9cbc2f0f1e07ac0adc49&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=55560ad0a4cb13ace27804d749f02765db7f00f6","https://www.psacard.com/cert/143714379/psa"
"","Football","2023","Panini Donruss Optic","Puka Nacua","Green Velocity","238","489","696","70%","https://app.cardladder.com/search?gemRateId=ac034de35a8ca158f9d42b328bfe76f6440e1f2f&via=gemrate","https://app.cardladder.com/search?gemRateId=ac034de35a8ca158f9d42b328bfe76f6440e1f2f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ac034de35a8ca158f9d42b328bfe76f6440e1f2f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ac034de35a8ca158f9d42b328bfe76f6440e1f2f","https://www.psacard.com/cert/138532767/psa"
"","Football","2023","Panini Absolute","Puka Nacua","Base","189","418","625","67%","https://app.cardladder.com/search?gemRateId=8cbc27b8593b325d3d8dad6d84b7b9550ee24af8&via=gemrate","https://app.cardladder.com/search?gemRateId=8cbc27b8593b325d3d8dad6d84b7b9550ee24af8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8cbc27b8593b325d3d8dad6d84b7b9550ee24af8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8cbc27b8593b325d3d8dad6d84b7b9550ee24af8","https://www.psacard.com/cert/146010250/psa"
"","Football","2023","Panini Prizm","Puka Nacua","Autograph","357","233","607","38%","https://app.cardladder.com/search?gemRateId=edbb6ddf3924e9d292aca4cc91934d58439271ac&via=gemrate","https://app.cardladder.com/search?gemRateId=edbb6ddf3924e9d292aca4cc91934d58439271ac&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=edbb6ddf3924e9d292aca4cc91934d58439271ac&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=edbb6ddf3924e9d292aca4cc91934d58439271ac","https://www.psacard.com/cert/134509669/psa"
