"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Donruss Downtown!","Rome Odunze","Base","15","247","1,358","18%","https://app.cardladder.com/search?gemRateId=1c42f76d98a9f2e0c5dfeda3026b4260f1d8aced&via=gemrate","https://app.cardladder.com/search?gemRateId=1c42f76d98a9f2e0c5dfeda3026b4260f1d8aced&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1c42f76d98a9f2e0c5dfeda3026b4260f1d8aced&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1c42f76d98a9f2e0c5dfeda3026b4260f1d8aced","https://www.psacard.com/cert/143845443/psa"
"","Football","2024","Panini Prizm","Rome Odunze","Silver Prizm","385","286","757","38%","https://app.cardladder.com/search?gemRateId=8806f76fd008264c91f203f46e8757379ae7f6c5&via=gemrate","https://app.cardladder.com/search?gemRateId=8806f76fd008264c91f203f46e8757379ae7f6c5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8806f76fd008264c91f203f46e8757379ae7f6c5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8806f76fd008264c91f203f46e8757379ae7f6c5","https://www.psacard.com/cert/138973313/psa"
"","Football","2024","Panini Donruss Optic Uptowns","Rome Odunze","Base","11","207","680","30%","https://app.cardladder.com/search?gemRateId=9a62ffe7cd5fdbcc5e1cc43b07abed317770e39a&via=gemrate","https://app.cardladder.com/search?gemRateId=9a62ffe7cd5fdbcc5e1cc43b07abed317770e39a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9a62ffe7cd5fdbcc5e1cc43b07abed317770e39a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9a62ffe7cd5fdbcc5e1cc43b07abed317770e39a","https://www.psacard.com/cert/143490894/psa"
"","Football","2024","Panini Absolute Kaboom! Horizontal","Rome Odunze","Base","15","245","588","42%","https://app.cardladder.com/search?gemRateId=ab2a887d87279c2caf61bbfc8d1f6f9f38f51d27&via=gemrate","https://app.cardladder.com/search?gemRateId=ab2a887d87279c2caf61bbfc8d1f6f9f38f51d27&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ab2a887d87279c2caf61bbfc8d1f6f9f38f51d27&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ab2a887d87279c2caf61bbfc8d1f6f9f38f51d27","https://www.psacard.com/cert/140218382/psa"
"","Football","2024","Panini Donruss","Rome Odunze","Optic Preview-Red Pandora","309","320","501","64%","https://app.cardladder.com/search?gemRateId=d5291a8531a28709c5d474caea2cb6ca9aa0e5af&via=gemrate","https://app.cardladder.com/search?gemRateId=d5291a8531a28709c5d474caea2cb6ca9aa0e5af&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d5291a8531a28709c5d474caea2cb6ca9aa0e5af&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d5291a8531a28709c5d474caea2cb6ca9aa0e5af","https://www.psacard.com/cert/137784007/psa"
"","Football","2024","Panini Donruss Optic Downtown Duos","Caleb Williams/Rome Odunze","Base","10","165","428","39%","https://app.cardladder.com/search?gemRateId=656a9545ad9b4901acb1481487c3926015349455&via=gemrate","https://app.cardladder.com/search?gemRateId=656a9545ad9b4901acb1481487c3926015349455&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=656a9545ad9b4901acb1481487c3926015349455&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=656a9545ad9b4901acb1481487c3926015349455","https://www.psacard.com/cert/140644545/psa"
"","Football","2024","Panini Prizm Rookie Variation","Rome Odunze","Base","36","118","389","30%","https://app.cardladder.com/search?gemRateId=e1f1f9be0fa1f7a789f9c78a54292bb3bb1eac55&via=gemrate","https://app.cardladder.com/search?gemRateId=e1f1f9be0fa1f7a789f9c78a54292bb3bb1eac55&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e1f1f9be0fa1f7a789f9c78a54292bb3bb1eac55&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e1f1f9be0fa1f7a789f9c78a54292bb3bb1eac55","https://www.psacard.com/cert/141633333/psa"
"","Football","2024","Panini Prizm","Rome Odunze","Lazer Prizm","385","143","381","38%","https://app.cardladder.com/search?gemRateId=7fca85677bf62ab5fc9ce4eb1887b0b69e75bc50&via=gemrate","https://app.cardladder.com/search?gemRateId=7fca85677bf62ab5fc9ce4eb1887b0b69e75bc50&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7fca85677bf62ab5fc9ce4eb1887b0b69e75bc50&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7fca85677bf62ab5fc9ce4eb1887b0b69e75bc50","https://www.psacard.com/cert/139501858/psa"
"","Football","2024","Panini Donruss","Rome Odunze","Optic Preview-Pink","309","195","378","52%","https://app.cardladder.com/search?gemRateId=4d76e483ec16a41e412597f34be70ae27ca668e9&via=gemrate","https://app.cardladder.com/search?gemRateId=4d76e483ec16a41e412597f34be70ae27ca668e9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4d76e483ec16a41e412597f34be70ae27ca668e9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4d76e483ec16a41e412597f34be70ae27ca668e9","https://www.psacard.com/cert/142435762/psa"
