"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2018","Panini Donruss","Saquon Barkley","Base","306","5,317","8,041","66%","https://app.cardladder.com/search?gemRateId=298691289fddfe1af1877fc019815746c465fa78&via=gemrate","https://app.cardladder.com/search?gemRateId=298691289fddfe1af1877fc019815746c465fa78&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=298691289fddfe1af1877fc019815746c465fa78&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=298691289fddfe1af1877fc019815746c465fa78","https://www.psacard.com/cert/140341839/psa"
"","Football","2018","Panini Prizm","Saquon Barkley","Base","202","1,097","2,800","39%","https://app.cardladder.com/search?gemRateId=9761b9dcc6fa89d6ec6395e33e7eb91fddf388a5&via=gemrate","https://app.cardladder.com/search?gemRateId=9761b9dcc6fa89d6ec6395e33e7eb91fddf388a5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9761b9dcc6fa89d6ec6395e33e7eb91fddf388a5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9761b9dcc6fa89d6ec6395e33e7eb91fddf388a5","https://www.psacard.com/cert/143692136/psa"
"","Football","2018","Panini Donruss Optic","Saquon Barkley","Base","156","1,102","1,900","58%","https://app.cardladder.com/search?gemRateId=56341a6e4d845250ed723316767d10ffaa64e5e4&via=gemrate","https://app.cardladder.com/search?gemRateId=56341a6e4d845250ed723316767d10ffaa64e5e4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=56341a6e4d845250ed723316767d10ffaa64e5e4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=56341a6e4d845250ed723316767d10ffaa64e5e4","https://www.psacard.com/cert/136091260/psa"
"","Football","2024","Panini Donruss Optic Uptowns","Saquon Barkley","Base","17","477","928","51%","https://app.cardladder.com/search?gemRateId=33f19259081845a75f820f9b85ba215dd52015bc&via=gemrate","https://app.cardladder.com/search?gemRateId=33f19259081845a75f820f9b85ba215dd52015bc&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=33f19259081845a75f820f9b85ba215dd52015bc&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=33f19259081845a75f820f9b85ba215dd52015bc","https://www.psacard.com/cert/142761660/psa"
"","Football","2025","Panini Donruss Downtown!","Saquon Barkley","Base","7","628","728","86%","https://app.cardladder.com/search?gemRateId=35cf033aa67f3bf839a983907c86272c2c0869eb&via=gemrate","https://app.cardladder.com/search?gemRateId=35cf033aa67f3bf839a983907c86272c2c0869eb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=35cf033aa67f3bf839a983907c86272c2c0869eb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=35cf033aa67f3bf839a983907c86272c2c0869eb","https://www.psacard.com/cert/146255606/psa"
"","Football","2018","Panini Score","Saquon Barkley","Base","359","433","637","68%","","","","",""
"","Football","2023","Panini Donruss Downtown!","Saquon Barkley","Base","D13","299","570","52%","https://app.cardladder.com/search?gemRateId=154867dca5abfb56e1225de3489b972adb2d5210&via=gemrate","https://app.cardladder.com/search?gemRateId=154867dca5abfb56e1225de3489b972adb2d5210&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=154867dca5abfb56e1225de3489b972adb2d5210&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=154867dca5abfb56e1225de3489b972adb2d5210","https://www.psacard.com/cert/137393440/psa"
"","Football","2018","Panini Select","Saquon Barkley","Base","17","217","455","48%","https://app.cardladder.com/search?gemRateId=05811bf4f7a536423fbac200cf9e7ecdc8e9eceb&via=gemrate","https://app.cardladder.com/search?gemRateId=05811bf4f7a536423fbac200cf9e7ecdc8e9eceb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=05811bf4f7a536423fbac200cf9e7ecdc8e9eceb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=05811bf4f7a536423fbac200cf9e7ecdc8e9eceb","https://www.psacard.com/cert/136787583/psa"
"","Football","2021","Panini Donruss Optic Downtown","Saquon Barkley","Base","DT6","275","442","62%","https://app.cardladder.com/search?gemRateId=42669e2acd8bec08b6031cd29b6b3b10cba1ff58&via=gemrate","https://app.cardladder.com/search?gemRateId=42669e2acd8bec08b6031cd29b6b3b10cba1ff58&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=42669e2acd8bec08b6031cd29b6b3b10cba1ff58&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=42669e2acd8bec08b6031cd29b6b3b10cba1ff58","https://www.psacard.com/cert/133599101/psa"
