"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2025","Panini Donruss Downtown!","Tetairoa Mcmillan","Base","15","280","309","91%","https://app.cardladder.com/search?gemRateId=b96534901494e650153998595b96d8199ac0c0bc&via=gemrate","https://app.cardladder.com/search?gemRateId=b96534901494e650153998595b96d8199ac0c0bc&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b96534901494e650153998595b96d8199ac0c0bc&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b96534901494e650153998595b96d8199ac0c0bc","https://www.psacard.com/cert/144854843/psa"
"","Football","2024","Panini Select","Tetairoa Mcmillan","Base","512","94","122","77%","https://app.cardladder.com/search?gemRateId=d6465e4a710d7b339e5bfec1545d21b2f62579f2&via=gemrate","https://app.cardladder.com/search?gemRateId=d6465e4a710d7b339e5bfec1545d21b2f62579f2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d6465e4a710d7b339e5bfec1545d21b2f62579f2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d6465e4a710d7b339e5bfec1545d21b2f62579f2","https://www.psacard.com/cert/137296292/psa"
"","Football","2023","Bowman University Chrome","Tetairoa Mcmillan","Autograph","68","18","91","20%","https://app.cardladder.com/search?gemRateId=872067372289ca8be0e3acfcba775be6be9671ae&via=gemrate","https://app.cardladder.com/search?gemRateId=872067372289ca8be0e3acfcba775be6be9671ae&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=872067372289ca8be0e3acfcba775be6be9671ae&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=872067372289ca8be0e3acfcba775be6be9671ae","https://www.psacard.com/cert/102946829/psa"
"","Football","2023","Bowman University Chrome","Tetairoa Mcmillan","Autograph-Refractor","68","11","70","16%","https://app.cardladder.com/search?gemRateId=2c9ccfd628e311bbadc63d3cef64fc631c6e4229&via=gemrate","https://app.cardladder.com/search?gemRateId=2c9ccfd628e311bbadc63d3cef64fc631c6e4229&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2c9ccfd628e311bbadc63d3cef64fc631c6e4229&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2c9ccfd628e311bbadc63d3cef64fc631c6e4229","https://www.psacard.com/cert/106695340/psa"
"","Football","2023","Bowman University Chrome Sapphire","Tetairoa Mcmillan","Base","68","46","70","66%","https://app.cardladder.com/search?gemRateId=acdedf4f76effad3c99a6e04eb268378037a1534&via=gemrate","https://app.cardladder.com/search?gemRateId=acdedf4f76effad3c99a6e04eb268378037a1534&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=acdedf4f76effad3c99a6e04eb268378037a1534&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=acdedf4f76effad3c99a6e04eb268378037a1534","https://www.psacard.com/cert/131820502/psa"
"","Football","2024","Bowman Best University Best of 2024 Autographs","Tetairoa Mcmillan","Base","TMC","46","65","71%","https://app.cardladder.com/search?gemRateId=d4ac915e18fb283d32c8af21a99e436fbf2d59ab&via=gemrate","https://app.cardladder.com/search?gemRateId=d4ac915e18fb283d32c8af21a99e436fbf2d59ab&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d4ac915e18fb283d32c8af21a99e436fbf2d59ab&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/137386587/psa"
"","Football","2024","Bowman U Now","Tetairoa Mcmillan","Base","4","60","61","98%","https://app.cardladder.com/search?gemRateId=e06229bf376aa502354101c351eda47b59b72743&via=gemrate","https://app.cardladder.com/search?gemRateId=e06229bf376aa502354101c351eda47b59b72743&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e06229bf376aa502354101c351eda47b59b72743&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e06229bf376aa502354101c351eda47b59b72743","https://www.psacard.com/cert/101724043/psa"
"","Football","2025","Panini Instant NFL Draft Night","Tetairoa Mcmillan","Base","NFLDN9","40","57","70%","https://app.cardladder.com/search?gemRateId=6e7c6a9212a5c6daaa049e2d58e3acc25f814f6c&via=gemrate","https://app.cardladder.com/search?gemRateId=6e7c6a9212a5c6daaa049e2d58e3acc25f814f6c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6e7c6a9212a5c6daaa049e2d58e3acc25f814f6c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/129994308/psa"
"","Football","2024","Bowman University Chrome Bowman Chrome Prospect Autographs","Tetairoa Mcmillan","Base","PATMC","27","51","53%","https://app.cardladder.com/search?gemRateId=854787d4cede48cd2d2a50d45c3adb19579ec94f&via=gemrate","https://app.cardladder.com/search?gemRateId=854787d4cede48cd2d2a50d45c3adb19579ec94f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=854787d4cede48cd2d2a50d45c3adb19579ec94f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=854787d4cede48cd2d2a50d45c3adb19579ec94f","https://www.psacard.com/cert/126121673/psa"
"","Football","2025","Panini Donruss","Tetairoa Mcmillan","Optic Preview-Red Pandora","314","29","47","62%","https://app.cardladder.com/search?gemRateId=bba928717d6fcdf8b9420f595bd5ce67c6d4a52e&via=gemrate","https://app.cardladder.com/search?gemRateId=bba928717d6fcdf8b9420f595bd5ce67c6d4a52e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bba928717d6fcdf8b9420f595bd5ce67c6d4a52e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/139347720/psa"
"","Football","2024","Bowman University Chrome the Big Kahuna","Tetairoa Mcmillan","Base","BK22","23","47","49%","https://app.cardladder.com/search?gemRateId=2beec3b804fc963327855b51b39c49810be6a064&via=gemrate","https://app.cardladder.com/search?gemRateId=2beec3b804fc963327855b51b39c49810be6a064&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2beec3b804fc963327855b51b39c49810be6a064&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/133569964/psa"
"","Football","2025","Panini Score","Tetairoa Mcmillan","Rookie-Signature","17","27","46","59%","https://app.cardladder.com/search?gemRateId=1b46142696dfc8da80570eb7c094aa5cfffe05da&via=gemrate","https://app.cardladder.com/search?gemRateId=1b46142696dfc8da80570eb7c094aa5cfffe05da&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1b46142696dfc8da80570eb7c094aa5cfffe05da&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/137806697/psa"
"","Football","2023","Bowman University Chrome","Tetairoa Mcmillan","Base","68","18","43","42%","https://app.cardladder.com/search?gemRateId=3a7fc7af2ba30f944987744d2ae5a9e311bd462a&via=gemrate","https://app.cardladder.com/search?gemRateId=3a7fc7af2ba30f944987744d2ae5a9e311bd462a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3a7fc7af2ba30f944987744d2ae5a9e311bd462a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3a7fc7af2ba30f944987744d2ae5a9e311bd462a","https://www.psacard.com/cert/114660277/psa"
"","Football","2025","Panini Mosaic","Tetairoa Mcmillan","Red & White Stripe","309","26","39","67%","https://app.cardladder.com/search?gemRateId=de53d19c6e99ca93176498045203c137f67327e1&via=gemrate","https://app.cardladder.com/search?gemRateId=de53d19c6e99ca93176498045203c137f67327e1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=de53d19c6e99ca93176498045203c137f67327e1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/143970943/psa"
"","Football","2023","Bowman University Chrome","Tetairoa Mcmillan","Refractor","68","14","39","36%","https://app.cardladder.com/search?gemRateId=7bfc1e7eb5f16226be3a41605dfc0e5dda10fe17&via=gemrate","https://app.cardladder.com/search?gemRateId=7bfc1e7eb5f16226be3a41605dfc0e5dda10fe17&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7bfc1e7eb5f16226be3a41605dfc0e5dda10fe17&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7bfc1e7eb5f16226be3a41605dfc0e5dda10fe17","https://www.psacard.com/cert/103105633/psa"
"","Football","2025","Panini Donruss Bomb Squad","Tetairoa Mcmillan","Base","BS-TMN","19","38","50%","https://app.cardladder.com/search?gemRateId=f1697bd16b92e6470930d05842765b149e6e4c5a&via=gemrate","https://app.cardladder.com/search?gemRateId=f1697bd16b92e6470930d05842765b149e6e4c5a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f1697bd16b92e6470930d05842765b149e6e4c5a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f1697bd16b92e6470930d05842765b149e6e4c5a","https://www.psacard.com/cert/142763738/psa"
"","Football","2023","Bowman University Chrome","Tetairoa Mcmillan","Pink Refractor","68","8","29","28%","https://app.cardladder.com/search?gemRateId=44642b622d803238d00ec253eb4630412d6c6e4d&via=gemrate","https://app.cardladder.com/search?gemRateId=44642b622d803238d00ec253eb4630412d6c6e4d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=44642b622d803238d00ec253eb4630412d6c6e4d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=44642b622d803238d00ec253eb4630412d6c6e4d","https://www.psacard.com/cert/108214632/psa"
"","Football","2025","Panini Phoenix Color Blast","Tetairoa Mcmillan","Base","5","14","29","48%","https://app.cardladder.com/search?gemRateId=258d0df30b33ded6805f6454e65df97f8a1c39bb&via=gemrate","https://app.cardladder.com/search?gemRateId=258d0df30b33ded6805f6454e65df97f8a1c39bb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=258d0df30b33ded6805f6454e65df97f8a1c39bb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/138946920/psa"
"","Football","2024","Bowman Best University Bowman Masterpieces Autographs","Tetairoa Mcmillan","Base","TM","19","26","73%","https://app.cardladder.com/search?gemRateId=df98aa013866df65e5869f2914662020b05e5e28&via=gemrate","https://app.cardladder.com/search?gemRateId=df98aa013866df65e5869f2914662020b05e5e28&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=df98aa013866df65e5869f2914662020b05e5e28&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/137438011/psa"
"","Football","2023","Bowman University Chrome","Tetairoa Mcmillan","Autograph-Fuchsia Mini Diamond Refractor","68","7","26","27%","https://app.cardladder.com/search?gemRateId=2b48beff1a4e9e7dd1a6d2acf3caf50fd8daa604&via=gemrate","https://app.cardladder.com/search?gemRateId=2b48beff1a4e9e7dd1a6d2acf3caf50fd8daa604&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2b48beff1a4e9e7dd1a6d2acf3caf50fd8daa604&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2b48beff1a4e9e7dd1a6d2acf3caf50fd8daa604","https://www.psacard.com/cert/132238673/psa"
"","Football","2024","Bowman University Chrome the Big Kahuna Autographs","Tetairoa Mcmillan","Base","BKTM","8","26","31%","https://app.cardladder.com/search?gemRateId=5c72adbd687afd89d07b9ef163a31106f1622c4a&via=gemrate","https://app.cardladder.com/search?gemRateId=5c72adbd687afd89d07b9ef163a31106f1622c4a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5c72adbd687afd89d07b9ef163a31106f1622c4a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5c72adbd687afd89d07b9ef163a31106f1622c4a","https://www.psacard.com/cert/114437160/psa"
"","Football","2024","Panini Instant Nil College Football","Tetairoa Mcmillan","Base","TMA","2","25","8%","https://app.cardladder.com/search?gemRateId=fbc92ad83186b6f852bd5572637ba9ae1039b9c5&via=gemrate","https://app.cardladder.com/search?gemRateId=fbc92ad83186b6f852bd5572637ba9ae1039b9c5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fbc92ad83186b6f852bd5572637ba9ae1039b9c5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/102028262/psa"
"","Football","2025","Panini Instant NFL Rps First Look","Tetairoa Mcmillan","Base","RPSFL33","10","25","40%","https://app.cardladder.com/search?gemRateId=731716d77a4f2d7fe5112b96bb72cf5fb9287343&via=gemrate","https://app.cardladder.com/search?gemRateId=731716d77a4f2d7fe5112b96bb72cf5fb9287343&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=731716d77a4f2d7fe5112b96bb72cf5fb9287343&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/131788044/psa"
"","Football","2025","Panini Mosaic Micro Mosaic","Tetairoa Mcmillan","Base","23","19","25","76%","https://app.cardladder.com/search?gemRateId=0dba8b09ab9a2d7b629157e9fd06d08a3cb3db34&via=gemrate","https://app.cardladder.com/search?gemRateId=0dba8b09ab9a2d7b629157e9fd06d08a3cb3db34&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0dba8b09ab9a2d7b629157e9fd06d08a3cb3db34&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/139829309/psa"
"","Football","2025","Panini Origins","Tetairoa Mcmillan","Variation","116","13","24","54%","https://app.cardladder.com/search?gemRateId=3b0b28b64bfe94708615ec3327929731d1f80c35&via=gemrate","https://app.cardladder.com/search?gemRateId=3b0b28b64bfe94708615ec3327929731d1f80c35&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3b0b28b64bfe94708615ec3327929731d1f80c35&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/136968321/psa"
