"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2018","Panini Prizm","Trae Young","Base","78","12,145","27,277","45%","https://app.cardladder.com/search?gemRateId=52b0a248c4bdc7fc8cb97c9082edc7d0c880f130&via=gemrate","https://app.cardladder.com/search?gemRateId=52b0a248c4bdc7fc8cb97c9082edc7d0c880f130&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=52b0a248c4bdc7fc8cb97c9082edc7d0c880f130&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=52b0a248c4bdc7fc8cb97c9082edc7d0c880f130","https://www.psacard.com/cert/133171858/psa"
"","Basketball","2018","Panini Donruss","Trae Young","Base","198","6,159","9,810","63%","https://app.cardladder.com/search?gemRateId=9012676f7cf1c3d8ec2a5d0b13f334f84a6eb489&via=gemrate","https://app.cardladder.com/search?gemRateId=9012676f7cf1c3d8ec2a5d0b13f334f84a6eb489&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9012676f7cf1c3d8ec2a5d0b13f334f84a6eb489&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9012676f7cf1c3d8ec2a5d0b13f334f84a6eb489","https://www.psacard.com/cert/140250266/psa"
"","Basketball","2018","Panini Donruss Optic","Trae Young","Base","198","2,681","7,842","34%","https://app.cardladder.com/search?gemRateId=2478b8046c0de79e7ea33f24f7e3be01092b6017&via=gemrate","https://app.cardladder.com/search?gemRateId=2478b8046c0de79e7ea33f24f7e3be01092b6017&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2478b8046c0de79e7ea33f24f7e3be01092b6017&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2478b8046c0de79e7ea33f24f7e3be01092b6017","https://www.psacard.com/cert/100637152/psa"
"","Basketball","2018","Panini Hoops","Trae Young","Base","250","3,835","6,387","60%","https://app.cardladder.com/search?gemRateId=ce02e85b9c4e8f676bae31796eb7fcb914f7c806&via=gemrate","https://app.cardladder.com/search?gemRateId=ce02e85b9c4e8f676bae31796eb7fcb914f7c806&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ce02e85b9c4e8f676bae31796eb7fcb914f7c806&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ce02e85b9c4e8f676bae31796eb7fcb914f7c806","https://www.psacard.com/cert/118173053/psa"
"","Basketball","2018","Panini Prizm","Trae Young","Silver Prizm","78","2,385","5,126","47%","https://app.cardladder.com/search?gemRateId=487cb9f17c48f7083bfd40489ed6c25e386b4d2a&via=gemrate","https://app.cardladder.com/search?gemRateId=487cb9f17c48f7083bfd40489ed6c25e386b4d2a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=487cb9f17c48f7083bfd40489ed6c25e386b4d2a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=487cb9f17c48f7083bfd40489ed6c25e386b4d2a","https://www.psacard.com/cert/136512593/psa"
"","Basketball","2019","Panini Prizm","Trae Young","Base","31","3,172","4,920","64%","https://app.cardladder.com/search?gemRateId=34cd0b6805a12f949936bdac7da2ec455094eb46&via=gemrate","https://app.cardladder.com/search?gemRateId=34cd0b6805a12f949936bdac7da2ec455094eb46&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=34cd0b6805a12f949936bdac7da2ec455094eb46&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=34cd0b6805a12f949936bdac7da2ec455094eb46","https://www.psacard.com/cert/70761138/psa"
"","Basketball","2018","Panini Donruss Optic","Trae Young","Shock","198","573","3,655","16%","https://app.cardladder.com/search?gemRateId=a76dfc7697da508c377d1e36df2afd58db335055&via=gemrate","https://app.cardladder.com/search?gemRateId=a76dfc7697da508c377d1e36df2afd58db335055&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a76dfc7697da508c377d1e36df2afd58db335055&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a76dfc7697da508c377d1e36df2afd58db335055","https://www.psacard.com/cert/129568141/psa"
"","Basketball","2018","Panini Select","Trae Young","Base","45","1,592","3,032","53%","https://app.cardladder.com/search?gemRateId=21cf7c8a1bcbe330715611197381a91d2a84ae62&via=gemrate","https://app.cardladder.com/search?gemRateId=21cf7c8a1bcbe330715611197381a91d2a84ae62&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=21cf7c8a1bcbe330715611197381a91d2a84ae62&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=21cf7c8a1bcbe330715611197381a91d2a84ae62","https://www.psacard.com/cert/92422891/psa"
"","Basketball","2018","Panini Prizm","Trae Young","Red/White/Blue Prizm","78","1,601","2,585","62%","https://app.cardladder.com/search?gemRateId=97ebbfb5ece999afdd0f20913588eb79ee0a4fce&via=gemrate","https://app.cardladder.com/search?gemRateId=97ebbfb5ece999afdd0f20913588eb79ee0a4fce&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=97ebbfb5ece999afdd0f20913588eb79ee0a4fce&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=97ebbfb5ece999afdd0f20913588eb79ee0a4fce","https://www.psacard.com/cert/142210230/psa"
