"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2023","Bowman University Chrome","Travis Hunter","Base","36","900","1,545","58%","https://app.cardladder.com/search?gemRateId=9cad7fbeb34371d9db6490fb137920b30d02863b&via=gemrate","https://app.cardladder.com/search?gemRateId=9cad7fbeb34371d9db6490fb137920b30d02863b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9cad7fbeb34371d9db6490fb137920b30d02863b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9cad7fbeb34371d9db6490fb137920b30d02863b","https://www.psacard.com/cert/131498697/psa"
"","Football","2025","Panini Instant NFL Draft Night","Travis Hunter","Base","NFLDN2","910","1,343","68%","https://app.cardladder.com/search?gemRateId=734f6cd3a71792f720a0015b2c876eed7e6e7b09&via=gemrate","https://app.cardladder.com/search?gemRateId=734f6cd3a71792f720a0015b2c876eed7e6e7b09&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=734f6cd3a71792f720a0015b2c876eed7e6e7b09&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=734f6cd3a71792f720a0015b2c876eed7e6e7b09","https://www.psacard.com/cert/132548839/psa"
"","Football","2025","Panini Instant NFL Rps First Look","Travis Hunter","Base","RPSFL35","434","699","62%","https://app.cardladder.com/search?gemRateId=2776e028cfa5aee1854291b720b8c4cb38e114fc&via=gemrate","https://app.cardladder.com/search?gemRateId=2776e028cfa5aee1854291b720b8c4cb38e114fc&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2776e028cfa5aee1854291b720b8c4cb38e114fc&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/138357684/psa"
"","Football","2023","Bowman University Chrome","Travis Hunter","Autograph","36","171","397","43%","https://app.cardladder.com/search?gemRateId=b922f98548b5201af53116420505da40a4ca38d7&via=gemrate","https://app.cardladder.com/search?gemRateId=b922f98548b5201af53116420505da40a4ca38d7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b922f98548b5201af53116420505da40a4ca38d7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b922f98548b5201af53116420505da40a4ca38d7","https://www.psacard.com/cert/127317973/psa"
"","Football","2023","Bowman University Chrome Sapphire","Travis Hunter","Base","36","286","395","72%","https://app.cardladder.com/search?gemRateId=72b650875849d9f43885e3fe1503e1db9df929a3&via=gemrate","https://app.cardladder.com/search?gemRateId=72b650875849d9f43885e3fe1503e1db9df929a3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=72b650875849d9f43885e3fe1503e1db9df929a3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=72b650875849d9f43885e3fe1503e1db9df929a3","https://www.psacard.com/cert/131419751/psa"
"","Football","2025","Panini Donruss Downtown!","Travis Hunter","Base","13","244","325","75%","https://app.cardladder.com/search?gemRateId=5107b42b01811a1773965047901809d8b2e10e95&via=gemrate","https://app.cardladder.com/search?gemRateId=5107b42b01811a1773965047901809d8b2e10e95&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5107b42b01811a1773965047901809d8b2e10e95&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5107b42b01811a1773965047901809d8b2e10e95","https://www.psacard.com/cert/147124968/psa"
"","Football","2023","Bowman University Chrome","Travis Hunter","Refractor","36","172","307","56%","https://app.cardladder.com/search?gemRateId=7185d04c92aac39e2bd938a5b236bcf266776565&via=gemrate","https://app.cardladder.com/search?gemRateId=7185d04c92aac39e2bd938a5b236bcf266776565&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7185d04c92aac39e2bd938a5b236bcf266776565&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7185d04c92aac39e2bd938a5b236bcf266776565","https://www.psacard.com/cert/130718346/psa"
"","Football","2023","Bowman University Chrome 1955 Bowman","Travis Hunter","Base","55BF10","64","229","28%","https://app.cardladder.com/search?gemRateId=a15637a1566baebcefd7d9a178366ad8b7006125&via=gemrate","https://app.cardladder.com/search?gemRateId=a15637a1566baebcefd7d9a178366ad8b7006125&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a15637a1566baebcefd7d9a178366ad8b7006125&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a15637a1566baebcefd7d9a178366ad8b7006125","https://www.psacard.com/cert/132316006/psa"
"","Football","2023","Bowman University Chrome","Travis Hunter","Autograph-Refractor","36","42","206","20%","https://app.cardladder.com/search?gemRateId=8421f5645c23125f6c5989f94cd8df0c4ffeb18f&via=gemrate","https://app.cardladder.com/search?gemRateId=8421f5645c23125f6c5989f94cd8df0c4ffeb18f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8421f5645c23125f6c5989f94cd8df0c4ffeb18f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8421f5645c23125f6c5989f94cd8df0c4ffeb18f","https://www.psacard.com/cert/119106328/psa"
"","Football","2024","Panini Select","Travis Hunter","Base","518","127","175","73%","https://app.cardladder.com/search?gemRateId=db90c193c8ede41db89579803c972a93aa0af492&via=gemrate","https://app.cardladder.com/search?gemRateId=db90c193c8ede41db89579803c972a93aa0af492&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=db90c193c8ede41db89579803c972a93aa0af492&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=db90c193c8ede41db89579803c972a93aa0af492","https://www.psacard.com/cert/136983845/psa"
"","Football","2023","Bowman University Chrome","Travis Hunter","Pink Refractor","36","54","173","31%","https://app.cardladder.com/search?gemRateId=eac01829755cadece4a68a81c2c81df2a5364c4b&via=gemrate","https://app.cardladder.com/search?gemRateId=eac01829755cadece4a68a81c2c81df2a5364c4b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=eac01829755cadece4a68a81c2c81df2a5364c4b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=eac01829755cadece4a68a81c2c81df2a5364c4b","https://www.psacard.com/cert/132864959/psa"
"","Football","2024","Panini Select","Travis Hunter","Base","511","116","171","68%","https://app.cardladder.com/search?gemRateId=ccffa1116a63f130a5462017c9d5ae784cff35d2&via=gemrate","https://app.cardladder.com/search?gemRateId=ccffa1116a63f130a5462017c9d5ae784cff35d2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ccffa1116a63f130a5462017c9d5ae784cff35d2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ccffa1116a63f130a5462017c9d5ae784cff35d2","https://www.psacard.com/cert/135617965/psa"
"","Football","2023","Bowman University Chrome the Big Kahuna","Travis Hunter","Base","TBK12","95","153","62%","https://app.cardladder.com/search?gemRateId=7d6284ee1033ac0e03ea2cfd59d9e20576b9892d&via=gemrate","https://app.cardladder.com/search?gemRateId=7d6284ee1033ac0e03ea2cfd59d9e20576b9892d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7d6284ee1033ac0e03ea2cfd59d9e20576b9892d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7d6284ee1033ac0e03ea2cfd59d9e20576b9892d","https://www.psacard.com/cert/127739910/psa"
"","Football","2023","Bowman University Chrome","Travis Hunter","X-Fractor","36","64","141","45%","https://app.cardladder.com/search?gemRateId=98db5ceff9eea603199370d18fc2462066572691&via=gemrate","https://app.cardladder.com/search?gemRateId=98db5ceff9eea603199370d18fc2462066572691&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=98db5ceff9eea603199370d18fc2462066572691&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=98db5ceff9eea603199370d18fc2462066572691","https://www.psacard.com/cert/132053358/psa"
"","Football","2025","Panini Score","Travis Hunter","Rookie","20","26","108","24%","https://app.cardladder.com/search?gemRateId=3d91b1a8b74024ef7b788f6ad753fe0c6b7e5ce6&via=gemrate","https://app.cardladder.com/search?gemRateId=3d91b1a8b74024ef7b788f6ad753fe0c6b7e5ce6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3d91b1a8b74024ef7b788f6ad753fe0c6b7e5ce6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3d91b1a8b74024ef7b788f6ad753fe0c6b7e5ce6","https://www.psacard.com/cert/134506892/psa"
