"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Select","Treveyon Henderson","Base","509","62","89","70%","https://app.cardladder.com/search?gemRateId=791c7346d50704784c7db612a8efe5eb438ab790&via=gemrate","https://app.cardladder.com/search?gemRateId=791c7346d50704784c7db612a8efe5eb438ab790&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=791c7346d50704784c7db612a8efe5eb438ab790&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=791c7346d50704784c7db612a8efe5eb438ab790","https://www.psacard.com/cert/137691780/psa"
"","Football","2025","Panini Donruss Downtown! Horizontal","Treveyon Henderson","Base","15","43","50","86%","https://app.cardladder.com/search?gemRateId=704037e47b663157f296af7b3535af60d39287e2&via=gemrate","https://app.cardladder.com/search?gemRateId=704037e47b663157f296af7b3535af60d39287e2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=704037e47b663157f296af7b3535af60d39287e2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/140487483/psa"
"","Football","2025","Panini Mosaic Micro Mosaic","Treveyon Henderson","Base","8","30","42","71%","https://app.cardladder.com/search?gemRateId=c134ddaa6919de175ede3132841e55060bfa1345&via=gemrate","https://app.cardladder.com/search?gemRateId=c134ddaa6919de175ede3132841e55060bfa1345&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c134ddaa6919de175ede3132841e55060bfa1345&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c134ddaa6919de175ede3132841e55060bfa1345","https://www.psacard.com/cert/145460255/psa"
"","Football","2025","Panini Mosaic","Treveyon Henderson","Red & White Stripe","325","28","37","76%","https://app.cardladder.com/search?gemRateId=cfe947438ec024a172ee9cfd0c82fc356420d2d4&via=gemrate","https://app.cardladder.com/search?gemRateId=cfe947438ec024a172ee9cfd0c82fc356420d2d4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cfe947438ec024a172ee9cfd0c82fc356420d2d4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/143889385/psa"
"","Football","2025","Panini Phoenix Color Blast","Treveyon Henderson","Base","10","15","37","41%","https://app.cardladder.com/search?gemRateId=1944ae631491a977962d592d7137a2f06b94da57&via=gemrate","https://app.cardladder.com/search?gemRateId=1944ae631491a977962d592d7137a2f06b94da57&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1944ae631491a977962d592d7137a2f06b94da57&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/140323076/psa"
"","Football","2025","Panini Instant NFL Rps First Look","Treveyon Henderson","Autograph","RPSFL37","20","34","59%","https://app.cardladder.com/search?gemRateId=86940c3d7b4ed5279f73883abcf0c606dc869e4d&via=gemrate","https://app.cardladder.com/search?gemRateId=86940c3d7b4ed5279f73883abcf0c606dc869e4d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=86940c3d7b4ed5279f73883abcf0c606dc869e4d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/129388528/psa"
"","Football","2025","Panini Score","Treveyon Henderson","Rookie-Signature","59","14","33","42%","https://app.cardladder.com/search?gemRateId=1dc0abb65f4dbf44afc2336c472637ef8c8e2596&via=gemrate","https://app.cardladder.com/search?gemRateId=1dc0abb65f4dbf44afc2336c472637ef8c8e2596&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1dc0abb65f4dbf44afc2336c472637ef8c8e2596&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/133080989/psa"
"","Football","2025","Panini Donruss","Treveyon Henderson","Optic Preview-Red Pandora","332","3","30","10%","https://app.cardladder.com/search?gemRateId=77f773976befa264b714ad414ff403bef24ea257&via=gemrate","https://app.cardladder.com/search?gemRateId=77f773976befa264b714ad414ff403bef24ea257&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=77f773976befa264b714ad414ff403bef24ea257&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/136608082/psa"
"","Football","2025","Panini Mosaic Stained Glass","Treveyon Henderson","Base","17","18","30","60%","https://app.cardladder.com/search?gemRateId=7f3dd7407f921893ae2e8f6bf8f2f73f86868527&via=gemrate","https://app.cardladder.com/search?gemRateId=7f3dd7407f921893ae2e8f6bf8f2f73f86868527&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7f3dd7407f921893ae2e8f6bf8f2f73f86868527&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7f3dd7407f921893ae2e8f6bf8f2f73f86868527","https://www.psacard.com/cert/144755519/psa"
