"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2021","Panini Donruss","Trevor Lawrence","Base","251","4,777","8,129","59%","https://app.cardladder.com/search?gemRateId=242e6c913cd7c6be66999431c331096105d6edc9&via=gemrate","https://app.cardladder.com/search?gemRateId=242e6c913cd7c6be66999431c331096105d6edc9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=242e6c913cd7c6be66999431c331096105d6edc9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=242e6c913cd7c6be66999431c331096105d6edc9","https://www.psacard.com/cert/126202239/psa"
"","Football","2021","Panini Donruss Optic","Trevor Lawrence","Base","201","1,020","6,166","17%","https://app.cardladder.com/search?gemRateId=f24189c016687aca6425a6aeac8072f8b31c6ce7&via=gemrate","https://app.cardladder.com/search?gemRateId=f24189c016687aca6425a6aeac8072f8b31c6ce7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f24189c016687aca6425a6aeac8072f8b31c6ce7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f24189c016687aca6425a6aeac8072f8b31c6ce7","https://www.psacard.com/cert/102626260/psa"
"","Football","2021","Panini Prizm","Trevor Lawrence","Base","331","421","4,699","9%","https://app.cardladder.com/search?gemRateId=0f5c685c9490a02bf782d3a0ab3168983a961200&via=gemrate","https://app.cardladder.com/search?gemRateId=0f5c685c9490a02bf782d3a0ab3168983a961200&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0f5c685c9490a02bf782d3a0ab3168983a961200&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0f5c685c9490a02bf782d3a0ab3168983a961200","https://www.psacard.com/cert/115788251/psa"
"","Football","2021","Panini Donruss Optic","Trevor Lawrence","Holo","201","272","2,981","9%","https://app.cardladder.com/search?gemRateId=026b2e79ae1bbf6f6b904a69516486ca99c8629c&via=gemrate","https://app.cardladder.com/search?gemRateId=026b2e79ae1bbf6f6b904a69516486ca99c8629c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=026b2e79ae1bbf6f6b904a69516486ca99c8629c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=026b2e79ae1bbf6f6b904a69516486ca99c8629c","https://www.psacard.com/cert/112432225/psa"
"","Football","2021","Panini Donruss Optic","Trevor Lawrence","Blue Scope","201","243","2,863","8%","https://app.cardladder.com/search?gemRateId=4a1bc104479768d1ff2310e7a9bb262d1781d1e9&via=gemrate","https://app.cardladder.com/search?gemRateId=4a1bc104479768d1ff2310e7a9bb262d1781d1e9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4a1bc104479768d1ff2310e7a9bb262d1781d1e9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4a1bc104479768d1ff2310e7a9bb262d1781d1e9","https://www.psacard.com/cert/136680788/psa"
"","Football","2021","Panini Select","Trevor Lawrence","Base","43","832","2,353","35%","https://app.cardladder.com/search?gemRateId=37decfa67e5e75c5394683a8afe7aad4e3a9ed48&via=gemrate","https://app.cardladder.com/search?gemRateId=37decfa67e5e75c5394683a8afe7aad4e3a9ed48&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=37decfa67e5e75c5394683a8afe7aad4e3a9ed48&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=37decfa67e5e75c5394683a8afe7aad4e3a9ed48","https://www.psacard.com/cert/123839859/psa"
"","Football","2021","Panini Donruss Optic","Trevor Lawrence","Purple Shock","201","282","2,124","13%","https://app.cardladder.com/search?gemRateId=82f7a8456d0343f0774ced5461bfcfccd4cb2cd8&via=gemrate","https://app.cardladder.com/search?gemRateId=82f7a8456d0343f0774ced5461bfcfccd4cb2cd8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=82f7a8456d0343f0774ced5461bfcfccd4cb2cd8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=82f7a8456d0343f0774ced5461bfcfccd4cb2cd8","https://www.psacard.com/cert/128625987/psa"
"","Football","2021","Panini Prizm","Trevor Lawrence","Variation-Silver Prizm","V331","95","1,898","5%","https://app.cardladder.com/search?gemRateId=bf7ada9428f29482bb78041d624d35d95761d613&via=gemrate","https://app.cardladder.com/search?gemRateId=bf7ada9428f29482bb78041d624d35d95761d613&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bf7ada9428f29482bb78041d624d35d95761d613&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bf7ada9428f29482bb78041d624d35d95761d613","https://www.psacard.com/cert/126870808/psa"
"","Football","2021","Panini Phoenix","Trevor Lawrence","Fire Burst","101","420","1,895","22%","https://app.cardladder.com/search?gemRateId=84ca5f5310b98390987cfd7101fa7d8097500eed&via=gemrate","https://app.cardladder.com/search?gemRateId=84ca5f5310b98390987cfd7101fa7d8097500eed&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=84ca5f5310b98390987cfd7101fa7d8097500eed&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=84ca5f5310b98390987cfd7101fa7d8097500eed","https://www.psacard.com/cert/135442238/psa"
"","Football","2021","Panini Prizm","Trevor Lawrence","Silver Prizm","331","137","1,815","8%","https://app.cardladder.com/search?gemRateId=0c357f93dfd1df41927e85b47f8cd3be3be16256&via=gemrate","https://app.cardladder.com/search?gemRateId=0c357f93dfd1df41927e85b47f8cd3be3be16256&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0c357f93dfd1df41927e85b47f8cd3be3be16256&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0c357f93dfd1df41927e85b47f8cd3be3be16256","https://www.psacard.com/cert/127984544/psa"
"","Football","2021","Panini Prizm","Trevor Lawrence","Lazer Prizm","331","410","1,695","24%","https://app.cardladder.com/search?gemRateId=e2111c013d9a56b2bb30f1a87a81e67861bcd774&via=gemrate","https://app.cardladder.com/search?gemRateId=e2111c013d9a56b2bb30f1a87a81e67861bcd774&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e2111c013d9a56b2bb30f1a87a81e67861bcd774&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e2111c013d9a56b2bb30f1a87a81e67861bcd774","https://www.psacard.com/cert/126892508/psa"
"","Football","2021","Panini Donruss","Trevor Lawrence","Press Proof Premium","251","571","1,545","37%","https://app.cardladder.com/search?gemRateId=c36d09c5ea1c05eedb328228225f16f88152139c&via=gemrate","https://app.cardladder.com/search?gemRateId=c36d09c5ea1c05eedb328228225f16f88152139c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c36d09c5ea1c05eedb328228225f16f88152139c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c36d09c5ea1c05eedb328228225f16f88152139c","https://www.psacard.com/cert/121734581/psa"
"","Football","2021","Panini Prizm","Trevor Lawrence","Disco Prizm","331","243","1,520","16%","https://app.cardladder.com/search?gemRateId=bfa8d9034d8297d54999fd46dc1dce2f1a87b046&via=gemrate","https://app.cardladder.com/search?gemRateId=bfa8d9034d8297d54999fd46dc1dce2f1a87b046&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bfa8d9034d8297d54999fd46dc1dce2f1a87b046&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bfa8d9034d8297d54999fd46dc1dce2f1a87b046","https://www.psacard.com/cert/123126837/psa"
"","Football","2021","Panini Absolute","Trevor Lawrence","Base","101","673","1,511","45%","https://app.cardladder.com/search?gemRateId=3f0b767b146ba213aaba9afabdd7f6eec6fce642&via=gemrate","https://app.cardladder.com/search?gemRateId=3f0b767b146ba213aaba9afabdd7f6eec6fce642&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3f0b767b146ba213aaba9afabdd7f6eec6fce642&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3f0b767b146ba213aaba9afabdd7f6eec6fce642","https://www.psacard.com/cert/121778733/psa"
"","Football","2021","Panini Prizm","Trevor Lawrence","Red Ice","331","386","1,398","28%","https://app.cardladder.com/search?gemRateId=c8f4797093fd2b0de55b7337d0656c5d6c04c164&via=gemrate","https://app.cardladder.com/search?gemRateId=c8f4797093fd2b0de55b7337d0656c5d6c04c164&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c8f4797093fd2b0de55b7337d0656c5d6c04c164&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c8f4797093fd2b0de55b7337d0656c5d6c04c164","https://www.psacard.com/cert/116862751/psa"
