"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2020","Panini Prizm","Tyrese Haliburton","Base","262","1,567","3,554","44%","https://app.cardladder.com/search?gemRateId=f08cf19bef5798dfb91ca8b17eba5de5ac90b326&via=gemrate","https://app.cardladder.com/search?gemRateId=f08cf19bef5798dfb91ca8b17eba5de5ac90b326&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f08cf19bef5798dfb91ca8b17eba5de5ac90b326&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f08cf19bef5798dfb91ca8b17eba5de5ac90b326","https://www.psacard.com/cert/133254382/psa"
"","Basketball","2020","Panini Prizm","Tyrese Haliburton","Silver Prizm","262","454","2,674","17%","https://app.cardladder.com/search?gemRateId=5f8db7616ef104ce53b74ae4ff4b79268abd25da&via=gemrate","https://app.cardladder.com/search?gemRateId=5f8db7616ef104ce53b74ae4ff4b79268abd25da&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5f8db7616ef104ce53b74ae4ff4b79268abd25da&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5f8db7616ef104ce53b74ae4ff4b79268abd25da","https://www.psacard.com/cert/126189330/psa"
"","Basketball","2020","Panini Hoops","Tyrese Haliburton","Base","238","655","1,411","46%","https://app.cardladder.com/search?gemRateId=8d45ce9bddbb13def7451592c498e246c5e5cd17&via=gemrate","https://app.cardladder.com/search?gemRateId=8d45ce9bddbb13def7451592c498e246c5e5cd17&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8d45ce9bddbb13def7451592c498e246c5e5cd17&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8d45ce9bddbb13def7451592c498e246c5e5cd17","https://www.psacard.com/cert/127475042/psa"
"","Basketball","2020","Panini Donruss Optic","Tyrese Haliburton","Base","162","506","1,078","47%","https://app.cardladder.com/search?gemRateId=8249a4976ddcec4ad78a757a450fd309e9ec5561&via=gemrate","https://app.cardladder.com/search?gemRateId=8249a4976ddcec4ad78a757a450fd309e9ec5561&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8249a4976ddcec4ad78a757a450fd309e9ec5561&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8249a4976ddcec4ad78a757a450fd309e9ec5561","https://www.psacard.com/cert/126574611/psa"
"","Basketball","2020","Panini Donruss Optic","Tyrese Haliburton","Holo","162","367","1,023","36%","https://app.cardladder.com/search?gemRateId=58ead90d6ce46e07cf7226d43ef51a490c984678&via=gemrate","https://app.cardladder.com/search?gemRateId=58ead90d6ce46e07cf7226d43ef51a490c984678&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=58ead90d6ce46e07cf7226d43ef51a490c984678&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=58ead90d6ce46e07cf7226d43ef51a490c984678","https://www.psacard.com/cert/122905238/psa"
"","Basketball","2020","Panini Donruss","Tyrese Haliburton","Base","231","720","1,019","71%","https://app.cardladder.com/search?gemRateId=0c5b0767797768c3275d6d7d07108f3254c6bb09&via=gemrate","https://app.cardladder.com/search?gemRateId=0c5b0767797768c3275d6d7d07108f3254c6bb09&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0c5b0767797768c3275d6d7d07108f3254c6bb09&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0c5b0767797768c3275d6d7d07108f3254c6bb09","https://www.psacard.com/cert/130477436/psa"
"","Basketball","2020","Panini Donruss Optic","Tyrese Haliburton","Blue Velocity","162","573","854","67%","https://app.cardladder.com/search?gemRateId=cebd667807faab948c2874e79c2a6b5d24f154af&via=gemrate","https://app.cardladder.com/search?gemRateId=cebd667807faab948c2874e79c2a6b5d24f154af&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cebd667807faab948c2874e79c2a6b5d24f154af&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cebd667807faab948c2874e79c2a6b5d24f154af","https://www.psacard.com/cert/135161428/psa"
"","Basketball","2020","Panini Donruss Optic","Tyrese Haliburton","Fanatics Box Set","162","353","755","47%","https://app.cardladder.com/search?gemRateId=bc68acf524cedc498cbb86c47994edf32e2c0bce&via=gemrate","https://app.cardladder.com/search?gemRateId=bc68acf524cedc498cbb86c47994edf32e2c0bce&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bc68acf524cedc498cbb86c47994edf32e2c0bce&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bc68acf524cedc498cbb86c47994edf32e2c0bce","https://www.psacard.com/cert/136047822/psa"
"","Basketball","2020","Panini Prizm","Tyrese Haliburton","Red/White/Blue Prizm","262","143","693","21%","https://app.cardladder.com/search?gemRateId=0cab5439d0416cac2b7e3a2e45f583d955454232&via=gemrate","https://app.cardladder.com/search?gemRateId=0cab5439d0416cac2b7e3a2e45f583d955454232&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0cab5439d0416cac2b7e3a2e45f583d955454232&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0cab5439d0416cac2b7e3a2e45f583d955454232","https://www.psacard.com/cert/134766368/psa"
"","Basketball","2020","Panini Prizm","Tyrese Haliburton","Green Prizm","262","140","672","21%","https://app.cardladder.com/search?gemRateId=135330f03e07b49dcef7c0f797b9b732aef2ceb0&via=gemrate","https://app.cardladder.com/search?gemRateId=135330f03e07b49dcef7c0f797b9b732aef2ceb0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=135330f03e07b49dcef7c0f797b9b732aef2ceb0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=135330f03e07b49dcef7c0f797b9b732aef2ceb0","https://www.psacard.com/cert/121539010/psa"
"","Basketball","2020","Panini Prizm","Tyrese Haliburton","Red Ice","262","171","554","31%","https://app.cardladder.com/search?gemRateId=4b0b63649ed585bd902ff09c924759e8754fb591&via=gemrate","https://app.cardladder.com/search?gemRateId=4b0b63649ed585bd902ff09c924759e8754fb591&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4b0b63649ed585bd902ff09c924759e8754fb591&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4b0b63649ed585bd902ff09c924759e8754fb591","https://www.psacard.com/cert/118836577/psa"
