Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Zion Williamson 2019 Chronicles #271 XR","Raw","0.00","$0.00","$2.00","$2.00 (04/30/2026)","$2.00","$2.00","$2.00","-50.00","1","$2.00"
"Ja Morant 2019 Chronicles #654 Classics","Raw","0.00","$0.00","$2.98","$2.98 (04/20/2026)","$2.98","$2.98","$2.98","0.00","1","$2.98"
"Cameron Johnson 2019 Optic #200 Blue Velocity","Raw","0.00","$0.00","$8.00","$8.00 (04/24/2026)","$8.00","$8.00","$8.00","0.00","1","$8.00"
"Zion Williamson 2019 Clearly Donruss #51 Base","Raw","0.00","$0.00","$3.50","$3.50 (04/18/2026)","$3.50","$3.50","$3.50","0.00","1","$3.50"
"Coby White 2019 Crown Royale #4 Kaboom!","Raw","0.00","$0.00","$469.00","$469.00 (04/26/2026)","$469.00","$469.00","$469.00","0.00","1","$469.00"
"Luka Doncic 2018 Chronicles #681 Score","Raw","0.00","$0.00","$19.99","$19.99 (04/29/2026)","$19.99","$19.99","$19.99","-50.00","1","$19.99"
"Jayson Tatum 2017 Optic #3 Rookie Kings - Holo","Raw","0.00","$0.00","$21.00","$21.00 (04/24/2026)","$21.00","$21.00","$21.00","0.00","1","$21.00"
"Deni Avdija 2020 Optic #159 Lime Green","Raw","0.00","$0.00","$30.00","$30.00 (04/23/2026)","$30.00","$30.00","$30.00","-66.67","1","$30.00"
"Desmond Bane 2020 Optic #180 Blue","Raw","0.00","$0.00","$10.50","$10.50 (04/18/2026)","$10.50","$10.50","$10.50","0.00","1","$10.50"
"Luka Doncic 2020 Optic #86 Pink Velocity","Raw","0.00","$0.00","$17.50","$17.50 (04/27/2026)","$17.50","$17.50","$17.50","0.00","1","$17.50"
"Xavier Tillman 2020 Optic #185 Choice","Raw","0.00","$0.00","$0.99","$0.99 (04/30/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Quentin Grimes 2021 Optic #166 Purple","Raw","0.00","$0.00","$0.99","$0.99 (04/22/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Desmond Bane 2020 Optic #180 Blue Velocity","Raw","0.00","$0.00","$3.99","$3.99 (04/20/2026)","$3.99","$3.99","$3.99","0.00","1","$3.99"
"LeBron James 2014 Donruss #170 Base","Raw","0.00","$0.00","$1.99","$1.99 (04/28/2026)","$1.99","$1.99","$1.99","-66.67","1","$1.99"
"Bones Hyland 2021 Optic #194 Holo","Raw","0.00","$0.00","$1.25","$1.25 (04/29/2026)","$1.25","$1.25","$1.25","-50.00","1","$1.25"
"Zion Williamson 2020 Crown Royale #19 Kaboom!","Raw","0.00","$0.00","$388.00","$388.00 (04/29/2026)","$388.00","$388.00","$388.00","0.00","1","$388.00"
"Tyrese Haliburton 2020 Optic #162 Holo","Raw","0.00","$0.00","$15.00","$15.00 (04/20/2026)","$15.00","$15.00","$15.00","0.00","1","$15.00"
"Tyrese Maxey 2020 Donruss #211 Green & Yellow Laser","Raw","0.00","$0.00","$9.52","$9.52 (04/20/2026)","$9.52","$9.52","$9.52","0.00","1","$9.52"
"Isaac Okoro 2020 Optic #155 Choice Red","Raw","0.00","$0.00","$1.99","$1.99 (04/17/2026)","$1.99","$1.99","$1.99","0.00","1","$1.99"
"Luka Doncic 2020 Optic #13 My House! - Holo","Raw","0.00","$0.00","$1.70","$1.70 (04/22/2026)","$1.70","$1.70","$1.70","-50.00","1","$1.70"
"James Harden 2020 Crown Royale #5 Kaboom!","Raw","0.00","$0.00","$400.00","$400.00 (04/18/2026)","$400.00","$400.00","$400.00","0.00","1","$400.00"
"Jayson Tatum 2017 Chronicles #137 Base","Raw","0.00","$0.00","$13.43","$13.43 (04/29/2026)","$13.43","$13.43","$13.43","0.00","1","$13.43"
"Cade Cunningham 2021 Crown Royale #69 Crystal","Raw","0.00","$0.00","$6.51","$6.51 (04/30/2026)","$6.51","$6.51","$6.51","0.00","1","$6.51"
"Cameron Johnson 2019 Optic #200 Blue","Raw","0.00","$0.00","$2.52","$2.52 (04/28/2026)","$2.52","$2.52","$2.52","0.00","1","$2.52"
"Darius Bazley 2019 Optic #156 Base","Raw","0.00","$0.00","$1.79","$1.79 (04/27/2026)","$1.79","$1.79","$1.79","0.00","1","$1.79"
"Aaron Nesmith 2020 Optic #164 Base","Raw","0.00","$0.00","$0.99","$0.99 (04/23/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Killian Hayes 2020 Optic #157 Red","Raw","0.00","$0.00","$0.99","$0.99 (04/22/2026)","$0.99","$0.99","$0.99","0.00","1","$0.99"
