Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Victor Wembanyama 2023 Prizm #136 Base","PSA 10","76.62","$69.30","$90.45","$159.75 (02/23/2026)","$107.30","$45.00","$366.00","-65.74","2772","$297433.64"
"Victor Wembanyama 2023 Prizm #136 Base","Raw","83.92","$14.40","$17.15","$31.55 (02/23/2026)","$21.47","$0.99","$200.00","-85.00","2620","$56262.57"
"Anthony Edwards 2020 Prizm #258 Base","Raw","1.61","$0.20","$12.43","$12.63 (02/23/2026)","$11.01","$0.99","$100.00","-63.39","2560","$28187.61"
"Stephon Castle 2024 Prizm #234 Silver","Raw","-86.09","-$179.50","$208.50","$28.99 (02/23/2026)","$47.88","$1.00","$250.00","70200.00","2109","$100973.71"
"Stephon Castle 2024 Prizm #234 Base","Raw","-83.40","-$9.20","$11.03","$1.83 (02/23/2026)","$3.41","$0.99","$24.97","14623.08","1914","$6518.46"
"Victor Wembanyama 2023 Select #87 Concourse Blue Retail","Raw","71.95","$2.97","$4.13","$7.10 (02/23/2026)","$5.77","$0.99","$30.00","-58.30","1913","$11042.73"
"Victor Wembanyama 2023 Optic #225 Base","Raw","35.81","$2.54","$7.10","$9.64 (02/23/2026)","$7.20","$0.99","$33.00","-59.56","1845","$13286.48"
"Victor Wembanyama 2023 Select #87 Concourse Blue Retail","PSA 10","72.00","$27.84","$38.66","$66.50 (02/23/2026)","$43.55","$14.50","$274.50","-53.11","1605","$69896.75"
"Shai Gilgeous-Alexander 2018 Prizm #184 Base","Raw","-14.09","-$3.06","$21.70","$18.64 (02/23/2026)","$24.27","$0.99","$151.87","28.89","1597","$38767.12"
"LeBron James 2020 Prizm #1 Base","Raw","-13.44","-$0.91","$6.76","$5.85 (02/23/2026)","$6.30","$0.99","$24.74","-8.65","1531","$9639.40"
"LeBron James 2024 Prizm #130 Silver","Raw","-73.32","-$50.83","$69.33","$18.50 (02/23/2026)","$20.70","$0.99","$98.00","37300.00","1496","$30966.06"
"Stephon Castle 2024 Prizm #234 Pink Ice","Raw","-91.65","-$66.45","$72.50","$6.05 (02/23/2026)","$13.42","$0.99","$101.00","0.00","1431","$19205.71"
"Victor Wembanyama 2023 Prizm #136 Base","PSA 9","62.84","$17.37","$27.63","$45.00 (02/24/2026)","$29.71","$8.05","$87.22","-68.44","1379","$40975.71"
"Cade Cunningham 2021 Prizm #282 Base","Raw","60.33","$2.47","$4.09","$6.57 (02/23/2026)","$3.94","$0.99","$24.99","84.05","1373","$5404.16"
"Anthony Edwards 2020 Optic #151 Base","Raw","-38.22","-$2.47","$6.46","$3.99 (02/23/2026)","$6.10","$0.99","$24.00","-56.71","1312","$8003.54"
"LeBron James 2024 Prizm #130 Base","Raw","-84.86","-$9.32","$10.98","$1.66 (02/23/2026)","$3.07","$0.99","$24.50","10558.33","1279","$3924.54"
"LeBron James 2024 Prizm #130 Pink Ice","Raw","-64.91","-$19.47","$30.00","$10.53 (02/22/2026)","$12.42","$0.99","$35.00","0.00","1175","$14589.59"
"Victor Wembanyama 2023 Mosaic #257 NBA Debut","Raw","11.45","$0.36","$3.17","$3.53 (02/23/2026)","$3.94","$0.99","$24.57","-42.36","1139","$4483.50"
"Victor Wembanyama 2024 Prizm #172 Silver","Raw","-90.00","-$76.50","$85.00","$8.50 (02/23/2026)","$5.07","$0.99","$85.00","108700.00","1088","$5519.88"
"Victor Wembanyama 2023 Prizm #136 Silver","PSA 10","119.30","$850.00","$712.50","$1562.50 (02/23/2026)","$1156.07","$600.00","$1952.00","-36.85","1059","$1224274.32"
"Victor Wembanyama 2023 Mosaic #238 Base","Raw","17.86","$0.74","$4.15","$4.90 (02/23/2026)","$3.89","$0.99","$24.99","-39.47","1046","$4066.74"
"Luka Doncic 2018 Prizm #280 Base","PSA 10","-8.48","-$19.96","$235.46","$215.50 (02/23/2026)","$204.51","$71.00","$363.10","-49.49","1044","$213507.06"
