"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2024","Panini Prizm","Alexandre Sarr","Silver Prizm","264","87","448","19%","https://app.cardladder.com/search?gemRateId=d2a9ea9cfa84f98b4bbf8e598be932346c5b5e53&via=gemrate","https://app.cardladder.com/search?gemRateId=d2a9ea9cfa84f98b4bbf8e598be932346c5b5e53&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d2a9ea9cfa84f98b4bbf8e598be932346c5b5e53&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d2a9ea9cfa84f98b4bbf8e598be932346c5b5e53","https://www.psacard.com/cert/136850712/psa"
"","Basketball","2024","Panini Prizm","Alexandre Sarr","Base","264","12","89","13%","https://app.cardladder.com/search?gemRateId=fce8c180a2cbdef790ae966bf836beef2a2dc482&via=gemrate","https://app.cardladder.com/search?gemRateId=fce8c180a2cbdef790ae966bf836beef2a2dc482&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fce8c180a2cbdef790ae966bf836beef2a2dc482&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fce8c180a2cbdef790ae966bf836beef2a2dc482","https://www.psacard.com/cert/123731069/psa"
"","Basketball","2024","Panini Prizm","Alexandre Sarr","Pink Ice","264","18","87","21%","https://app.cardladder.com/search?gemRateId=1d580977bf9d017c275961b90b6e62ce34d907d7&via=gemrate","https://app.cardladder.com/search?gemRateId=1d580977bf9d017c275961b90b6e62ce34d907d7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1d580977bf9d017c275961b90b6e62ce34d907d7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1d580977bf9d017c275961b90b6e62ce34d907d7","https://www.psacard.com/cert/131354297/psa"
"","Basketball","2024","Panini NBA Hoops Presentations","Alexandre Sarr","Base","12","56","74","76%","https://app.cardladder.com/search?gemRateId=62f8345db784c087eece8af5e5d294f15b8af06d&via=gemrate","https://app.cardladder.com/search?gemRateId=62f8345db784c087eece8af5e5d294f15b8af06d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=62f8345db784c087eece8af5e5d294f15b8af06d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/136461635/psa"
"","Basketball","2024","Panini Donruss Optic Downtown","Alexandre Sarr","Base","18","50","65","77%","https://app.cardladder.com/search?gemRateId=6d94848e88bf0d95af84e255c80858f7aa7a85d5&via=gemrate","https://app.cardladder.com/search?gemRateId=6d94848e88bf0d95af84e255c80858f7aa7a85d5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6d94848e88bf0d95af84e255c80858f7aa7a85d5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6d94848e88bf0d95af84e255c80858f7aa7a85d5","https://www.psacard.com/cert/141376977/psa"
"","Basketball","2024","Panini Prizm","Alexandre Sarr","Red Ice","264","8","60","13%","https://app.cardladder.com/search?gemRateId=15b1e4f8ec4b7abe502fdb6bab0f4a1087654840&via=gemrate","https://app.cardladder.com/search?gemRateId=15b1e4f8ec4b7abe502fdb6bab0f4a1087654840&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=15b1e4f8ec4b7abe502fdb6bab0f4a1087654840&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=15b1e4f8ec4b7abe502fdb6bab0f4a1087654840","https://www.psacard.com/cert/130307946/psa"
"","Basketball","2024","Panini Revolution Kaboom! Horizontal","Alexandre Sarr","Base","17","10","59","17%","https://app.cardladder.com/search?gemRateId=e2c40014f83cee6bb6b2f9542d6377b2344cfe02&via=gemrate","https://app.cardladder.com/search?gemRateId=e2c40014f83cee6bb6b2f9542d6377b2344cfe02&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e2c40014f83cee6bb6b2f9542d6377b2344cfe02&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/139128317/psa"
"","Basketball","2024","Panini Prizm","Alexandre Sarr","Ice","264","11","56","20%","https://app.cardladder.com/search?gemRateId=7f141818aec43b0f4cbc4ec1deeefe6cc74f92f8&via=gemrate","https://app.cardladder.com/search?gemRateId=7f141818aec43b0f4cbc4ec1deeefe6cc74f92f8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7f141818aec43b0f4cbc4ec1deeefe6cc74f92f8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7f141818aec43b0f4cbc4ec1deeefe6cc74f92f8","https://www.psacard.com/cert/123920218/psa"
"","Basketball","2024","Panini Donruss Optic","Alexandre Sarr","Holo","276","15","52","29%","https://app.cardladder.com/search?gemRateId=5ca37c90e1d719b40436c52410fbe0e9fc42440d&via=gemrate","https://app.cardladder.com/search?gemRateId=5ca37c90e1d719b40436c52410fbe0e9fc42440d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5ca37c90e1d719b40436c52410fbe0e9fc42440d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/144855398/psa"
