"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2023","Panini Prizm","Amen Thompson","Silver Prizm","150","1,174","2,738","43%","https://app.cardladder.com/search?gemRateId=629aead6c451964a826b8d31a03d59e3fb701e59&via=gemrate","https://app.cardladder.com/search?gemRateId=629aead6c451964a826b8d31a03d59e3fb701e59&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=629aead6c451964a826b8d31a03d59e3fb701e59&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=629aead6c451964a826b8d31a03d59e3fb701e59","https://www.psacard.com/cert/141930546/psa"
"","Basketball","2023","Panini Prizm","Amen Thompson","Pink Ice","150","764","1,089","70%","https://app.cardladder.com/search?gemRateId=a77e3fe4d982f3bd699d57e38bb01745e01ff146&via=gemrate","https://app.cardladder.com/search?gemRateId=a77e3fe4d982f3bd699d57e38bb01745e01ff146&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a77e3fe4d982f3bd699d57e38bb01745e01ff146&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a77e3fe4d982f3bd699d57e38bb01745e01ff146","https://www.psacard.com/cert/137311215/psa"
"","Basketball","2023","Panini Prizm","Amen Thompson","Base","150","406","770","53%","https://app.cardladder.com/search?gemRateId=b9b5461554f6c8cc508027c7bc602258423fd25f&via=gemrate","https://app.cardladder.com/search?gemRateId=b9b5461554f6c8cc508027c7bc602258423fd25f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b9b5461554f6c8cc508027c7bc602258423fd25f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b9b5461554f6c8cc508027c7bc602258423fd25f","https://www.psacard.com/cert/134742949/psa"
"","Basketball","2023","Panini Prizm","Amen Thompson","Ice","150","388","722","54%","https://app.cardladder.com/search?gemRateId=ddf13ee6595540f9a0f4f79138c51f185ff6903f&via=gemrate","https://app.cardladder.com/search?gemRateId=ddf13ee6595540f9a0f4f79138c51f185ff6903f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ddf13ee6595540f9a0f4f79138c51f185ff6903f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ddf13ee6595540f9a0f4f79138c51f185ff6903f","https://www.psacard.com/cert/142651774/psa"
"","Basketball","2023","Panini Prizm","Amen Thompson","Red Ice","150","376","669","56%","https://app.cardladder.com/search?gemRateId=d3a187b1724e42880c6c6e33305423842dc3b497&via=gemrate","https://app.cardladder.com/search?gemRateId=d3a187b1724e42880c6c6e33305423842dc3b497&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d3a187b1724e42880c6c6e33305423842dc3b497&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d3a187b1724e42880c6c6e33305423842dc3b497","https://www.psacard.com/cert/142651778/psa"
"","Basketball","2023","Panini Prizm","Amen Thompson","Green Prizm","150","227","527","43%","https://app.cardladder.com/search?gemRateId=4890a8bc8017becc8441adf374bd436aefdf2ca1&via=gemrate","https://app.cardladder.com/search?gemRateId=4890a8bc8017becc8441adf374bd436aefdf2ca1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4890a8bc8017becc8441adf374bd436aefdf2ca1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4890a8bc8017becc8441adf374bd436aefdf2ca1","https://www.psacard.com/cert/135330357/psa"
"","Basketball","2023","Panini NBA Hoops Presentations","Amen Thompson","Base","18","283","411","69%","https://app.cardladder.com/search?gemRateId=d87e306e2ea32765cade8341c1b8d5f0532d7e07&via=gemrate","https://app.cardladder.com/search?gemRateId=d87e306e2ea32765cade8341c1b8d5f0532d7e07&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d87e306e2ea32765cade8341c1b8d5f0532d7e07&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d87e306e2ea32765cade8341c1b8d5f0532d7e07","https://www.psacard.com/cert/136432255/psa"
"","Basketball","2023","Panini Donruss Optic","Amen Thompson","Holo","229","178","407","44%","https://app.cardladder.com/search?gemRateId=8f84251169c3dfb23cc76aebb46d03da8df2de62&via=gemrate","https://app.cardladder.com/search?gemRateId=8f84251169c3dfb23cc76aebb46d03da8df2de62&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8f84251169c3dfb23cc76aebb46d03da8df2de62&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8f84251169c3dfb23cc76aebb46d03da8df2de62","https://www.psacard.com/cert/129826919/psa"
"","Basketball","2023","Panini Prizm","Amen Thompson","Orange Ice","150","259","406","64%","https://app.cardladder.com/search?gemRateId=3ae542752889737f835bbd0618fa2238745b3dfc&via=gemrate","https://app.cardladder.com/search?gemRateId=3ae542752889737f835bbd0618fa2238745b3dfc&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3ae542752889737f835bbd0618fa2238745b3dfc&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3ae542752889737f835bbd0618fa2238745b3dfc","https://www.psacard.com/cert/138402060/psa"
