"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2021","Panini Donruss Optic","Amon-RA St. Brown","Blue Scope","228","459","1,206","38%","https://app.cardladder.com/search?gemRateId=b1e00f19f255012c2bc90c5b2dd80a80f5722f78&via=gemrate","https://app.cardladder.com/search?gemRateId=b1e00f19f255012c2bc90c5b2dd80a80f5722f78&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b1e00f19f255012c2bc90c5b2dd80a80f5722f78&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b1e00f19f255012c2bc90c5b2dd80a80f5722f78","https://www.psacard.com/cert/135505723/psa"
"","Football","2021","Panini Donruss Optic","Amon-RA St. Brown","Holo","228","322","866","37%","https://app.cardladder.com/search?gemRateId=821f1caa686e3b6d0aae37ed86b947dd6ad7e883&via=gemrate","https://app.cardladder.com/search?gemRateId=821f1caa686e3b6d0aae37ed86b947dd6ad7e883&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=821f1caa686e3b6d0aae37ed86b947dd6ad7e883&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=821f1caa686e3b6d0aae37ed86b947dd6ad7e883","https://www.psacard.com/cert/128703027/psa"
"","Football","2021","Panini Phoenix","Amon-RA St. Brown","Fire Burst","131","449","841","53%","https://app.cardladder.com/search?gemRateId=508b4ae789dc32fc69f75a11ce167395fe37dadb&via=gemrate","https://app.cardladder.com/search?gemRateId=508b4ae789dc32fc69f75a11ce167395fe37dadb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=508b4ae789dc32fc69f75a11ce167395fe37dadb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=508b4ae789dc32fc69f75a11ce167395fe37dadb","https://www.psacard.com/cert/136753573/psa"
"","Football","2021","Panini Donruss","Amon-RA St. Brown","Base","284","534","773","69%","https://app.cardladder.com/search?gemRateId=d2ca83ea39bd964948a95b8f6b78605c7e977d43&via=gemrate","https://app.cardladder.com/search?gemRateId=d2ca83ea39bd964948a95b8f6b78605c7e977d43&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d2ca83ea39bd964948a95b8f6b78605c7e977d43&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d2ca83ea39bd964948a95b8f6b78605c7e977d43","https://www.psacard.com/cert/137348320/psa"
"","Football","2021","Panini Donruss","Amon-RA St. Brown","Press Proof Premium","284","425","720","59%","https://app.cardladder.com/search?gemRateId=2fbadf2eb2c6b63031c432c04263dae89ba2957e&via=gemrate","https://app.cardladder.com/search?gemRateId=2fbadf2eb2c6b63031c432c04263dae89ba2957e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2fbadf2eb2c6b63031c432c04263dae89ba2957e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2fbadf2eb2c6b63031c432c04263dae89ba2957e","https://www.psacard.com/cert/135511899/psa"
"","Football","2021","Panini Donruss Optic","Amon-RA St. Brown","Purple Shock","228","255","664","38%","https://app.cardladder.com/search?gemRateId=b3b913b67754a5bcfa5fee978cd3cc636cd56266&via=gemrate","https://app.cardladder.com/search?gemRateId=b3b913b67754a5bcfa5fee978cd3cc636cd56266&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b3b913b67754a5bcfa5fee978cd3cc636cd56266&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b3b913b67754a5bcfa5fee978cd3cc636cd56266","https://www.psacard.com/cert/135697311/psa"
"","Football","2021","Panini Donruss Optic","Amon-RA St. Brown","Base","228","264","573","46%","https://app.cardladder.com/search?gemRateId=165537e21bd4d1278131cd4ff6fa52e217bebaae&via=gemrate","https://app.cardladder.com/search?gemRateId=165537e21bd4d1278131cd4ff6fa52e217bebaae&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=165537e21bd4d1278131cd4ff6fa52e217bebaae&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=165537e21bd4d1278131cd4ff6fa52e217bebaae","https://www.psacard.com/cert/126520449/psa"
"","Football","2021","Panini Donruss Optic","Amon-RA St. Brown","Holo Variation","228","275","552","50%","https://app.cardladder.com/search?gemRateId=550ce21443e237e738ca43b9e6b3d5a2ea73bee2&via=gemrate","https://app.cardladder.com/search?gemRateId=550ce21443e237e738ca43b9e6b3d5a2ea73bee2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=550ce21443e237e738ca43b9e6b3d5a2ea73bee2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=550ce21443e237e738ca43b9e6b3d5a2ea73bee2","https://www.psacard.com/cert/127730711/psa"
"","Football","2021","Panini Donruss Optic","Amon-RA St. Brown","Green Velocity","228","226","449","50%","https://app.cardladder.com/search?gemRateId=d6b0c95f6fca1c9740e215d0e5f0946fbe42355e&via=gemrate","https://app.cardladder.com/search?gemRateId=d6b0c95f6fca1c9740e215d0e5f0946fbe42355e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d6b0c95f6fca1c9740e215d0e5f0946fbe42355e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d6b0c95f6fca1c9740e215d0e5f0946fbe42355e","https://www.psacard.com/cert/131183778/psa"
"","Football","2021","Panini Prizm","Amon-RA St. Brown","Base","358","90","434","21%","https://app.cardladder.com/search?gemRateId=493604c2f2644d8b72a989c1af7d6b1d86336f38&via=gemrate","https://app.cardladder.com/search?gemRateId=493604c2f2644d8b72a989c1af7d6b1d86336f38&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=493604c2f2644d8b72a989c1af7d6b1d86336f38&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=493604c2f2644d8b72a989c1af7d6b1d86336f38","https://www.psacard.com/cert/129764252/psa"
"","Football","2021","Panini Prizm","Amon-RA St. Brown","Red Ice","358","194","426","46%","https://app.cardladder.com/search?gemRateId=9a76ceea1ce0ba6a6d4afc2ed6d4fb2f102e1f49&via=gemrate","https://app.cardladder.com/search?gemRateId=9a76ceea1ce0ba6a6d4afc2ed6d4fb2f102e1f49&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9a76ceea1ce0ba6a6d4afc2ed6d4fb2f102e1f49&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9a76ceea1ce0ba6a6d4afc2ed6d4fb2f102e1f49","https://www.psacard.com/cert/129237925/psa"
"","Football","2021","Panini Donruss Optic","Amon-RA St. Brown","Blue Hyper","228","162","424","38%","https://app.cardladder.com/search?gemRateId=bc7a82bb14cf29e3bbf11a01309d08224548376c&via=gemrate","https://app.cardladder.com/search?gemRateId=bc7a82bb14cf29e3bbf11a01309d08224548376c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bc7a82bb14cf29e3bbf11a01309d08224548376c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bc7a82bb14cf29e3bbf11a01309d08224548376c","https://www.psacard.com/cert/128394879/psa"
"","Football","2021","Panini Prizm","Amon-RA St. Brown","Silver Prizm","358","101","401","25%","https://app.cardladder.com/search?gemRateId=45e68957022cdf5848a6077c4decacb313c3c07d&via=gemrate","https://app.cardladder.com/search?gemRateId=45e68957022cdf5848a6077c4decacb313c3c07d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=45e68957022cdf5848a6077c4decacb313c3c07d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=45e68957022cdf5848a6077c4decacb313c3c07d","https://www.psacard.com/cert/124154224/psa"
