"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2022","Panini Donruss","Brock Purdy","Base","374","3,646","8,703","42%","https://app.cardladder.com/search?gemRateId=691bba3bfe256bd3d23a87402fab3a4db6ed5472&via=gemrate","https://app.cardladder.com/search?gemRateId=691bba3bfe256bd3d23a87402fab3a4db6ed5472&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=691bba3bfe256bd3d23a87402fab3a4db6ed5472&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=691bba3bfe256bd3d23a87402fab3a4db6ed5472","https://www.psacard.com/cert/125325316/psa"
"","Football","2022","Panini Prizm","Brock Purdy","Base","353","4,458","7,886","57%","https://app.cardladder.com/search?gemRateId=9da63ff4d062e6edb7dbc44dfef7bde3817e6298&via=gemrate","https://app.cardladder.com/search?gemRateId=9da63ff4d062e6edb7dbc44dfef7bde3817e6298&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9da63ff4d062e6edb7dbc44dfef7bde3817e6298&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9da63ff4d062e6edb7dbc44dfef7bde3817e6298","https://www.psacard.com/cert/132665349/psa"
"","Football","2022","Panini Donruss Optic","Brock Purdy","Base","277","2,161","5,960","36%","https://app.cardladder.com/search?gemRateId=eb49827c860c417975a784e979217cd003405220&via=gemrate","https://app.cardladder.com/search?gemRateId=eb49827c860c417975a784e979217cd003405220&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=eb49827c860c417975a784e979217cd003405220&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=eb49827c860c417975a784e979217cd003405220","https://www.psacard.com/cert/127723633/psa"
"","Football","2022","Panini Chronicles Prizm Black","Brock Purdy","Base","PB8","2,089","3,716","56%","https://app.cardladder.com/search?gemRateId=ee7c656ec4390a95c904f2d43eb81b34b9bc80c4&via=gemrate","https://app.cardladder.com/search?gemRateId=ee7c656ec4390a95c904f2d43eb81b34b9bc80c4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ee7c656ec4390a95c904f2d43eb81b34b9bc80c4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ee7c656ec4390a95c904f2d43eb81b34b9bc80c4","https://www.psacard.com/cert/136047813/psa"
"","Football","2022","Panini Mosaic","Brock Purdy","Base","367","1,586","3,535","45%","https://app.cardladder.com/search?gemRateId=71194dc9b217652bf3e9138b10f0593210c60529&via=gemrate","https://app.cardladder.com/search?gemRateId=71194dc9b217652bf3e9138b10f0593210c60529&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=71194dc9b217652bf3e9138b10f0593210c60529&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=71194dc9b217652bf3e9138b10f0593210c60529","https://www.psacard.com/cert/125320647/psa"
"","Football","2022","Panini Donruss","Brock Purdy","Press Proof Premium","374","1,597","2,617","61%","https://app.cardladder.com/search?gemRateId=04eeee7419c5dda12cafd5ad0130b5ad0d4ba7eb&via=gemrate","https://app.cardladder.com/search?gemRateId=04eeee7419c5dda12cafd5ad0130b5ad0d4ba7eb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=04eeee7419c5dda12cafd5ad0130b5ad0d4ba7eb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=04eeee7419c5dda12cafd5ad0130b5ad0d4ba7eb","https://www.psacard.com/cert/133374798/psa"
"","Football","2022","Panini Chronicles","Brock Purdy","Base","41","1,504","2,576","58%","https://app.cardladder.com/search?gemRateId=59ec7d888d131d3f0966cd148b4e91e108891da6&via=gemrate","https://app.cardladder.com/search?gemRateId=59ec7d888d131d3f0966cd148b4e91e108891da6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=59ec7d888d131d3f0966cd148b4e91e108891da6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=59ec7d888d131d3f0966cd148b4e91e108891da6","https://www.psacard.com/cert/131697637/psa"
"","Football","2022","Panini Chronicles Luminance Update Rookies","Brock Purdy","Base","213","977","2,200","44%","https://app.cardladder.com/search?gemRateId=7e0b513f7ba34cd6fa368d1616925c3b74af9adb&via=gemrate","https://app.cardladder.com/search?gemRateId=7e0b513f7ba34cd6fa368d1616925c3b74af9adb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7e0b513f7ba34cd6fa368d1616925c3b74af9adb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7e0b513f7ba34cd6fa368d1616925c3b74af9adb","https://www.psacard.com/cert/137745585/psa"
"","Football","2022","Panini Donruss Optic","Brock Purdy","Purple Shock","277","491","2,194","22%","https://app.cardladder.com/search?gemRateId=d012887ea0533189bd8580890d1bd7de1e38299a&via=gemrate","https://app.cardladder.com/search?gemRateId=d012887ea0533189bd8580890d1bd7de1e38299a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d012887ea0533189bd8580890d1bd7de1e38299a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d012887ea0533189bd8580890d1bd7de1e38299a","https://www.psacard.com/cert/131042787/psa"
"","Football","2022","Panini Chronicles Photogenic","Brock Purdy","Base","PH36","264","2,182","12%","https://app.cardladder.com/search?gemRateId=0bf89147cfc05f54ca161ce7e2296336c927cc1a&via=gemrate","https://app.cardladder.com/search?gemRateId=0bf89147cfc05f54ca161ce7e2296336c927cc1a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0bf89147cfc05f54ca161ce7e2296336c927cc1a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0bf89147cfc05f54ca161ce7e2296336c927cc1a","https://www.psacard.com/cert/110013279/psa"
"","Football","2022","Panini Chronicles Panini","Brock Purdy","Base","PA19","319","1,865","17%","https://app.cardladder.com/search?gemRateId=3af24a00deb5bb208a91b8d3d3509c6ac84e07e8&via=gemrate","https://app.cardladder.com/search?gemRateId=3af24a00deb5bb208a91b8d3d3509c6ac84e07e8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3af24a00deb5bb208a91b8d3d3509c6ac84e07e8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3af24a00deb5bb208a91b8d3d3509c6ac84e07e8","https://www.psacard.com/cert/122591407/psa"
"","Football","2022","Panini Chronicles Prizm Black","Brock Purdy","Silver","PB8","1,110","1,758","63%","https://app.cardladder.com/search?gemRateId=c3017ce883a3c6c450b6949b98ef6d528a6f029f&via=gemrate","https://app.cardladder.com/search?gemRateId=c3017ce883a3c6c450b6949b98ef6d528a6f029f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c3017ce883a3c6c450b6949b98ef6d528a6f029f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c3017ce883a3c6c450b6949b98ef6d528a6f029f","https://www.psacard.com/cert/133470026/psa"
"","Football","2022","Panini Donruss Optic","Brock Purdy","Pink","277","621","1,660","37%","https://app.cardladder.com/search?gemRateId=f29efc76634e452abcf9b9f3d03d62b544b55504&via=gemrate","https://app.cardladder.com/search?gemRateId=f29efc76634e452abcf9b9f3d03d62b544b55504&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f29efc76634e452abcf9b9f3d03d62b544b55504&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f29efc76634e452abcf9b9f3d03d62b544b55504","https://www.psacard.com/cert/128637621/psa"
"","Football","2022","Panini Prizm","Brock Purdy","Red/White/Blue","353","772","1,593","48%","https://app.cardladder.com/search?gemRateId=e9a2ef9ed160f4af1dd05bfcaee480a2c6301a02&via=gemrate","https://app.cardladder.com/search?gemRateId=e9a2ef9ed160f4af1dd05bfcaee480a2c6301a02&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e9a2ef9ed160f4af1dd05bfcaee480a2c6301a02&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e9a2ef9ed160f4af1dd05bfcaee480a2c6301a02","https://www.psacard.com/cert/123922458/psa"
"","Football","2022","Panini Mosaic","Brock Purdy","Reactive Orange","367","952","1,444","66%","https://app.cardladder.com/search?gemRateId=4f71f45a5f9a89bb84ef4c0601b51cfaa286737f&via=gemrate","https://app.cardladder.com/search?gemRateId=4f71f45a5f9a89bb84ef4c0601b51cfaa286737f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4f71f45a5f9a89bb84ef4c0601b51cfaa286737f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4f71f45a5f9a89bb84ef4c0601b51cfaa286737f","https://www.psacard.com/cert/137540571/psa"
"","Football","2022","Panini Donruss Optic","Brock Purdy","Holo","277","425","1,439","30%","https://app.cardladder.com/search?gemRateId=a166b62d1dd82a02f1fbf30f8fde1df764f03ccb&via=gemrate","https://app.cardladder.com/search?gemRateId=a166b62d1dd82a02f1fbf30f8fde1df764f03ccb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a166b62d1dd82a02f1fbf30f8fde1df764f03ccb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a166b62d1dd82a02f1fbf30f8fde1df764f03ccb","https://www.psacard.com/cert/126700952/psa"
"","Football","2022","Panini Prizm","Brock Purdy","Green Prizm","353","539","1,398","39%","https://app.cardladder.com/search?gemRateId=5f4c180790e417a630cbc08e024126f8155be8ee&via=gemrate","https://app.cardladder.com/search?gemRateId=5f4c180790e417a630cbc08e024126f8155be8ee&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5f4c180790e417a630cbc08e024126f8155be8ee&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5f4c180790e417a630cbc08e024126f8155be8ee","https://www.psacard.com/cert/137628559/psa"
"","Football","2022","Panini Mosaic","Brock Purdy","Green Mosaic","367","887","1,359","65%","https://app.cardladder.com/search?gemRateId=6a6d3a62951340b31dcf43fa1c83641eb2042b49&via=gemrate","https://app.cardladder.com/search?gemRateId=6a6d3a62951340b31dcf43fa1c83641eb2042b49&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6a6d3a62951340b31dcf43fa1c83641eb2042b49&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6a6d3a62951340b31dcf43fa1c83641eb2042b49","https://www.psacard.com/cert/132719245/psa"
"","Football","2024","Panini Donruss Downtown!","Brock Purdy","Base","4","244","1,314","19%","https://app.cardladder.com/search?gemRateId=42ce329921f9f3061c099e7581222e56ec5886e5&via=gemrate","https://app.cardladder.com/search?gemRateId=42ce329921f9f3061c099e7581222e56ec5886e5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=42ce329921f9f3061c099e7581222e56ec5886e5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=42ce329921f9f3061c099e7581222e56ec5886e5","https://www.psacard.com/cert/135766608/psa"
"","Football","2022","Panini Prizm","Brock Purdy","Silver Prizm","353","624","1,281","49%","https://app.cardladder.com/search?gemRateId=e7185a1179260bc013d67c40094b85811374cf09&via=gemrate","https://app.cardladder.com/search?gemRateId=e7185a1179260bc013d67c40094b85811374cf09&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e7185a1179260bc013d67c40094b85811374cf09&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e7185a1179260bc013d67c40094b85811374cf09","https://www.psacard.com/cert/135436102/psa"
"","Football","2022","Panini Mosaic","Brock Purdy","Camo Pink","367","944","1,269","74%","https://app.cardladder.com/search?gemRateId=477642f7ca6c7f8e9ec21bd9cac0a4ccdd626a32&via=gemrate","https://app.cardladder.com/search?gemRateId=477642f7ca6c7f8e9ec21bd9cac0a4ccdd626a32&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=477642f7ca6c7f8e9ec21bd9cac0a4ccdd626a32&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=477642f7ca6c7f8e9ec21bd9cac0a4ccdd626a32","https://www.psacard.com/cert/128277943/psa"
"","Football","2022","Panini Chronicles Clear Vision Rookies","Brock Purdy","Base","CVR8","485","1,194","41%","https://app.cardladder.com/search?gemRateId=dadb0ddf0f3155cf34d17513f8beeadcedce9fd7&via=gemrate","https://app.cardladder.com/search?gemRateId=dadb0ddf0f3155cf34d17513f8beeadcedce9fd7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=dadb0ddf0f3155cf34d17513f8beeadcedce9fd7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=dadb0ddf0f3155cf34d17513f8beeadcedce9fd7","https://www.psacard.com/cert/123293403/psa"
