"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2023","Panini Prizm","CJ Stroud","Base","339","7,823","17,886","44%","https://app.cardladder.com/search?gemRateId=310fa9a91519db9d988907d24929bdb880e1a798&via=gemrate","https://app.cardladder.com/search?gemRateId=310fa9a91519db9d988907d24929bdb880e1a798&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=310fa9a91519db9d988907d24929bdb880e1a798&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=310fa9a91519db9d988907d24929bdb880e1a798","https://www.psacard.com/cert/136344032/psa"
"","Football","2023","Panini Donruss","CJ Stroud","Base","339","7,795","16,821","46%","https://app.cardladder.com/search?gemRateId=2daab964bdf71eecd06204aa38ae0a34d663f886&via=gemrate","https://app.cardladder.com/search?gemRateId=2daab964bdf71eecd06204aa38ae0a34d663f886&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2daab964bdf71eecd06204aa38ae0a34d663f886&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2daab964bdf71eecd06204aa38ae0a34d663f886","https://www.psacard.com/cert/134113247/psa"
"","Football","2023","Panini Donruss Optic","CJ Stroud","Base","244","5,318","10,088","53%","https://app.cardladder.com/search?gemRateId=8b6ca5a7821f731f12112c842cb1a097d7f0e898&via=gemrate","https://app.cardladder.com/search?gemRateId=8b6ca5a7821f731f12112c842cb1a097d7f0e898&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8b6ca5a7821f731f12112c842cb1a097d7f0e898&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8b6ca5a7821f731f12112c842cb1a097d7f0e898","https://www.psacard.com/cert/137569281/psa"
"","Football","2023","Panini Prizm","CJ Stroud","Silver Prizm","339","2,241","6,031","37%","https://app.cardladder.com/search?gemRateId=8f64cf4ee4aafc253584d86cf1da847f255de255&via=gemrate","https://app.cardladder.com/search?gemRateId=8f64cf4ee4aafc253584d86cf1da847f255de255&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8f64cf4ee4aafc253584d86cf1da847f255de255&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8f64cf4ee4aafc253584d86cf1da847f255de255","https://www.psacard.com/cert/136053414/psa"
"","Football","2023","Panini Donruss Optic","CJ Stroud","Holo","244","3,010","5,281","57%","https://app.cardladder.com/search?gemRateId=75669f4a088df7bcc7079752574696f2300d435c&via=gemrate","https://app.cardladder.com/search?gemRateId=75669f4a088df7bcc7079752574696f2300d435c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=75669f4a088df7bcc7079752574696f2300d435c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=75669f4a088df7bcc7079752574696f2300d435c","https://www.psacard.com/cert/137617093/psa"
"","Football","2023","Panini Donruss Optic","CJ Stroud","Purple Shock","244","2,738","4,457","61%","https://app.cardladder.com/search?gemRateId=19f094ff640f992d4c64b356d631b30b4cb006ba&via=gemrate","https://app.cardladder.com/search?gemRateId=19f094ff640f992d4c64b356d631b30b4cb006ba&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=19f094ff640f992d4c64b356d631b30b4cb006ba&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=19f094ff640f992d4c64b356d631b30b4cb006ba","https://www.psacard.com/cert/137260169/psa"
"","Football","2023","Panini Prizm","CJ Stroud","Lazer Prizm","339","2,176","4,441","49%","https://app.cardladder.com/search?gemRateId=f23916e10b2ac44769add4160f5fd07cd7e85b63&via=gemrate","https://app.cardladder.com/search?gemRateId=f23916e10b2ac44769add4160f5fd07cd7e85b63&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f23916e10b2ac44769add4160f5fd07cd7e85b63&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f23916e10b2ac44769add4160f5fd07cd7e85b63","https://www.psacard.com/cert/137996515/psa"
"","Football","2023","Panini Absolute","CJ Stroud","Base","102","2,797","3,682","76%","https://app.cardladder.com/search?gemRateId=214e089dd76d98b9c36c6693119aa2a55335fdb2&via=gemrate","https://app.cardladder.com/search?gemRateId=214e089dd76d98b9c36c6693119aa2a55335fdb2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=214e089dd76d98b9c36c6693119aa2a55335fdb2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=214e089dd76d98b9c36c6693119aa2a55335fdb2","https://www.psacard.com/cert/131197530/psa"
"","Football","2023","Panini Mosaic NFL Debut","CJ Stroud","Base","ND3","1,588","3,522","45%","https://app.cardladder.com/search?gemRateId=bfed3671f3ea85c00233cf1600c4df88a889876a&via=gemrate","https://app.cardladder.com/search?gemRateId=bfed3671f3ea85c00233cf1600c4df88a889876a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bfed3671f3ea85c00233cf1600c4df88a889876a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bfed3671f3ea85c00233cf1600c4df88a889876a","https://www.psacard.com/cert/126724259/psa"
