"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2024","Panini Instant WNBA Draft Night","Caitlin Clark","Base","DN1","5,672","11,738","48%","https://app.cardladder.com/search?gemRateId=b72ec0cd2fbbf6bf51de75816f089976b70b450f&via=gemrate","https://app.cardladder.com/search?gemRateId=b72ec0cd2fbbf6bf51de75816f089976b70b450f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b72ec0cd2fbbf6bf51de75816f089976b70b450f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b72ec0cd2fbbf6bf51de75816f089976b70b450f","https://www.psacard.com/cert/140807412/psa"
"","Basketball","2024","Panini Instant WNBA Rookie of the Year","Caitlin Clark","Base","A","4,304","11,186","38%","https://app.cardladder.com/search?gemRateId=46f5dc1f4545dd9a914d73892d24771f05234f84&via=gemrate","https://app.cardladder.com/search?gemRateId=46f5dc1f4545dd9a914d73892d24771f05234f84&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=46f5dc1f4545dd9a914d73892d24771f05234f84&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=46f5dc1f4545dd9a914d73892d24771f05234f84","https://www.psacard.com/cert/141198127/psa"
"","Basketball","2022","Bowman Chrome University","Caitlin Clark","Base","50","3,794","11,003","34%","https://app.cardladder.com/search?gemRateId=37413fa7eb403604265269fe1cae0b533a7f3c66&via=gemrate","https://app.cardladder.com/search?gemRateId=37413fa7eb403604265269fe1cae0b533a7f3c66&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=37413fa7eb403604265269fe1cae0b533a7f3c66&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=37413fa7eb403604265269fe1cae0b533a7f3c66","https://www.psacard.com/cert/144938637/psa"
"","Basketball","2024","Panini Prizm WNBA","Caitlin Clark","Base","22","1,822","9,477","19%","https://app.cardladder.com/search?gemRateId=3d429095b03234d06b541bb9c507fc46ffe0d672&via=gemrate","https://app.cardladder.com/search?gemRateId=3d429095b03234d06b541bb9c507fc46ffe0d672&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3d429095b03234d06b541bb9c507fc46ffe0d672&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3d429095b03234d06b541bb9c507fc46ffe0d672","https://www.psacard.com/cert/140983223/psa"
"","Basketball","2024","Panini Prizm WNBA","Caitlin Clark","Base","145","366","6,973","5%","https://app.cardladder.com/search?gemRateId=13a99804c344038b4bca80813a5b7bbbd64c5faa&via=gemrate","https://app.cardladder.com/search?gemRateId=13a99804c344038b4bca80813a5b7bbbd64c5faa&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=13a99804c344038b4bca80813a5b7bbbd64c5faa&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=13a99804c344038b4bca80813a5b7bbbd64c5faa","https://www.psacard.com/cert/142556060/psa"
"","Basketball","2024","Panini Select WNBA","Caitlin Clark","Base","72","3,950","6,273","63%","https://app.cardladder.com/search?gemRateId=956b8a8e6d696dbfc499f6cf69b9755c60934288&via=gemrate","https://app.cardladder.com/search?gemRateId=956b8a8e6d696dbfc499f6cf69b9755c60934288&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=956b8a8e6d696dbfc499f6cf69b9755c60934288&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=956b8a8e6d696dbfc499f6cf69b9755c60934288","https://www.psacard.com/cert/144938635/psa"
"","Basketball","2023","Bowman U Now","Caitlin Clark","Base","49","4,476","5,068","88%","https://app.cardladder.com/search?gemRateId=81bf0936604dd9667c3bb65d3e203732849c023a&via=gemrate","https://app.cardladder.com/search?gemRateId=81bf0936604dd9667c3bb65d3e203732849c023a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=81bf0936604dd9667c3bb65d3e203732849c023a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=81bf0936604dd9667c3bb65d3e203732849c023a","https://www.psacard.com/cert/135318493/psa"
"","Basketball","2024","Panini Prizm WNBA","Caitlin Clark","Ice","22","782","4,932","16%","https://app.cardladder.com/search?gemRateId=9a7e495fb8e7974975def877efd29fd21760695b&via=gemrate","https://app.cardladder.com/search?gemRateId=9a7e495fb8e7974975def877efd29fd21760695b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9a7e495fb8e7974975def877efd29fd21760695b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9a7e495fb8e7974975def877efd29fd21760695b","https://www.psacard.com/cert/141369139/psa"
"","Basketball","2024","Panini Prizm WNBA","Caitlin Clark","Ice","145","401","4,190","10%","https://app.cardladder.com/search?gemRateId=a7670f121187cd140d06ac4fd9eff0a31f5ce5cd&via=gemrate","https://app.cardladder.com/search?gemRateId=a7670f121187cd140d06ac4fd9eff0a31f5ce5cd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a7670f121187cd140d06ac4fd9eff0a31f5ce5cd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a7670f121187cd140d06ac4fd9eff0a31f5ce5cd","https://www.psacard.com/cert/135718275/psa"
