"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Prizm","Caleb Williams","Base","301","872","4,572","19%","https://app.cardladder.com/search?gemRateId=ee01270f64554d159a96adf4097cc7762dc33be8&via=gemrate","https://app.cardladder.com/search?gemRateId=ee01270f64554d159a96adf4097cc7762dc33be8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ee01270f64554d159a96adf4097cc7762dc33be8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ee01270f64554d159a96adf4097cc7762dc33be8","https://www.psacard.com/cert/144940871/psa"
"","Football","2024","Panini Prizm","Caleb Williams","Silver Prizm","301","798","4,132","19%","https://app.cardladder.com/search?gemRateId=f1ba97aa5227aa9b55e78abe751bbc0ce9d444f1&via=gemrate","https://app.cardladder.com/search?gemRateId=f1ba97aa5227aa9b55e78abe751bbc0ce9d444f1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f1ba97aa5227aa9b55e78abe751bbc0ce9d444f1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f1ba97aa5227aa9b55e78abe751bbc0ce9d444f1","https://www.psacard.com/cert/144026075/psa"
"","Football","2024","Topps Now","Caleb Williams","Base","D1","3,305","3,928","84%","https://app.cardladder.com/search?gemRateId=1c751d44e6c26fc0ec3340918a809aac007e7ce6&via=gemrate","https://app.cardladder.com/search?gemRateId=1c751d44e6c26fc0ec3340918a809aac007e7ce6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1c751d44e6c26fc0ec3340918a809aac007e7ce6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1c751d44e6c26fc0ec3340918a809aac007e7ce6","https://www.psacard.com/cert/136524205/psa"
"","Football","2024","Panini Donruss","Caleb Williams","Base","327","1,400","3,837","36%","https://app.cardladder.com/search?gemRateId=bf0c15e6c6452fc1ad3b5db00d9c696dd810c330&via=gemrate","https://app.cardladder.com/search?gemRateId=bf0c15e6c6452fc1ad3b5db00d9c696dd810c330&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bf0c15e6c6452fc1ad3b5db00d9c696dd810c330&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bf0c15e6c6452fc1ad3b5db00d9c696dd810c330","https://www.psacard.com/cert/139462473/psa"
"","Football","2024","Panini Donruss","Caleb Williams","Optic Preview-Pink","327","1,775","3,347","53%","https://app.cardladder.com/search?gemRateId=e96e9d250f1205ccf407ce08e9be035472ff8f8d&via=gemrate","https://app.cardladder.com/search?gemRateId=e96e9d250f1205ccf407ce08e9be035472ff8f8d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e96e9d250f1205ccf407ce08e9be035472ff8f8d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e96e9d250f1205ccf407ce08e9be035472ff8f8d","https://www.psacard.com/cert/138840769/psa"
"","Football","2022","Bowman University Chrome Prospects","Caleb Williams","Base","50","1,142","2,978","38%","https://app.cardladder.com/search?gemRateId=65a361c866b00499193b647b1702f4e1bc920cd7&via=gemrate","https://app.cardladder.com/search?gemRateId=65a361c866b00499193b647b1702f4e1bc920cd7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=65a361c866b00499193b647b1702f4e1bc920cd7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=65a361c866b00499193b647b1702f4e1bc920cd7","https://www.psacard.com/cert/143364678/psa"
"","Football","2024","Panini Prizm","Caleb Williams","Lazer Prizm","301","571","2,507","23%","https://app.cardladder.com/search?gemRateId=3059b38375dbde24d10fd13b7279281d23a59512&via=gemrate","https://app.cardladder.com/search?gemRateId=3059b38375dbde24d10fd13b7279281d23a59512&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3059b38375dbde24d10fd13b7279281d23a59512&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3059b38375dbde24d10fd13b7279281d23a59512","https://www.psacard.com/cert/142668330/psa"
"","Football","2024","Panini Donruss","Caleb Williams","Optic Preview-Red Wave","327","1,794","2,340","77%","https://app.cardladder.com/search?gemRateId=99f1c5fc6fca29417231cb6e600ae8ac7bd11394&via=gemrate","https://app.cardladder.com/search?gemRateId=99f1c5fc6fca29417231cb6e600ae8ac7bd11394&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=99f1c5fc6fca29417231cb6e600ae8ac7bd11394&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=99f1c5fc6fca29417231cb6e600ae8ac7bd11394","https://www.psacard.com/cert/144103945/psa"
"","Football","2024","Panini Donruss Optic","Caleb Williams","Purple Shock","201","731","2,274","32%","https://app.cardladder.com/search?gemRateId=6269e62e063d093f1d121e313bfda2809c45865e&via=gemrate","https://app.cardladder.com/search?gemRateId=6269e62e063d093f1d121e313bfda2809c45865e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6269e62e063d093f1d121e313bfda2809c45865e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6269e62e063d093f1d121e313bfda2809c45865e","https://www.psacard.com/cert/139165905/psa"
