"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2025","Panini Instant NFL Draft Night","Cam Ward","Base","NFLDN1","640","1,074","60%","https://app.cardladder.com/search?gemRateId=85f02ccadd5e51fdcdc3d3e5c8d0b3f9ca1eed58&via=gemrate","https://app.cardladder.com/search?gemRateId=85f02ccadd5e51fdcdc3d3e5c8d0b3f9ca1eed58&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=85f02ccadd5e51fdcdc3d3e5c8d0b3f9ca1eed58&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=85f02ccadd5e51fdcdc3d3e5c8d0b3f9ca1eed58","https://www.psacard.com/cert/137235240/psa"
"","Football","2025","Panini Instant NFL Rps First Look","Cam Ward","Base","RPSFL4","479","843","57%","https://app.cardladder.com/search?gemRateId=6036d4a01d3717aa1c1e50075450fdd55d8c4234&via=gemrate","https://app.cardladder.com/search?gemRateId=6036d4a01d3717aa1c1e50075450fdd55d8c4234&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6036d4a01d3717aa1c1e50075450fdd55d8c4234&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6036d4a01d3717aa1c1e50075450fdd55d8c4234","https://www.psacard.com/cert/131265055/psa"
"","Football","2025","Panini Donruss Downtown!","Cam Ward","Base","12","339","434","78%","https://app.cardladder.com/search?gemRateId=b78abf62876bb9cb7b7505b7f9d36a030e84f929&via=gemrate","https://app.cardladder.com/search?gemRateId=b78abf62876bb9cb7b7505b7f9d36a030e84f929&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b78abf62876bb9cb7b7505b7f9d36a030e84f929&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b78abf62876bb9cb7b7505b7f9d36a030e84f929","https://www.psacard.com/cert/147952318/psa"
"","Football","2024","Panini Select","Cam Ward","Base","501","144","204","71%","https://app.cardladder.com/search?gemRateId=139a5214922bbc7554b23b1ab5d6140fe1cad47e&via=gemrate","https://app.cardladder.com/search?gemRateId=139a5214922bbc7554b23b1ab5d6140fe1cad47e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=139a5214922bbc7554b23b1ab5d6140fe1cad47e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=139a5214922bbc7554b23b1ab5d6140fe1cad47e","https://www.psacard.com/cert/136975923/psa"
"","Football","2025","Panini Score","Cam Ward","Rookie","13","24","132","18%","https://app.cardladder.com/search?gemRateId=8a6cdea2bd359d9072cc74a62c96d2011dfe82f2&via=gemrate","https://app.cardladder.com/search?gemRateId=8a6cdea2bd359d9072cc74a62c96d2011dfe82f2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8a6cdea2bd359d9072cc74a62c96d2011dfe82f2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8a6cdea2bd359d9072cc74a62c96d2011dfe82f2","https://www.psacard.com/cert/131220363/psa"
"","Football","2025","Panini Donruss Bomb Squad","Cam Ward","Base","BS-CWD","76","110","69%","https://app.cardladder.com/search?gemRateId=999918d5d4a17a538b3a85338b167be9f4ff15af&via=gemrate","https://app.cardladder.com/search?gemRateId=999918d5d4a17a538b3a85338b167be9f4ff15af&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=999918d5d4a17a538b3a85338b167be9f4ff15af&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/144300927/psa"
"","Football","2025","Panini Donruss","Cam Ward","Optic Preview-Red Pandora","350","9","72","13%","https://app.cardladder.com/search?gemRateId=f05613aaf2b568e9122a36b5e3c935ac90277959&via=gemrate","https://app.cardladder.com/search?gemRateId=f05613aaf2b568e9122a36b5e3c935ac90277959&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f05613aaf2b568e9122a36b5e3c935ac90277959&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/138155951/psa"
"","Football","2025","Panini Donruss","Cam Ward","Base","350","16","63","25%","https://app.cardladder.com/search?gemRateId=d8b7eb76924c5977eec29945638a72ba15a6ce0e&via=gemrate","https://app.cardladder.com/search?gemRateId=d8b7eb76924c5977eec29945638a72ba15a6ce0e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d8b7eb76924c5977eec29945638a72ba15a6ce0e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d8b7eb76924c5977eec29945638a72ba15a6ce0e","https://www.psacard.com/cert/134558725/psa"
"","Football","2025","Panini Mosaic","Cam Ward","Red & White Stripe","382","47","61","77%","https://app.cardladder.com/search?gemRateId=fd39132346399b3b28b6e3dbf3735f5fcd352a96&via=gemrate","https://app.cardladder.com/search?gemRateId=fd39132346399b3b28b6e3dbf3735f5fcd352a96&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fd39132346399b3b28b6e3dbf3735f5fcd352a96&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/144736578/psa"
