"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Bowman University Chrome","Cameron Skattebo","Base","37","146","201","73%","https://app.cardladder.com/search?gemRateId=167ba55553507ca99dd34b70b0f49a461c3d5213&via=gemrate","https://app.cardladder.com/search?gemRateId=167ba55553507ca99dd34b70b0f49a461c3d5213&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=167ba55553507ca99dd34b70b0f49a461c3d5213&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=167ba55553507ca99dd34b70b0f49a461c3d5213","https://www.psacard.com/cert/136540112/psa"
"","Football","2024","Bowman University Chrome Sapphire","Cameron Skattebo","Base","37","106","134","79%","https://app.cardladder.com/search?gemRateId=7069699e3d1491a252a949c5cbf676d23336d617&via=gemrate","https://app.cardladder.com/search?gemRateId=7069699e3d1491a252a949c5cbf676d23336d617&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7069699e3d1491a252a949c5cbf676d23336d617&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7069699e3d1491a252a949c5cbf676d23336d617","https://www.psacard.com/cert/140784962/psa"
"","Football","2024","Bowman University Chrome Bowman Chrome Prospect Autographs","Cameron Skattebo","Base","PACSK","77","124","62%","https://app.cardladder.com/search?gemRateId=34f9908e9770155f562ed718836a89e510d92f1f&via=gemrate","https://app.cardladder.com/search?gemRateId=34f9908e9770155f562ed718836a89e510d92f1f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=34f9908e9770155f562ed718836a89e510d92f1f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=34f9908e9770155f562ed718836a89e510d92f1f","https://www.psacard.com/cert/136549729/psa"
"","Football","2024","Bowman University Chrome","Cameron Skattebo","Pink Lava","37","38","62","61%","https://app.cardladder.com/search?gemRateId=3e8315bc405ad0b611293b042f04a140444daa62&via=gemrate","https://app.cardladder.com/search?gemRateId=3e8315bc405ad0b611293b042f04a140444daa62&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3e8315bc405ad0b611293b042f04a140444daa62&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3e8315bc405ad0b611293b042f04a140444daa62","https://www.psacard.com/cert/127819229/psa"
"","Football","2024","Bowman University Chrome Bowman Chrome Prospect Autographs","Cameron Skattebo","Refractor","PACSK","32","57","56%","https://app.cardladder.com/search?gemRateId=14f47335dac1d942cbd481249f0840848d45c5f2&via=gemrate","https://app.cardladder.com/search?gemRateId=14f47335dac1d942cbd481249f0840848d45c5f2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=14f47335dac1d942cbd481249f0840848d45c5f2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=14f47335dac1d942cbd481249f0840848d45c5f2","https://www.psacard.com/cert/130831721/psa"
"","Football","2024","Bowman University Chrome","Cameron Skattebo","X-Fractor","37","39","54","72%","https://app.cardladder.com/search?gemRateId=1bdcaeadb241a98e97caf170c1706d0d7c63c757&via=gemrate","https://app.cardladder.com/search?gemRateId=1bdcaeadb241a98e97caf170c1706d0d7c63c757&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1bdcaeadb241a98e97caf170c1706d0d7c63c757&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1bdcaeadb241a98e97caf170c1706d0d7c63c757","https://www.psacard.com/cert/142670411/psa"
"","Football","2024","Bowman University Chrome","Cameron Skattebo","Refractor","37","19","45","42%","https://app.cardladder.com/search?gemRateId=9300b4f63ece80758cf1075e48e988e2a59b2247&via=gemrate","https://app.cardladder.com/search?gemRateId=9300b4f63ece80758cf1075e48e988e2a59b2247&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9300b4f63ece80758cf1075e48e988e2a59b2247&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9300b4f63ece80758cf1075e48e988e2a59b2247","https://www.psacard.com/cert/125478780/psa"
"","Football","2024","Bowman University Chrome","Cameron Skattebo","Teal Lava","37","27","40","68%","https://app.cardladder.com/search?gemRateId=14f5011734cfecfc308b04ea9922986dd7eb96d7&via=gemrate","https://app.cardladder.com/search?gemRateId=14f5011734cfecfc308b04ea9922986dd7eb96d7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=14f5011734cfecfc308b04ea9922986dd7eb96d7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=14f5011734cfecfc308b04ea9922986dd7eb96d7","https://www.psacard.com/cert/139182507/psa"
"","Football","2024","Bowman University Chrome Bowman Chrome Prospect Autographs","Cameron Skattebo","Fuchsia Refractor","PACSK","21","38","55%","https://app.cardladder.com/search?gemRateId=e03028cc5ca58af840fc619dea28c2ad979ab774&via=gemrate","https://app.cardladder.com/search?gemRateId=e03028cc5ca58af840fc619dea28c2ad979ab774&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e03028cc5ca58af840fc619dea28c2ad979ab774&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e03028cc5ca58af840fc619dea28c2ad979ab774","https://www.psacard.com/cert/133599103/psa"
