"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2025","Topps Now Draft","Cooper Flagg","Base","D1","7,612","9,246","82%","https://app.cardladder.com/search?gemRateId=425e457c7a0ddc80149f4da928aad43494fd9bd5&via=gemrate","https://app.cardladder.com/search?gemRateId=425e457c7a0ddc80149f4da928aad43494fd9bd5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=425e457c7a0ddc80149f4da928aad43494fd9bd5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=425e457c7a0ddc80149f4da928aad43494fd9bd5","https://www.psacard.com/cert/145999474/psa"
"","Basketball","2025","Panini Instant NBA Draft Night","Cooper Flagg","Base","1","5,885","8,843","67%","https://app.cardladder.com/search?gemRateId=6e03e2f1e51c6efe9d255239ea294e1f4c5a0e19&via=gemrate","https://app.cardladder.com/search?gemRateId=6e03e2f1e51c6efe9d255239ea294e1f4c5a0e19&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6e03e2f1e51c6efe9d255239ea294e1f4c5a0e19&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6e03e2f1e51c6efe9d255239ea294e1f4c5a0e19","https://www.psacard.com/cert/144628108/psa"
"","Basketball","2025","Topps","Cooper Flagg","Base","201","2,578","6,868","38%","https://app.cardladder.com/search?gemRateId=20085303358c5931c9d4e972e05748899132fb4b&via=gemrate","https://app.cardladder.com/search?gemRateId=20085303358c5931c9d4e972e05748899132fb4b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=20085303358c5931c9d4e972e05748899132fb4b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4539c8294771ce5c222885993a074a5d941a1d6b","https://www.psacard.com/cert/146116721/psa"
"","Basketball","2025","Panini Instant NBA Rated Rookie Retro","Cooper Flagg","Base","RRR-16","728","1,519","48%","https://app.cardladder.com/search?gemRateId=f17d143d6fcfcefe519ab9ef23add3cac352fe36&via=gemrate","https://app.cardladder.com/search?gemRateId=f17d143d6fcfcefe519ab9ef23add3cac352fe36&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f17d143d6fcfcefe519ab9ef23add3cac352fe36&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/139459482/psa"
"","Basketball","2025","Topps Chrome","Cooper Flagg","Base","251","429","1,183","36%","https://app.cardladder.com/search?gemRateId=2db9d67dfbf53223d13424da059cee8bc9c5a2b3&via=gemrate","https://app.cardladder.com/search?gemRateId=2db9d67dfbf53223d13424da059cee8bc9c5a2b3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2db9d67dfbf53223d13424da059cee8bc9c5a2b3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2db9d67dfbf53223d13424da059cee8bc9c5a2b3","https://www.psacard.com/cert/145732771/psa"
"","Basketball","2025","Topps Power Players","Cooper Flagg","Base","PP-16","656","972","67%","https://app.cardladder.com/search?gemRateId=8187874e6cf597ed80be78074d7be158c692bc9c&via=gemrate","https://app.cardladder.com/search?gemRateId=8187874e6cf597ed80be78074d7be158c692bc9c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8187874e6cf597ed80be78074d7be158c692bc9c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8187874e6cf597ed80be78074d7be158c692bc9c","https://www.psacard.com/cert/145623208/psa"
"","Basketball","2025","Topps Silver Pack 1980-81 Topps Chrome Basketball","Cooper Flagg","Base","TC-CF","490","940","52%","https://app.cardladder.com/search?gemRateId=c66bdafe090e16c92133b6c5ec913138c3c34a18&via=gemrate","https://app.cardladder.com/search?gemRateId=c66bdafe090e16c92133b6c5ec913138c3c34a18&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c66bdafe090e16c92133b6c5ec913138c3c34a18&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c66bdafe090e16c92133b6c5ec913138c3c34a18","https://www.psacard.com/cert/147565502/psa"
"","Basketball","2025","Topps Now","Cooper Flagg","Base","6","781","929","84%","https://app.cardladder.com/search?gemRateId=a92c88ac5eb7bfa0474275f1929560915bdd2334&via=gemrate","https://app.cardladder.com/search?gemRateId=a92c88ac5eb7bfa0474275f1929560915bdd2334&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a92c88ac5eb7bfa0474275f1929560915bdd2334&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a92c88ac5eb7bfa0474275f1929560915bdd2334","https://www.psacard.com/cert/145255783/psa"
"","Basketball","2025","Topps Chrome","Cooper Flagg","X-Fractor","251","337","762","44%","https://app.cardladder.com/search?gemRateId=a885da06cba4dc53efb3fdc8b7e0f927a7bb8daf&via=gemrate","https://app.cardladder.com/search?gemRateId=a885da06cba4dc53efb3fdc8b7e0f927a7bb8daf&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a885da06cba4dc53efb3fdc8b7e0f927a7bb8daf&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a885da06cba4dc53efb3fdc8b7e0f927a7bb8daf","https://www.psacard.com/cert/145830633/psa"
