"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2012","Panini Prizm","Damian Lillard","Base","245","1,311","2,678","49%","https://app.cardladder.com/search?gemRateId=b5a5b99f4d688475d70a47f02b260a307ae7e83f&via=gemrate","https://app.cardladder.com/search?gemRateId=b5a5b99f4d688475d70a47f02b260a307ae7e83f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b5a5b99f4d688475d70a47f02b260a307ae7e83f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b5a5b99f4d688475d70a47f02b260a307ae7e83f","https://www.psacard.com/cert/135080363/psa"
"","Basketball","2012","Panini Hoops","Damian Lillard","Base","280","776","2,317","33%","https://app.cardladder.com/search?gemRateId=c7a35bf77bd984609d7e07f6c9a609460907d825&via=gemrate","https://app.cardladder.com/search?gemRateId=c7a35bf77bd984609d7e07f6c9a609460907d825&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c7a35bf77bd984609d7e07f6c9a609460907d825&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c7a35bf77bd984609d7e07f6c9a609460907d825","https://www.psacard.com/cert/135359433/psa"
"","Basketball","2012","Panini Select","Damian Lillard","Base","150","305","1,115","27%","https://app.cardladder.com/search?gemRateId=3bfb2cd559dccdae23c7be157a7a374c61207699&via=gemrate","https://app.cardladder.com/search?gemRateId=3bfb2cd559dccdae23c7be157a7a374c61207699&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3bfb2cd559dccdae23c7be157a7a374c61207699&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3bfb2cd559dccdae23c7be157a7a374c61207699","https://www.psacard.com/cert/97606478/psa"
"","Basketball","2012","Panini","Damian Lillard","Base","262","147","865","17%","https://app.cardladder.com/search?gemRateId=635a9531e8e85fc40c4ac550ab51d1e1beb5d415&via=gemrate","https://app.cardladder.com/search?gemRateId=635a9531e8e85fc40c4ac550ab51d1e1beb5d415&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=635a9531e8e85fc40c4ac550ab51d1e1beb5d415&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=635a9531e8e85fc40c4ac550ab51d1e1beb5d415","https://www.psacard.com/cert/94635838/psa"
"","Basketball","2012","Panini Past & Present","Damian Lillard","Base","249","491","744","66%","https://app.cardladder.com/search?gemRateId=73ae04633abcf3c42c5456274792e48a42d827b2&via=gemrate","https://app.cardladder.com/search?gemRateId=73ae04633abcf3c42c5456274792e48a42d827b2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=73ae04633abcf3c42c5456274792e48a42d827b2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=73ae04633abcf3c42c5456274792e48a42d827b2","https://www.psacard.com/cert/132048678/psa"
"","Basketball","2012","Panini Brilliance","Damian Lillard","Base","283","209","482","43%","https://app.cardladder.com/search?gemRateId=e17918360cfb93f6351e68b758ff07415b2b742a&via=gemrate","https://app.cardladder.com/search?gemRateId=e17918360cfb93f6351e68b758ff07415b2b742a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e17918360cfb93f6351e68b758ff07415b2b742a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e17918360cfb93f6351e68b758ff07415b2b742a","https://www.psacard.com/cert/102949080/psa"
"","Basketball","2013","Panini Prizm","Damian Lillard","Base","19","179","359","50%","https://app.cardladder.com/search?gemRateId=b104c1117302755a1f3df67bd3ea36fff89fc1d8&via=gemrate","https://app.cardladder.com/search?gemRateId=b104c1117302755a1f3df67bd3ea36fff89fc1d8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b104c1117302755a1f3df67bd3ea36fff89fc1d8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b104c1117302755a1f3df67bd3ea36fff89fc1d8","https://www.psacard.com/cert/93513896/psa"
"","Basketball","2012","Panini Crusade","Damian Lillard","Base","92","189","294","64%","https://app.cardladder.com/search?gemRateId=0f64c80e351fc465a5408085590027c04cb03d47&via=gemrate","https://app.cardladder.com/search?gemRateId=0f64c80e351fc465a5408085590027c04cb03d47&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0f64c80e351fc465a5408085590027c04cb03d47&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0f64c80e351fc465a5408085590027c04cb03d47","https://www.psacard.com/cert/120042242/psa"
"","Basketball","2012","Panini Prestige","Damian Lillard","Base","214","49","272","18%","https://app.cardladder.com/search?gemRateId=b042277f0a37e4f8620fd79bfcba88916dd56e3c&via=gemrate","https://app.cardladder.com/search?gemRateId=b042277f0a37e4f8620fd79bfcba88916dd56e3c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b042277f0a37e4f8620fd79bfcba88916dd56e3c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b042277f0a37e4f8620fd79bfcba88916dd56e3c","https://www.psacard.com/cert/88644468/psa"
